panel,latent_id,m_base,h_base,mask_category,replicate,light,camera,valid_skin_fraction,mask_hash,appearance_seed,attempt_count,exposure_ev,p_zero,high_clip_element_fraction,low_clip_element_fraction,nonfinite_count,all_zero,all_one,R_zero_fraction,R_one_fraction,G_zero_fraction,G_one_fraction,B_zero_fraction,B_one_fraction,retry_exhausted
A,AM3_M0.90_H0.02_Mild_1,0.9,0.02,Mild,1,FL11,Canon 300D,0.80584716796875,b85cd58d4dfb64dc92a561a487954c945562a72ffc28ee7eebb0be7d278d6c55,8059245479370858584,1,0.26379732030091807,False,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False
A,AM3_M0.90_H0.02_Mild_2,0.9,0.02,Mild,2,D65,Canon 300D,0.8998565673828125,7d99b0857fe298be91835208ad1d4e8e41ff5ed8bb26cd4bcb4360118913371b,41641124163799152,1,-0.19156948464194395,False,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False
A,AM3_M0.90_H0.02_Mild_2,0.9,0.02,Mild,2,A,Canon 300D,0.8998565673828125,7d99b0857fe298be91835208ad1d4e8e41ff5ed8bb26cd4bcb4360118913371b,14589715664880318656,1,-0.4776630672096962,False,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False
A,AM3_M0.90_H0.02_Mild_2,0.9,0.02,Mild,2,FL2,Canon 300D,0.8998565673828125,7d99b0857fe298be91835208ad1d4e8e41ff5ed8bb26cd4bcb4360118913371b,13345389218963424721,1,-0.17814685260160096,False,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False
A,AM3_M0.90_H0.02_Mild_2,0.9,0.02,Mild,2,FL11,Canon 300D,0.8998565673828125,7d99b0857fe298be91835208ad1d4e8e41ff5ed8bb26cd4bcb4360118913371b,8485406402404684692,1,-0.2923863765596434,False,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False
A,AM3_M0.90_H0.02_Mild_3,0.9,0.02,Mild,3,D65,Canon 300D,0.7830810546875,90705001ba8697c9440905154541c155f3ad53ea6c2ddf3f0f3023aa1a052af2,5123783164691336817,1,0.017378760060775766,False,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False
A,AM3_M0.90_H0.02_Mild_3,0.9,0.02,Mild,3,A,Canon 300D,0.7830810546875,90705001ba8697c9440905154541c155f3ad53ea6c2ddf3f0f3023aa1a052af2,11700905311190364306,1,-0.46931452332286594,False,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False
A,AM3_M0.90_H0.02_Mild_3,0.9,0.02,Mild,3,FL2,Canon 300D,0.7830810546875,90705001ba8697c9440905154541c155f3ad53ea6c2ddf3f0f3023aa1a052af2,3956105256918317812,1,-0.09101928544700255,False,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False
A,AM3_M0.90_H0.02_Mild_3,0.9,0.02,Mild,3,FL11,Canon 300D,0.7830810546875,90705001ba8697c9440905154541c155f3ad53ea6c2ddf3f0f3023aa1a052af2,297071427554293034,1,0.06812598327941566,False,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False
A,AM3_M0.90_H0.02_Mild_4,0.9,0.02,Mild,4,D65,Canon 300D,0.928375244140625,02bebe39599782b3744dcd6012fc3a53dbe819582d513f300b0d41bddb35c892,7540870421842580284,1,-0.3630278825264547,False,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False
A,AM3_M0.90_H0.02_Mild_4,0.9,0.02,Mild,4,A,Canon 300D,0.928375244140625,02bebe39599782b3744dcd6012fc3a53dbe819582d513f300b0d41bddb35c892,14262084986237361560,1,-0.1721383564411903,False,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False
A,AM3_M0.90_H0.02_Mild_4,0.9,0.02,Mild,4,FL2,Canon 300D,0.928375244140625,02bebe39599782b3744dcd6012fc3a53dbe819582d513f300b0d41bddb35c892,10828578739938644969,1,0.038247977184922566,False,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False
A,AM3_M0.90_H0.02_Mild_4,0.9,0.02,Mild,4,FL11,Canon 300D,0.928375244140625,02bebe39599782b3744dcd6012fc3a53dbe819582d513f300b0d41bddb35c892,9183615757247942664,1,-0.46880641623946273,False,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False
A,AM3_M0.90_H0.02_Mild_5,0.9,0.02,Mild,5,D65,Canon 300D,0.900177001953125,642b8d87a619d5afdeba7f13523fdeab43c75f1ccb4a529f2efd3619dd8e5045,16323053004370048343,1,-0.29394551086770015,False,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False
