high_clip_element_fraction,low_clip_element_fraction,nonfinite_count,all_zero,all_one,R_zero_fraction,R_one_fraction,G_zero_fraction,G_one_fraction,B_zero_fraction,B_one_fraction,attempt,appearance_seed,exposure_ev,S_mean,P_mean,P_max
0.0,0.16750559284116331,0,False,False,0.0,0.0,0.0,0.0,0.5019714765100671,0.0,43,16235785789457233113,-0.19979477627200026,0.9999999403953552,0.0,0.0
0.0,0.1597035794183445,0,False,False,0.0,0.0,0.0,0.0,0.4785234899328859,0.0,44,11011381978595363959,-0.31673735350739357,1.0,0.0003396687388885766,0.06836752593517303
0.0,0.14149888143176734,0,False,False,0.0,0.0,0.0,0.0,0.42411912751677855,0.0,45,4208182951488007909,-0.4660026159072808,1.0,0.00044818397145718336,0.050669580698013306
0.0,0.1417225950782998,0,False,False,0.0,0.0,0.0,0.0,0.42495805369127515,0.0,46,14817230120048120897,0.23531553700257457,1.0,0.0005284461658447981,0.05820004269480705
0.0,0.16746364653243848,0,False,False,0.0,0.0,0.0,0.0,0.5019295302013422,0.0,47,15921799165160524891,-0.3840494563571958,1.0,0.0004662777646444738,0.06556355208158493
0.0,0.16068232662192394,0,False,False,0.0,0.0,0.0,0.0,0.4815436241610738,0.0,48,3203157489769394242,-0.25712703742388654,1.0,0.00017408234998583794,0.05487338453531265
0.0,0.16749161073825503,0,False,False,0.0,0.0,0.0,0.0,0.5019714765100671,0.0,49,2555359795401826293,-0.39848297908761954,1.0,0.0,0.0
0.0,0.14970637583892618,0,False,False,0.0,0.0,0.0,0.0,0.44865771812080535,0.0,50,1206252018875389582,-0.3779525398494693,1.0,0.0003346563898958266,0.06173153594136238
0.0,0.1536493288590604,0,False,False,0.0,0.0,0.0,0.0,0.46057046979865773,0.0,51,18011175894645050078,0.06315823454776037,1.0,0.00025455563445575535,0.03719113767147064
0.0,0.1647371364653244,0,False,False,0.0,0.0,0.0,0.0,0.4937919463087248,0.0,52,6625425642484385267,-0.052020786203725966,1.0,0.0005088787875138223,0.05615957826375961
0.0,0.14435123042505593,0,False,False,0.0,0.0,0.0,0.0,0.4326761744966443,0.0,53,13328040723989667133,-0.16987330257509736,1.0,0.000335122604155913,0.06373327970504761
0.0,0.12318232662192394,0,False,False,0.0,0.0,0.0,0.0,0.3691275167785235,0.0,54,8939816466353514500,0.27667424324981826,1.0,0.0007960181683301926,0.07362203299999237
0.0,0.16743568232662193,0,False,False,0.0,0.0,0.0,0.0,0.5019714765100671,0.0,55,10743308679236925783,0.24491498813973478,1.0,0.0,0.0
0.0,0.16749161073825503,0,False,False,0.0,0.0,0.0,0.0,0.5019714765100671,0.0,56,13648815766487324163,-0.46296016297152004,1.0,0.0,0.0
0.0,0.16746364653243848,0,False,False,0.0,0.0,0.0,0.0,0.5019714765100671,0.0,57,15513339267798609813,-0.05552197407797177,1.0,0.0,0.0
0.0,0.14981823266219238,0,False,False,0.0,0.0,0.0,0.0,0.44916107382550335,0.0,58,2115469630035060203,0.06525698533530289,1.0,0.0003761972184292972,0.06915280222892761
0.0,0.16753355704697986,0,False,False,0.0,0.0,0.0,0.0,0.5019714765100671,0.0,59,5611795944928565187,-0.36181687092899306,1.0,0.0,0.0
0.0,0.15128635346756153,0,False,False,0.0,0.0,0.0,0.0,0.4534815436241611,0.0,60,15199580761359264836,-0.3447600225812326,1.0,0.00028912266134284437,0.042569711804389954
0.0,0.16754753914988815,0,False,False,0.0,0.0,0.0,0.0,0.5019714765100671,0.0,61,6219296388275663643,-0.4881370264149142,1.0,0.0,0.0
0.0,0.16747762863534676,0,False,False,0.0,0.0,0.0,0.0,0.5019714765100671,0.0,62,6875133679628662833,-0.18907742572167596,0.9999999403953552,0.0,0.0
0.0,0.15725671140939598,0,False,False,0.0,0.0,0.0,0.0,0.4714765100671141,0.0,63,13069026291373477846,0.14033274008326713,1.0,0.0001987590076168999,0.05831228196620941
0.0,0.16736577181208054,0,False,False,0.0,0.0,0.0,0.0,0.501761744966443,0.0,64,5786033458585308617,0.09518962641043638,1.0,0.0006886305054649711,0.07479981333017349
