variant,fold,split_role,scale,feature,total_n,valid_n,missing_n,statistic_population,mean,std_ddof0,min,median,q1,q3,max,nonfinite,unavailable_filled_zero_n
o_stage2b,3,train,raw,calibrated_nn_cheek_mean_log2_y,400,400,0,all_cases,-1.9782220928382437,0.3320900403037319,-3.9639434511544178,-1.9554217117940271,-2.1533029899022136,-1.79661578176262,-1.000128450953381,0,0
o_stage2b,3,train,standardized_model_input,calibrated_nn_cheek_mean_log2_y,400,400,0,all_cases,4.196643033083092e-16,1,-5.9794667629899996,0.068657226285265299,-0.52720911745453025,0.54685864986955024,2.9452664132603648,0,0
o_stage2b,3,train,raw,calibrated_nn_cheek_mean_log2_rg,400,400,0,all_cases,0.97151709187755242,0.12994599375694019,0.49987167851777181,0.98427586719734095,0.89021670768470962,1.0564433743997126,1.3999809432121864,0,0
o_stage2b,3,train,standardized_model_input,calibrated_nn_cheek_mean_log2_rg,400,400,0,all_cases,6.927791673660977e-16,0.99999999999999956,-3.6295494745453865,0.098185214879755803,-0.62564748509994472,0.65355060257580588,3.2972455629225603,0,0
o_stage2b,3,train,raw,calibrated_nn_cheek_mean_log2_bg,400,400,0,all_cases,-0.5881509191258173,0.1275259404577663,-1.0711043290268398,-0.592087659799718,-0.66953452656529788,-0.50002255086302372,-0.1915220264565729,0,0
o_stage2b,3,train,standardized_model_input,calibrated_nn_cheek_mean_log2_bg,400,400,0,all_cases,-1.1102230246251566e-17,1,-3.787099378898255,-0.0308701167760023,-0.63817296424042502,0.69106228855438034,3.1101820637080411,0,0
o_stage2b,3,train,raw,calibrated_nn_forehead_minus_cheek_log2_y,400,387,13,available_only,-0.00047322821201499997,0.30489096201934918,-1.5639501912183589,0.020619078171292202,-0.1514954284593554,0.18376657254556331,0.7977788516609261,0,0
o_stage2b,3,train,standardized_model_input,calibrated_nn_forehead_minus_cheek_log2_y,400,387,0,available_only,0,1,-5.1279872405897073,0.069179834796049805,-0.495331836821572,0.60428095190924724,2.618155928880181,0,13
o_stage2b,3,train,raw,calibrated_nn_forehead_minus_cheek_log2_rg,400,387,13,available_only,-0.056835218464414701,0.11058546786387601,-0.4331043204802309,-0.058156055520524601,-0.1212238369221776,0.017894634564490301,0.36881671655544063,0,0
o_stage2b,3,train,standardized_model_input,calibrated_nn_forehead_minus_cheek_log2_rg,400,387,0,available_only,-1.8360277409821714e-17,0.99999999999999978,-3.4025185160764559,-0.0119440382323639,-0.58225207797665945,0.67576558179319701,3.849076585214676,0,13
o_stage2b,3,train,raw,calibrated_nn_forehead_minus_cheek_log2_bg,400,387,13,available_only,-0.13857666530552371,0.1089611022456265,-0.50506616786763536,-0.13523832136086181,-0.20203106087417161,-0.068261959960744106,0.1691850022878601,0,0
o_stage2b,3,train,standardized_model_input,calibrated_nn_forehead_minus_cheek_log2_bg,400,387,0,available_only,2.0655312086049424e-17,1,-3.3634893095698453,0.030637942126690298,-0.58235823849877377,0.64531932860106478,2.8245094923838918,0,13
o_stage2b,3,train,raw,forehead_available,400,400,0,all_cases,0.96750000000000003,0.1773238562630533,0,1,1,1,1,0,0
o_stage2b,3,train,standardized_model_input,forehead_available,400,400,0,all_cases,0.96750000000000003,0.1773238562630533,0,1,1,1,1,0,0
o_stage2b,3,val,raw,calibrated_nn_cheek_mean_log2_y,100,100,0,all_cases,-1.9709019197295561,0.32189196688573229,-3.1604006704712138,-2.0197328360240561,-2.1442662460610307,-1.753218864335031,-0.98591649719909957,0,0
o_stage2b,3,val,standardized_model_input,calibrated_nn_cheek_mean_log2_y,100,100,0,all_cases,0.022042736066377001,0.96929123978342635,-3.5598134064838001,-0.1249984586946537,-0.49999738947582423,0.67753681591119963,2.9880618965012444,0,0
