variant,class_index,class_name,feature,is_intercept,fold_count,coefficient_mean,coefficient_std_ddof1,coefficient_median,coefficient_min,coefficient_max,mean_abs_coefficient,positive_fold_count,negative_fold_count,zero_fold_count,sign_consistency_fraction
o_stage2a,2,severe,calibrated_cheek_mean_log2_y,False,5,-0.021635528212947903,0.042371728700514831,-0.0124236192920502,-0.086503218182713101,0.029873345947623701,0.033584866591997373,1,4,0,0.80000000000000004
o_stage2a,2,severe,calibrated_cheek_mean_log2_rg,False,5,-0.13087511111715011,0.023022255634755771,-0.13767644147572211,-0.15836000070612419,-0.1005879430608351,0.13087511111715011,0,5,0,1
o_stage2a,2,severe,calibrated_cheek_mean_log2_bg,False,5,-0.074932173439839031,0.026012605487493023,-0.076355449880464596,-0.100278170034888,-0.032187952941320201,0.074932173439839031,0,5,0,1
o_stage2a,2,severe,calibrated_forehead_minus_cheek_log2_y,False,5,-0.084523382529438709,0.045641777219390924,-0.092986336035624104,-0.1386705173527702,-0.0153785899565158,0.084523382529438709,0,5,0,1
o_stage2a,2,severe,calibrated_forehead_minus_cheek_log2_rg,False,5,-0.20805581175592552,0.032748413319679773,-0.2198123036338219,-0.2389310746881326,-0.1653621995064968,0.20805581175592552,0,5,0,1
o_stage2a,2,severe,calibrated_forehead_minus_cheek_log2_bg,False,5,-0.10405708834657401,0.017044559979092044,-0.099648677451871198,-0.12790657122429619,-0.082933616284797895,0.10405708834657401,0,5,0,1
o_stage2a,2,severe,forehead_available,False,5,0.55624262649635425,0.30534536611055962,0.4539485476516103,0.30444851469111661,1.0865110908372606,0.55624262649635425,5,0,0,1
o_stage2b,0,normal,__intercept__,True,5,0.75135486006582852,0.19212472707940806,0.83718968540693794,0.52432549054222721,0.94766036955674116,0.75135486006582852,5,0,0,1
o_stage2b,0,normal,calibrated_nn_cheek_mean_log2_y,False,5,-0.029571642924254883,0.042319811622401185,-0.035178345083079099,-0.080684228040997202,0.0165413273784067,0.040154934835935518,2,3,0,0.59999999999999998
o_stage2b,0,normal,calibrated_nn_cheek_mean_log2_rg,False,5,0.070223040579170476,0.085011759513417273,0.090498948564566903,-0.056643856063993303,0.17628541804992379,0.0928805830047678,4,1,0,0.80000000000000004
o_stage2b,0,normal,calibrated_nn_cheek_mean_log2_bg,False,5,-0.00043941851179975987,0.038657136173871537,-0.0043212352622407002,-0.050394269696119598,0.058150516058090698,0.023925649271249159,2,3,0,0.59999999999999998
o_stage2b,0,normal,calibrated_nn_forehead_minus_cheek_log2_y,False,5,-0.095117343934484497,0.091583881292436831,-0.054818170185332402,-0.2273983519159774,-0.0160709747021794,0.095117343934484497,0,5,0,1
o_stage2b,0,normal,calibrated_nn_forehead_minus_cheek_log2_rg,False,5,-0.084279143921525607,0.1649978117993206,-0.044170487303892399,-0.35425198154645798,0.096038989884737802,0.12269473987542071,1,4,0,0.80000000000000004
o_stage2b,0,normal,calibrated_nn_forehead_minus_cheek_log2_bg,False,5,0.0093361565135842792,0.14106663587229293,0.059384404946759797,-0.19856949778013699,0.1413612799252465,0.11575766916167426,3,2,0,0.59999999999999998
o_stage2b,0,normal,forehead_available,False,5,-0.78398514025384769,0.19600474200629836,-0.87122609465571765,-0.97799734850655595,-0.53929918998966631,0.78398514025384769,0,5,0,1
