trainability_strategy,label_smoothing_alpha,loss,source_experiment_dir,source_config,input_height,input_width,backbone,input_view,model_display_name,model_id,fold,best_epoch,macro_auc,balanced_accuracy,macro_f1,sensitivity,specificity
full_finetune,0.05,weighted_ce_label_smoothing,experiments\500Data\R3DPR_ResNet18_ControlVsPatient_Binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_5fold,config\train\R3DPR\r3dpr_resnet18_binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_5fold.yaml,224,224,resnet18,lip_roi,Lip ROI ResNet18,lip_roi_resnet18,1,1,0.7922077922077921,0.6677018633540373,0.6702508960573477,0.8571428571428571,0.4782608695652174
full_finetune,0.05,weighted_ce_label_smoothing,experiments\500Data\R3DPR_ResNet18_ControlVsPatient_Binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_5fold,config\train\R3DPR\r3dpr_resnet18_binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_5fold.yaml,224,224,resnet18,lip_roi,Lip ROI ResNet18,lip_roi_resnet18,2,11,0.849802371541502,0.7001693958215698,0.71875,0.922077922077922,0.4782608695652174
full_finetune,0.05,weighted_ce_label_smoothing,experiments\500Data\R3DPR_ResNet18_ControlVsPatient_Binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_5fold,config\train\R3DPR\r3dpr_resnet18_binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_5fold.yaml,224,224,resnet18,lip_roi,Lip ROI ResNet18,lip_roi_resnet18,3,17,0.8334274421230943,0.7394127611518916,0.735780837157558,0.8701298701298701,0.6086956521739131
full_finetune,0.05,weighted_ce_label_smoothing,experiments\500Data\R3DPR_ResNet18_ControlVsPatient_Binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_5fold,config\train\R3DPR\r3dpr_resnet18_binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_5fold.yaml,224,224,resnet18,lip_roi,Lip ROI ResNet18,lip_roi_resnet18,4,17,0.7555053642010163,0.6835121400338792,0.6009060511271707,0.5844155844155844,0.782608695652174
full_finetune,0.05,weighted_ce_label_smoothing,experiments\500Data\R3DPR_ResNet34_ControlVsPatient_Binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_5fold,config\train\R3DPR\r3dpr_resnet34_binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_5fold.yaml,224,224,resnet34,lip_roi,Lip ROI ResNet34,lip_roi_resnet34,0,3,0.7628458498023716,0.7010163749294184,0.5920075321686369,0.5324675324675324,0.8695652173913043
full_finetune,0.05,weighted_ce_label_smoothing,experiments\500Data\R3DPR_ResNet34_ControlVsPatient_Binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_5fold,config\train\R3DPR\r3dpr_resnet34_binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_5fold.yaml,224,224,resnet34,lip_roi,Lip ROI ResNet34,lip_roi_resnet34,1,3,0.79785431959345,0.7377188029361943,0.6570417081535569,0.6493506493506493,0.8260869565217391
full_finetune,0.05,weighted_ce_label_smoothing,experiments\500Data\R3DPR_ResNet34_ControlVsPatient_Binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_5fold,config\train\R3DPR\r3dpr_resnet34_binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_5fold.yaml,224,224,resnet34,lip_roi,Lip ROI ResNet34,lip_roi_resnet34,2,13,0.8125352907961604,0.7244494635798984,0.6843127731908694,0.7532467532467533,0.6956521739130435
full_finetune,0.05,weighted_ce_label_smoothing,experiments\500Data\R3DPR_ResNet34_ControlVsPatient_Binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_5fold,config\train\R3DPR\r3dpr_resnet34_binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_5fold.yaml,224,224,resnet34,lip_roi,Lip ROI ResNet34,lip_roi_resnet34,3,18,0.8503670242800677,0.7024280067758328,0.7086247086247086,0.8831168831168831,0.5217391304347826
full_finetune,0.05,weighted_ce_label_smoothing,experiments\500Data\R3DPR_ResNet34_ControlVsPatient_Binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_5fold,config\train\R3DPR\r3dpr_resnet34_binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_5fold.yaml,224,224,resnet34,lip_roi,Lip ROI ResNet34,lip_roi_resnet34,4,11,0.7735742518351214,0.6764539808018069,0.6710526315789473,0.8311688311688312,0.5217391304347826
full_finetune,0.05,weighted_ce_label_smoothing,experiments\500Data\R3DPR_ResNet50_ControlVsPatient_Binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_5fold,config\train\R3DPR\r3dpr_resnet50_binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_5fold.yaml,224,224,resnet50,lip_roi,Lip ROI ResNet50,lip_roi_resnet50,0,2,0.7459062676453981,0.6857707509881423,0.5882166613873931,0.5454545454545454,0.8260869565217391
