camera_name,light_name,latent_id,exposure_ev,appearance_id,overall_low_clip_fraction,overall_high_clip_fraction,nonfinite_count,all_zero_fraction,all_one_fraction,m_base,h_base,channel,pre_min,pre_p01,pre_p05,pre_median,pre_p95,pre_max,pre_mean,pre_std,pre_negative_fraction,pre_le_minus_1e6_fraction,pre_gt_one_fraction,post_exact_zero_fraction,post_le_1e6_fraction,post_exact_one_fraction,post_ge_1me6_fraction,post_mean,post_std,post_min,post_max
Nikon D50,D65,HM04,0.0,appearance0,0.0,0.0,0,0.0,0.0,0.85,0.5,G,0.1642831712961197,0.18721878230571748,0.21054567396640778,0.24573691189289093,0.27951327711343765,0.365511953830719,0.2445724606513977,0.02211647294461727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2445724606513977,0.02211647294461727,0.1642831712961197,0.365511953830719
Nikon D50,D65,HM04,0.0,appearance0,0.0,0.0,0,0.0,0.0,0.85,0.5,B,0.023413244634866714,0.028948831651359797,0.03402423672378063,0.050433965399861336,0.07119377329945564,0.24096225202083588,0.05211846902966499,0.017117498442530632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05211846902966499,0.017117498442530632,0.023413244634866714,0.24096225202083588
Nikon D50,A,HM04,0.0,appearance0,0.0,0.0,0,0.0,0.0,0.85,0.5,R,0.3732728064060211,0.4176980882883072,0.46145809441804886,0.5296782553195953,0.5883860141038895,0.6427309513092041,0.5263119339942932,0.03923682123422623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5263119339942932,0.03923682123422623,0.3732728064060211,0.6427309513092041
Nikon D50,A,HM04,0.0,appearance0,0.0,0.0,0,0.0,0.0,0.85,0.5,G,0.1651422083377838,0.18814538270235062,0.21159546822309494,0.24697872251272202,0.28069890290498734,0.36621490120887756,0.24575164914131165,0.02212132140994072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24575164914131165,0.02212132140994072,0.1651422083377838,0.36621490120887756
Nikon D50,A,HM04,0.0,appearance0,0.0,0.0,0,0.0,0.0,0.85,0.5,B,0.047428857535123825,0.05824083611369133,0.06709158234298229,0.08557027950882912,0.1070802491158247,0.25448206067085266,0.08667124807834625,0.016440054401755333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08667124807834625,0.016440054401755333,0.047428857535123825,0.25448206067085266
Nikon D50,FL2,HM04,0.0,appearance0,0.0,0.0,0,0.0,0.0,0.85,0.5,R,0.31122133135795593,0.34922129809856417,0.38721898198127747,0.44557759165763855,0.4967740848660469,0.5554859042167664,0.4426126480102539,0.033886585384607315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4426126480102539,0.033886585384607315,0.31122133135795593,0.5554859042167664
Nikon D50,FL2,HM04,0.0,appearance0,0.0,0.0,0,0.0,0.0,0.85,0.5,G,0.1824001669883728,0.2071772262454033,0.232430562376976,0.27054277062416077,0.3061351627111435,0.3864060938358307,0.26896965503692627,0.023341910913586617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26896965503692627,0.023341910913586617,0.1824001669883728,0.3864060938358307
Nikon D50,FL2,HM04,0.0,appearance0,0.0,0.0,0,0.0,0.0,0.85,0.5,B,0.004193402826786041,0.0063523235730826855,0.010403657564893365,0.021137957461178303,0.04091316647827625,0.2320118546485901,0.02399991638958454,0.017535554245114326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02399991638958454,0.017535554245114326,0.004193402826786041,0.2320118546485901
Nikon D50,FL11,HM04,0.0,appearance0,0.0,0.0,0,0.0,0.0,0.85,0.5,R,0.3419504165649414,0.38312088549137113,0.4240233302116394,0.4872693717479706,0.5425013899803162,0.5995685458183289,0.48411309719085693,0.036601778119802475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48411309719085693,0.036601778119802475,0.3419504165649414,0.5995685458183289
Nikon D50,FL11,HM04,0.0,appearance0,0.0,0.0,0,0.0,0.0,0.85,0.5,G,0.16837193071842194,0.1917235627770424,0.21550840884447098,0.25138576328754425,0.2853424400091171,0.369759202003479,0.2500660717487335,0.02230110578238964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2500660717487335,0.02230110578238964,0.16837193071842194,0.369759202003479
