camera_name,light_name,latent_id,exposure_ev,appearance_id,overall_low_clip_fraction,overall_high_clip_fraction,nonfinite_count,all_zero_fraction,all_one_fraction,original_sample_id,variable_isolation,channel,pre_min,pre_p01,pre_p05,pre_median,pre_p95,pre_max,pre_mean,pre_std,pre_negative_fraction,pre_le_minus_1e6_fraction,pre_gt_one_fraction,post_exact_zero_fraction,post_le_1e6_fraction,post_exact_one_fraction,post_ge_1me6_fraction,post_mean,post_std,post_min,post_max
Canon 20D,FL2,L031,-0.2630662848115773,appearance0,0.0,0.0,0,0.0,0.0,L031_A0,camera_only,G,0.15449576079845428,0.16843836963176728,0.18440233767032624,0.22710707783699036,0.2566121518611908,0.27503642439842224,0.2244182527065277,0.02227429486811161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2244182527065277,0.02227429486811161,0.15449576079845428,0.27503642439842224
Canon 20D,FL2,L031,-0.2630662848115773,appearance0,0.0,0.0,0,0.0,0.0,L031_A0,camera_only,B,0.01941668428480625,0.02165866583585739,0.024450081586837768,0.03679006174206734,0.04809062108397484,0.05422559008002281,0.03644707053899765,0.006825173739343882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03644707053899765,0.006825173739343882,0.01941668428480625,0.05422559008002281
Canon 300D,FL2,L031,-0.2630662848115773,appearance0,0.0,0.0,0,0.0,0.0,L031_A0,camera_only,R,0.26993870735168457,0.28977216958999635,0.31407212018966674,0.3788401186466217,0.4237502634525299,0.4556053876876831,0.3744817078113556,0.03371582180261612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3744817078113556,0.03371582180261612,0.26993870735168457,0.4556053876876831
Canon 300D,FL2,L031,-0.2630662848115773,appearance0,0.0,0.0,0,0.0,0.0,L031_A0,camera_only,G,0.15684080123901367,0.17082004010677337,0.1869395136833191,0.2300880402326584,0.259868985414505,0.27864715456962585,0.22736741602420807,0.02248677983880043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22736741602420807,0.02248677983880043,0.15684080123901367,0.27864715456962585
Canon 300D,FL2,L031,-0.2630662848115773,appearance0,0.0,0.0,0,0.0,0.0,L031_A0,camera_only,B,0.008652363903820515,0.009001895859837532,0.010050000436604024,0.015517647378146648,0.022467140480875968,0.025720229372382164,0.01566687971353531,0.003474244847893715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01566687971353531,0.003474244847893715,0.008652363903820515,0.025720229372382164
Nikon D3X,FL2,L031,-0.1368097167441055,appearance1,0.0,0.0,0,0.0,0.0,L031_A3,camera_only,R,0.3321223258972168,0.33973647475242613,0.35736568570137023,0.4058570861816406,0.443433541059494,0.4782020151615143,0.403170108795166,0.026450585573911667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.403170108795166,0.026450585573911667,0.3321223258972168,0.4782020151615143
Nikon D3X,FL2,L031,-0.1368097167441055,appearance1,0.0,0.0,0,0.0,0.0,L031_A3,camera_only,G,0.19311507046222687,0.19878504514694215,0.21147703230381013,0.2438645362854004,0.26794583797454835,0.32708218693733215,0.24215514957904816,0.01820792444050312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24215514957904816,0.01820792444050312,0.19311507046222687,0.32708218693733215
Nikon D3X,FL2,L031,-0.1368097167441055,appearance1,0.0,0.0,0,0.0,0.0,L031_A3,camera_only,B,0.0062635657377541065,0.008359601497650146,0.010695539228618146,0.016291756182909012,0.02313186563551427,0.22657246887683868,0.019178783521056175,0.019240140914916992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019178783521056175,0.019240140914916992,0.0062635657377541065,0.22657246887683868
Canon 20D,FL2,L031,-0.1368097167441055,appearance1,0.0,0.0,0,0.0,0.0,L031_A3,camera_only,R,0.33203816413879395,0.3396305239200592,0.35718405842781065,0.40565505623817444,0.44322313666343693,0.4779703617095947,0.40296274423599243,0.02643161080777645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40296274423599243,0.02643161080777645,0.33203816413879395,0.4779703617095947
Canon 20D,FL2,L031,-0.1368097167441055,appearance1,0.0,0.0,0,0.0,0.0,L031_A3,camera_only,G,0.19219718873500824,0.19784071505069734,0.21053178906440734,0.24279746413230896,0.26679784059524536,0.3264731764793396,0.24110576510429382,0.018165498971939087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24110576510429382,0.018165498971939087,0.19219718873500824,0.3264731764793396
