sample_id,latent_id,camera_name,light_name,acquisition_role,low_clip_fraction,all_zero_fraction,nonfinite_count
L034_A3,L034,Nikon D80,FL2,appearance_only,0.0,0.0,0
L034_A4,L034,Pentax Q,D65,joint,0.0,0.0,0
L035_A0,L035,Pentax Q,D65,reference,0.0,0.0,0
L035_A1,L035,SONY NEX-5N,D65,camera_only,0.0,0.0,0
L035_A2,L035,Pentax Q,A,light_only,0.0,0.0,0
L035_A3,L035,Pentax Q,D65,appearance_only,0.0,0.0,0
L035_A4,L035,SONY NEX-5N,A,joint,0.0,0.0,0
L036_A0,L036,SONY NEX-5N,A,reference,0.0,0.0,0
L036_A1,L036,Olympus E-PL2,A,camera_only,0.0,0.0,0
L036_A2,L036,SONY NEX-5N,FL2,light_only,0.0,0.0,0
L036_A3,L036,SONY NEX-5N,A,appearance_only,0.0,0.0,0
L036_A4,L036,Olympus E-PL2,FL2,joint,0.0,0.0,0
L037_A0,L037,Olympus E-PL2,FL2,reference,0.0,0.0,0
L037_A1,L037,Canon 5DMarkII,FL2,camera_only,0.0,0.0,0
L037_A2,L037,Olympus E-PL2,D65,light_only,0.0,0.0,0
L037_A3,L037,Olympus E-PL2,FL2,appearance_only,0.0,0.0,0
L037_A4,L037,Canon 5DMarkII,D65,joint,0.0,0.0,0
L038_A0,L038,Canon 5DMarkII,A,reference,0.0,0.0,0
L038_A1,L038,Nikon D3X,A,camera_only,0.0,0.0,0
L038_A2,L038,Canon 5DMarkII,FL2,light_only,0.0,0.0,0
L038_A3,L038,Canon 5DMarkII,A,appearance_only,0.0,0.0,0
L038_A4,L038,Nikon D3X,FL2,joint,0.0,0.0,0
L039_A0,L039,Nikon D3X,FL2,reference,0.0,0.0,0
L039_A1,L039,Nikon D80,FL2,camera_only,0.0,0.0,0
L039_A2,L039,Nikon D3X,D65,light_only,0.0,0.0,0
L039_A3,L039,Nikon D3X,FL2,appearance_only,0.0,0.0,0
L039_A4,L039,Nikon D80,D65,joint,0.0,0.0,0
L040_A0,L040,Canon 5DMarkII,D65,reference,0.0,0.0,0
L040_A1,L040,Canon 1DMarkIII,D65,camera_only,0.0,0.0,0
L040_A2,L040,Canon 5DMarkII,A,light_only,0.0,0.0,0
L040_A3,L040,Canon 5DMarkII,D65,appearance_only,0.0,0.0,0
L040_A4,L040,Canon 1DMarkIII,A,joint,0.0,0.0,0
L041_A0,L041,Nikon D3X,A,reference,0.0,0.0,0
L041_A1,L041,Nikon D5100,A,camera_only,0.0,0.0,0
L041_A2,L041,Nikon D3X,FL2,light_only,0.0,0.0,0
L041_A3,L041,Nikon D3X,A,appearance_only,0.0,0.0,0
L041_A4,L041,Nikon D5100,FL2,joint,0.0,0.0,0
L042_A0,L042,Nikon D80,FL2,reference,0.0,0.0,0
L042_A1,L042,Canon 1DMarkIII,FL2,camera_only,0.0,0.0,0
L042_A2,L042,Nikon D80,D65,light_only,0.0,0.0,0
L042_A3,L042,Nikon D80,FL2,appearance_only,0.0,0.0,0
L042_A4,L042,Canon 1DMarkIII,D65,joint,0.0,0.0,0
L043_A0,L043,Pentax Q,D65,reference,0.0,0.0,0
L043_A1,L043,Nikon D5100,D65,camera_only,0.0,0.0,0
L043_A2,L043,Pentax Q,A,light_only,0.0,0.0,0
L043_A3,L043,Pentax Q,D65,appearance_only,0.0,0.0,0
L043_A4,L043,Nikon D5100,A,joint,0.0,0.0,0
L044_A0,L044,SONY NEX-5N,A,reference,0.0,0.0,0
L044_A1,L044,Canon 1DMarkIII,A,camera_only,0.0,0.0,0
L044_A2,L044,SONY NEX-5N,FL2,light_only,0.0,0.0,0
L044_A3,L044,SONY NEX-5N,A,appearance_only,0.0,0.0,0
L044_A4,L044,Canon 1DMarkIII,FL2,joint,0.0,0.0,0
L045_A0,L045,Olympus E-PL2,FL2,reference,0.0,0.0,0
L045_A1,L045,Nikon D5100,FL2,camera_only,0.0,0.0,0
L045_A2,L045,Olympus E-PL2,D65,light_only,0.0,0.0,0
L045_A3,L045,Olympus E-PL2,FL2,appearance_only,0.0,0.0,0
L045_A4,L045,Nikon D5100,D65,joint,0.0,0.0,0
L046_A0,L046,Canon 5DMarkII,A,reference,0.0,0.0,0
L046_A1,L046,Canon 1DMarkIII,A,camera_only,0.0,0.0,0
L046_A2,L046,Canon 5DMarkII,FL2,light_only,0.0,0.0,0
L046_A3,L046,Canon 5DMarkII,A,appearance_only,0.0,0.0,0
L046_A4,L046,Canon 1DMarkIII,FL2,joint,0.0,0.0,0
L047_A0,L047,Nikon D3X,FL2,reference,0.0,0.0,0
L047_A1,L047,Nikon D5100,FL2,camera_only,0.0,0.0,0
L047_A2,L047,Nikon D3X,D65,light_only,0.0,0.0,0
L047_A3,L047,Nikon D3X,FL2,appearance_only,0.0,0.0,0
L047_A4,L047,Nikon D5100,D65,joint,0.0,0.0,0
L048_A0,L048,Canon 5DMarkII,D65,reference,0.0,0.0,0
L048_A1,L048,Nikon D3X,D65,camera_only,0.0,0.0,0
L048_A2,L048,Canon 5DMarkII,FL11,light_only,0.0,0.0,0
L048_A3,L048,Canon 5DMarkII,D65,appearance_only,0.0,0.0,0
L048_A4,L048,Nikon D3X,FL11,joint,0.0,0.0,0
L049_A0,L049,Nikon D3X,A,reference,0.0,0.0,0
L049_A1,L049,Nikon D80,A,camera_only,0.0,0.0,0
L049_A2,L049,Nikon D3X,FL11,light_only,0.0,0.0,0
L049_A3,L049,Nikon D3X,A,appearance_only,0.0,0.0,0
L049_A4,L049,Nikon D80,FL11,joint,0.0,0.0,0
L050_A0,L050,Nikon D80,FL2,reference,0.0,0.0,0
L050_A1,L050,Pentax Q,FL2,camera_only,0.0,0.0,0
L050_A2,L050,Nikon D80,FL11,light_only,0.0,0.0,0
L050_A3,L050,Nikon D80,FL2,appearance_only,0.0,0.0,0
L050_A4,L050,Pentax Q,FL11,joint,0.0,0.0,0
L051_A0,L051,Pentax Q,D65,reference,0.0,0.0,0
L051_A1,L051,SONY NEX-5N,D65,camera_only,0.0,0.0,0
L051_A2,L051,Pentax Q,FL11,light_only,0.0,0.0,0
L051_A3,L051,Pentax Q,D65,appearance_only,0.0,0.0,0
L051_A4,L051,SONY NEX-5N,FL11,joint,0.0,0.0,0
L052_A0,L052,SONY NEX-5N,A,reference,0.0,0.0,0
L052_A1,L052,Olympus E-PL2,A,camera_only,0.0,0.0,0
L052_A2,L052,SONY NEX-5N,FL11,light_only,0.0,0.0,0
L052_A3,L052,SONY NEX-5N,A,appearance_only,0.0,0.0,0
L052_A4,L052,Olympus E-PL2,FL11,joint,0.0,0.0,0
L053_A0,L053,Olympus E-PL2,FL2,reference,0.0,0.0,0
L053_A1,L053,Canon 5DMarkII,FL2,camera_only,0.0,0.0,0
L053_A2,L053,Olympus E-PL2,FL11,light_only,0.0,0.0,0
L053_A3,L053,Olympus E-PL2,FL2,appearance_only,0.0,0.0,0
L053_A4,L053,Canon 5DMarkII,FL11,joint,0.0,0.0,0
L054_A0,L054,Canon 5DMarkII,A,reference,0.0,0.0,0
L054_A1,L054,Nikon D3X,A,camera_only,0.0,0.0,0
L054_A2,L054,Canon 5DMarkII,FL11,light_only,0.0,0.0,0
L054_A3,L054,Canon 5DMarkII,A,appearance_only,0.0,0.0,0
L054_A4,L054,Nikon D3X,FL11,joint,0.0,0.0,0
L055_A0,L055,Nikon D3X,FL2,reference,0.0,0.0,0
L055_A1,L055,Nikon D80,FL2,camera_only,0.0,0.0,0
L055_A2,L055,Nikon D3X,FL11,light_only,0.0,0.0,0
L055_A3,L055,Nikon D3X,FL2,appearance_only,0.0,0.0,0
L055_A4,L055,Nikon D80,FL11,joint,0.0,0.0,0
L056_A0,L056,Canon 5DMarkII,D65,reference,0.0,0.0,0
L056_A1,L056,Canon 1DMarkIII,D65,camera_only,0.0,0.0,0
L056_A2,L056,Canon 5DMarkII,FL11,light_only,0.0,0.0,0
L056_A3,L056,Canon 5DMarkII,D65,appearance_only,0.0,0.0,0
L056_A4,L056,Canon 1DMarkIII,FL11,joint,0.0,0.0,0
L057_A0,L057,Nikon D3X,A,reference,0.0,0.0,0
L057_A1,L057,Nikon D5100,A,camera_only,0.0,0.0,0
L057_A2,L057,Nikon D3X,FL11,light_only,0.0,0.0,0
L057_A3,L057,Nikon D3X,A,appearance_only,0.0,0.0,0
L057_A4,L057,Nikon D5100,FL11,joint,0.0,0.0,0
L058_A0,L058,Nikon D80,FL2,reference,0.0,0.0,0
L058_A1,L058,Canon 1DMarkIII,FL2,camera_only,0.0,0.0,0
L058_A2,L058,Nikon D80,FL11,light_only,0.0,0.0,0
L058_A3,L058,Nikon D80,FL2,appearance_only,0.0,0.0,0
L058_A4,L058,Canon 1DMarkIII,FL11,joint,0.0,0.0,0
L059_A0,L059,Pentax Q,D65,reference,0.0,0.0,0
L059_A1,L059,Nikon D5100,D65,camera_only,0.0,0.0,0
L059_A2,L059,Pentax Q,FL11,light_only,0.0,0.0,0
L059_A3,L059,Pentax Q,D65,appearance_only,0.0,0.0,0
L059_A4,L059,Nikon D5100,FL11,joint,0.0,0.0,0
L060_A0,L060,SONY NEX-5N,A,reference,0.0,0.0,0
L060_A1,L060,Canon 1DMarkIII,A,camera_only,0.0,0.0,0
L060_A2,L060,SONY NEX-5N,FL11,light_only,0.0,0.0,0
L060_A3,L060,SONY NEX-5N,A,appearance_only,0.0,0.0,0
L060_A4,L060,Canon 1DMarkIII,FL11,joint,0.0,0.0,0
L061_A0,L061,Olympus E-PL2,FL2,reference,0.0,0.0,0
L061_A1,L061,Nikon D5100,FL2,camera_only,0.0,0.0,0
L061_A2,L061,Olympus E-PL2,FL11,light_only,0.0,0.0,0
L061_A3,L061,Olympus E-PL2,FL2,appearance_only,0.0,0.0,0
L061_A4,L061,Nikon D5100,FL11,joint,0.0,0.0,0
L062_A0,L062,Canon 5DMarkII,A,reference,0.0,0.0,0
L062_A1,L062,Canon 1DMarkIII,A,camera_only,0.0,0.0,0
L062_A2,L062,Canon 5DMarkII,FL11,light_only,0.0,0.0,0
L062_A3,L062,Canon 5DMarkII,A,appearance_only,0.0,0.0,0
L062_A4,L062,Canon 1DMarkIII,FL11,joint,0.0,0.0,0
L063_A0,L063,Nikon D3X,FL2,reference,0.0,0.0,0
L063_A1,L063,Nikon D5100,FL2,camera_only,0.0,0.0,0
L063_A2,L063,Nikon D3X,FL11,light_only,0.0,0.0,0
L063_A3,L063,Nikon D3X,FL2,appearance_only,0.0,0.0,0
L063_A4,L063,Nikon D5100,FL11,joint,0.0,0.0,0
