camera_name,light_name,latent_id,exposure_ev,appearance_id,overall_low_clip_fraction,overall_high_clip_fraction,nonfinite_count,all_zero_fraction,all_one_fraction,channel,pre_min,pre_p01,pre_p05,pre_median,pre_p95,pre_max,pre_mean,pre_std,pre_negative_fraction,pre_le_minus_1e6_fraction,pre_gt_one_fraction,post_exact_zero_fraction,post_le_1e6_fraction,post_exact_one_fraction,post_ge_1me6_fraction,post_mean,post_std,post_min,post_max
Canon 5DMarkII,FL11,HM04,0.0,appearance0,0.0,0.0,0,0.0,0.0,B,0.026282813400030136,0.033129797875881196,0.038582589477300644,0.054729195311665535,0.07472123764455318,0.2404962182044983,0.05632937327027321,0.016632789745926857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05632937327027321,0.016632789745926857,0.026282813400030136,0.2404962182044983
Canon 5DMarkII,D65,HM05,0.0,appearance0,0.0,0.0,0,0.0,0.0,R,0.3649584949016571,0.4000653177499771,0.4233248606324196,0.4737604111433029,0.5231868773698807,0.5602599382400513,0.4740259647369385,0.030830934643745422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4740259647369385,0.030830934643745422,0.3649584949016571,0.5602599382400513
Canon 5DMarkII,D65,HM05,0.0,appearance0,0.0,0.0,0,0.0,0.0,G,0.17282773554325104,0.19145100340247154,0.20487210899591446,0.23523551225662231,0.2654501646757126,0.36295557022094727,0.23557910323143005,0.019156498834490776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23557910323143005,0.019156498834490776,0.17282773554325104,0.36295557022094727
Canon 5DMarkII,D65,HM05,0.0,appearance0,0.0,0.0,0,0.0,0.0,B,0.041345782577991486,0.04903118312358856,0.05556084029376507,0.07259030267596245,0.09087233059108257,0.28530898690223694,0.0736294686794281,0.01599423959851265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0736294686794281,0.01599423959851265,0.041345782577991486,0.28530898690223694
Canon 5DMarkII,A,HM05,0.0,appearance0,0.0,0.0,0,0.0,0.0,R,0.3994985520839691,0.43768862932920455,0.4626600593328476,0.5171430706977844,0.5702327787876129,0.6105243563652039,0.5173339247703552,0.03323996439576149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5173339247703552,0.03323996439576149,0.3994985520839691,0.6105243563652039
Canon 5DMarkII,A,HM05,0.0,appearance0,0.0,0.0,0,0.0,0.0,G,0.17038868367671967,0.1886872209608555,0.20198842510581017,0.2319926917552948,0.261959046125412,0.36102116107940674,0.2323480248451233,0.018992839381098747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2323480248451233,0.018992839381098747,0.17038868367671967,0.36102116107940674
Canon 5DMarkII,A,HM05,0.0,appearance0,0.0,0.0,0,0.0,0.0,B,0.06983689963817596,0.08068817891180516,0.08820782788097858,0.10734472796320915,0.1271090805530548,0.2952582538127899,0.10814131796360016,0.015423465520143509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10814131796360016,0.015423465520143509,0.06983689963817596,0.2952582538127899
Canon 5DMarkII,FL2,HM05,0.0,appearance0,0.0,0.0,0,0.0,0.0,R,0.33130156993865967,0.363463369011879,0.3850705474615097,0.43168459832668304,0.4776492491364479,0.5115745067596436,0.4320046305656433,0.028575927019119263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4320046305656433,0.028575927019119263,0.33130156993865967,0.5115745067596436
Canon 5DMarkII,FL2,HM05,0.0,appearance0,0.0,0.0,0,0.0,0.0,G,0.19058673083782196,0.21055834218859673,0.22504866123199463,0.2566675841808319,0.28839629888534546,0.37614795565605164,0.25706520676612854,0.01990770734846592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25706520676612854,0.01990770734846592,0.19058673083782196,0.37614795565605164
Canon 5DMarkII,FL2,HM05,0.0,appearance0,0.0,0.0,0,0.0,0.0,B,0.02945663034915924,0.03515546228736639,0.041258049197494984,0.0570357870310545,0.0743243657052517,0.28093528747558594,0.05827531963586807,0.016346121206879616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05827531963586807,0.016346121206879616,0.02945663034915924,0.28093528747558594
