latent_id,M_mean,H_mean,camera,light,latent_split,acquisition_role,attempt_count,rejection_reason,final_exposure,final_P_mean,final_P_max,final_S_mean
R1V040,0.843944787979126,0.844351053237915,Canon 5DMarkII,D65,train_like_id,light_only,1,,-0.21555358989143936,0.0,0.0,1.0
R1V040,0.843944787979126,0.844351053237915,Canon 5DMarkII,FL2,train_like_id,appearance_only,1,,0.12820144162931058,0.00034077465534210205,0.061250440776348114,1.0
R1V040,0.843944787979126,0.844351053237915,Nikon D80,D65,train_like_id,joint,1,,-0.09101211472889226,0.00010822856711456552,0.03833984211087227,1.0
R1V041,0.8646227121353149,0.9896228909492493,Nikon D80,D65,train_like_id,reference,1,,0.17509688250277566,0.00023242142924573272,0.037548646330833435,1.0
R1V041,0.8646227121353149,0.9896228909492493,Olympus E-PL2,D65,train_like_id,camera_only,1,,-0.35523033466294535,0.00023242142924573272,0.037548646330833435,1.0
R1V041,0.8646227121353149,0.9896228909492493,Nikon D80,A,train_like_id,light_only,1,,-0.001633083238265498,0.00023242142924573272,0.037548646330833435,1.0
R1V041,0.8646227121353149,0.9896228909492493,Nikon D80,D65,train_like_id,appearance_only,1,,0.16024721678520448,9.623301593819633e-05,0.01599200628697872,1.0
R1V041,0.8646227121353149,0.9896228909492493,Olympus E-PL2,A,train_like_id,joint,1,,-0.05487463858363051,0.0,0.0,1.0
R1V042,0.8847435116767883,0.135986790060997,Olympus E-PL2,A,train_like_id,reference,1,,-0.04140476982486524,0.0,0.0,1.0
R1V042,0.8847435116767883,0.135986790060997,Canon 300D,A,train_like_id,camera_only,1,,0.13913757898540735,0.0,0.0,1.0
R1V042,0.8847435116767883,0.135986790060997,Olympus E-PL2,FL2,train_like_id,light_only,1,,-0.059357248072782864,0.0,0.0,1.0
R1V042,0.8847435116767883,0.135986790060997,Olympus E-PL2,A,train_like_id,appearance_only,1,,-0.0334353581701442,0.0,0.0,1.0
R1V042,0.8847435116767883,0.135986790060997,Canon 300D,FL2,train_like_id,joint,1,,0.0022043560579536603,0.0002841932000592351,0.07373958081007004,1.0
R1V043,0.9060373306274414,0.2814989686012268,Canon 300D,FL2,train_like_id,reference,1,,-0.33012496407908754,0.0,0.0,1.0
R1V043,0.9060373306274414,0.2814989686012268,Canon 5DMarkII,FL2,train_like_id,camera_only,1,,-0.48738530286217985,0.0,0.0,1.0
R1V043,0.9060373306274414,0.2814989686012268,Canon 300D,D65,train_like_id,light_only,1,,-0.21291284754771433,0.0,0.0,1.0
R1V043,0.9060373306274414,0.2814989686012268,Canon 300D,FL2,train_like_id,appearance_only,1,,0.2864042900073913,0.0,0.0,1.0
R1V043,0.9060373306274414,0.2814989686012268,Canon 5DMarkII,D65,train_like_id,joint,1,,-0.2917613008088421,0.00018886894395109266,0.020369529724121094,0.9999999403953552
R1V044,0.927138090133667,0.42630842328071594,Canon 5DMarkII,A,train_like_id,reference,1,,0.012641676744961305,0.00030857548699714243,0.047995325177907944,1.0
R1V044,0.927138090133667,0.42630842328071594,Nikon D80,A,train_like_id,camera_only,1,,-0.41885889960485456,0.00030857548699714243,0.047995325177907944,1.0
R1V044,0.927138090133667,0.42630842328071594,Canon 5DMarkII,FL2,train_like_id,light_only,1,,0.13785005875979617,0.00030857548699714243,0.047995325177907944,1.0
R1V044,0.927138090133667,0.42630842328071594,Canon 5DMarkII,A,train_like_id,appearance_only,1,,-0.4771619044225156,0.0003880735603161156,0.035769879817962646,1.0
R1V044,0.927138090133667,0.42630842328071594,Nikon D80,FL2,train_like_id,joint,1,,-0.04862782658165343,0.0,0.0,1.0
R1V045,0.9478135704994202,0.5737102627754211,Nikon D80,FL2,train_like_id,reference,1,,0.29396903741515257,0.0,0.0,1.0
R1V045,0.9478135704994202,0.5737102627754211,Olympus E-PL2,FL2,train_like_id,camera_only,1,,-0.06751240900229188,0.0,0.0,1.0
R1V045,0.9478135704994202,0.5737102627754211,Nikon D80,D65,train_like_id,light_only,1,,-0.1536098807032712,0.0,0.0,1.0
R1V045,0.9478135704994202,0.5737102627754211,Nikon D80,FL2,train_like_id,appearance_only,1,,0.1107527571601209,0.00013221078552305698,0.03474573418498039,1.0
