candidate,subject_id,reference_f_mel,actual_f_mel,abs_delta_f_mel,reference_f_blood,actual_f_blood,abs_delta_f_blood,reference_logrmse,actual_logrmse,abs_delta_logrmse
V2R-PSG,p022,0.080267537639467,0.08026753758730372,5.216327370050067e-11,0.0999999999999999,0.09999999999999999,9.71445146547012e-17,0.1925758221844429,0.1925758221844429,0.0
V2R-PSG,p023,0.1131070923319158,0.1131070922449148,8.700100362357688e-11,0.0999999999999999,0.09999999999999999,9.71445146547012e-17,0.0525224969979635,0.05252249699796347,2.7755575615628914e-17
V2R-PSG,p024,0.1204597439478624,0.12045974398960821,4.174581513805009e-11,0.0999999999999998,0.09999999999999999,1.942890293094024e-16,0.061521180322651,0.06152118032265101,1.3877787807814457e-17
V2R-PSG,p025,0.1016275693948903,0.10162756984669602,4.518057178382051e-10,0.044794666478585,0.044794664587876246,1.890708756224768e-09,0.0593856619344399,0.059385661934439775,1.249000902703301e-16
V2R-PSG,p026,0.119722284903718,0.11972228477378115,1.2993685294393487e-10,0.0999999999999999,0.09999999999999978,1.1102230246251565e-16,0.0576527697541414,0.05765276975414145,4.85722573273506e-17
V2R-PSG,p027,0.1195604268679566,0.1195604265247922,3.431644135520884e-10,0.0648586938717338,0.06485869608439422,2.2126604160011e-09,0.0531000946998348,0.053100094699834954,1.5265566588595902e-16
V2R-PSG,p028,0.1112458227615113,0.11124582278233539,2.082407857262325e-11,0.0933875994156002,0.09338759959701404,1.814138422817635e-10,0.0523938314865201,0.05239383148652014,4.163336342344337e-17
V2R-PSG,p029,0.1153123692727136,0.1153123696395803,3.668667036826889e-10,0.0781829988199733,0.07818299642297388,2.3969994183969945e-09,0.0550263321802587,0.055026332180259006,3.0531133177191805e-16
V2R-PSG,p031,0.0878259919239145,0.08782599192403243,1.1791956300299944e-13,0.0825519434699802,0.08255194358898295,1.1900275209697497e-10,0.0460839236319306,0.04608392363193064,4.163336342344337e-17
V2R-PSG,p032,0.0977609402245936,0.09776094022280411,1.789485226666443e-12,0.0999999999999999,0.09999999999999999,9.71445146547012e-17,0.0461700103048545,0.04617001030485454,4.163336342344337e-17
V2R-PSG,p033,0.0981961229113098,0.09819612307176245,1.6045265116559904e-10,0.0663947755475333,0.06639477466778192,8.797513828540104e-10,0.038729861557972,0.03872986155797214,1.3877787807814457e-16
V2R-PSG,p034,0.067684978456327,0.06768497692529098,1.5310360201858941e-09,0.0476611070151078,0.04766111382831353,6.813205728761762e-09,0.0480424215868405,0.04804242158684044,6.245004513516506e-17
