base_candidate,subject_id,outer_fold,setting,value,f_mel,f_blood,s,logrmse,delta_f_mel,delta_f_blood,delta_s,logrmse_change,boundary_any,converged,prediction_above_one_count
V2R-PSG,p003,2,diameter_um,30.0,0.08866864131951721,0.08772806377648898,0.8739748651624277,0.0526909587503849,0.0002336619091534431,0.012038745933051903,0.05983852855454452,-0.0010381858204678573,False,True,0
V2R-PSG,p003,2,epidermis_thickness_mm,0.05,0.09363685132099205,0.07933027371448695,0.60248744771393,0.05313849682351759,0.005201871910628278,0.0036409558710498724,-0.21164888889395317,-0.0005906477473351726,False,True,0
V2R-PSG,p003,2,epidermis_thickness_mm,0.06,0.08843498010803733,0.07568931052561773,0.8141362963079184,0.05372914457085394,6.976735578145821e-10,-7.317819350483035e-09,-4.0299964809698e-08,1.1796119636642288e-15,False,True,0
V2R-PSG,p003,2,epidermis_thickness_mm,0.07,0.08449904879029455,0.07471251470173644,0.9999999999999999,0.05628358366269142,-0.003935930620069222,-0.0009768031417006356,0.18586366339211668,0.0025544390918386603,True,True,0
V2R-PSG,p003,2,whole_blood_hb_g_l,100.0,0.08915577781845012,0.09999999999999999,0.7752077336017191,0.06484280958208977,0.0007207984080863511,0.024310682156562916,-0.038928603006164075,0.011113665011237006,True,True,0
V2R-PSG,p003,2,whole_blood_hb_g_l,150.0,0.08843498010803733,0.07568931052561773,0.8141362963079184,0.05372914457085394,6.976735578145821e-10,-7.317819350483035e-09,-4.0299964809698e-08,1.1796119636642288e-15,False,True,0
V2R-PSG,p003,2,whole_blood_hb_g_l,200.0,0.08851613492060108,0.05969049549415937,0.8390065113015138,0.05885611092235681,8.115551023731016e-05,-0.015998822349277707,0.02487017469363062,0.005126966351504052,False,True,0
V2R-PSG,p003,2,scattering_amplitude_multiplier,0.9,0.08191278017203173,0.0703903142406193,0.7020989875735323,0.05326175666064833,-0.006522199238332041,-0.005299003602817778,-0.11203734903435092,-0.0004673879102044323,False,True,0
V2R-PSG,p003,2,scattering_amplitude_multiplier,1.0,0.08843498010803733,0.07568931052561773,0.8141362963079184,0.05372914457085394,6.976735578145821e-10,-7.317819350483035e-09,-4.0299964809698e-08,1.1796119636642288e-15,False,True,0
V2R-PSG,p003,2,scattering_amplitude_multiplier,1.05,0.09170305377466133,0.07836472113034648,0.8701628718473584,0.054211338870116955,0.00326807436429756,0.0026754032869094058,0.056026535239475206,0.00048219429926419505,False,True,0
V2R-PSG,p003,2,delta_bs_shift,-0.1,0.08625330694760983,0.0810126944151683,0.7777050044777559,0.053247589750619814,-0.002181672462753942,0.005323376571731223,-0.03643133213012728,-0.00048155482023294616,False,True,0
V2R-PSG,p003,2,delta_bs_shift,0.0,0.08843498010803733,0.07568931052561773,0.8141362963079184,0.05372914457085394,6.976735578145821e-10,-7.317819350483035e-09,-4.0299964809698e-08,1.1796119636642288e-15,False,True,0
V2R-PSG,p003,2,bandwidth_420_680,260.0,0.08843498010803733,0.07568931052561773,0.8141362963079184,0.05372914457085394,6.976735578145821e-10,-7.317819350483035e-09,-4.0299964809698e-08,1.1796119636642288e-15,False,True,0
V2R-PSG,p003,2,bandwidth_430_670,240.0,0.09011510296438553,0.06982595488409286,0.852467510025188,0.050484397841736466,0.0016801235540217646,-0.005863362959344212,0.03833117341730474,-0.003244746729116295,False,True,0
