camera_name,light_name,latent_id,exposure_ev,appearance_id,overall_low_clip_fraction,overall_high_clip_fraction,nonfinite_count,all_zero_fraction,all_one_fraction,original_sample_id,variable_isolation,channel,pre_min,pre_p01,pre_p05,pre_median,pre_p95,pre_max,pre_mean,pre_std,pre_negative_fraction,pre_le_minus_1e6_fraction,pre_gt_one_fraction,post_exact_zero_fraction,post_le_1e6_fraction,post_exact_one_fraction,post_ge_1me6_fraction,post_mean,post_std,post_min,post_max
Nikon D300s,FL2,L055,0.3889419872807398,appearance0,0.0,0.0,0,0.0,0.0,L055_A0,camera_only,B,0.022601887583732605,0.026772468350827694,0.03396226465702057,0.05067887157201767,0.06383035704493523,0.07353266328573227,0.05007711425423622,0.008926669135689735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05007711425423622,0.008926669135689735,0.022601887583732605,0.07353266328573227
Nikon D3X,FL2,L055,0.3889419872807398,appearance0,0.0,0.0,0,0.0,0.0,L055_A0,camera_only,R,0.3035394549369812,0.333185151219368,0.37316465377807617,0.45702314376831055,0.5113278031349182,0.5510191321372986,0.4514167308807373,0.04213573411107063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4514167308807373,0.04213573411107063,0.3035394549369812,0.5510191321372986
Nikon D3X,FL2,L055,0.3889419872807398,appearance0,0.0,0.0,0,0.0,0.0,L055_A0,camera_only,G,0.1645580530166626,0.1820690631866455,0.20673339068889618,0.2577194571495056,0.29202888906002045,0.3167898952960968,0.2545737624168396,0.025847921147942543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2545737624168396,0.025847921147942543,0.1645580530166626,0.3167898952960968
Nikon D3X,FL2,L055,0.3889419872807398,appearance0,0.0,0.0,0,0.0,0.0,L055_A0,camera_only,B,0.015536792576313019,0.01822685729712248,0.023114080540835857,0.035162266343832016,0.04683593660593033,0.05568430945277214,0.035128187388181686,0.00714269420132041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035128187388181686,0.00714269420132041,0.015536792576313019,0.05568430945277214
Nikon D700,FL2,L055,0.3889419872807398,appearance0,0.0,0.0,0,0.0,0.0,L055_A0,camera_only,R,0.302985280752182,0.3325878232717514,0.3725038468837738,0.45623576641082764,0.5104503631591797,0.5500737428665161,0.45063626766204834,0.042070332914590836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45063626766204834,0.042070332914590836,0.302985280752182,0.5500737428665161
Nikon D700,FL2,L055,0.3889419872807398,appearance0,0.0,0.0,0,0.0,0.0,L055_A0,camera_only,G,0.1648680418729782,0.18240482360124588,0.20710301399230957,0.2581643760204315,0.2925187349319458,0.3173147141933441,0.25501206517219543,0.025884341448545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25501206517219543,0.025884341448545456,0.1648680418729782,0.3173147141933441
Nikon D700,FL2,L055,0.3889419872807398,appearance0,0.0,0.0,0,0.0,0.0,L055_A0,camera_only,B,0.01365023571997881,0.015934808179736137,0.02016787976026535,0.03071168065071106,0.0415679644793272,0.05022715777158737,0.030800815671682358,0.006446844898164272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030800815671682358,0.006446844898164272,0.01365023571997881,0.05022715777158737
Nikon D90,FL2,L055,0.3889419872807398,appearance0,0.0,0.0,0,0.0,0.0,L055_A0,camera_only,R,0.3036133050918579,0.33326558768749237,0.3732530027627945,0.45712924003601074,0.5114440619945526,0.5511424541473389,0.4515214264392853,0.04214436188340187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4515214264392853,0.04214436188340187,0.3036133050918579,0.5511424541473389
Nikon D90,FL2,L055,0.3889419872807398,appearance0,0.0,0.0,0,0.0,0.0,L055_A0,camera_only,G,0.16522422432899475,0.18279264867305756,0.20753195881843567,0.2586754262447357,0.2930765300989151,0.3179129958152771,0.25551924109458923,0.0259257685393095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25551924109458923,0.0259257685393095,0.16522422432899475,0.3179129958152771
Nikon D90,FL2,L055,0.3889419872807398,appearance0,0.0,0.0,0,0.0,0.0,L055_A0,camera_only,B,0.018453387543559074,0.021771036088466644,0.027599838562309742,0.04193350672721863,0.05430855043232441,0.06349833309650421,0.04157025367021561,0.008030369877815247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04157025367021561,0.008030369877815247,0.018453387543559074,0.06349833309650421
