camera_name,light_name,latent_id,m_base,h_base,exposure_ev,appearance_id,AUDIT_ONLY
Canon 5DMarkII,FL2,HM10,0.9791666667,0.5,0.0,appearance2,True
Canon 5DMarkII,FL11,HM10,0.9791666667,0.5,0.0,appearance2,True
Canon 5DMarkII,D65,HM10,0.9791666667,0.5,0.5,appearance2,True
Canon 5DMarkII,A,HM10,0.9791666667,0.5,0.5,appearance2,True
Canon 5DMarkII,FL2,HM10,0.9791666667,0.5,0.5,appearance2,True
Canon 5DMarkII,FL11,HM10,0.9791666667,0.5,0.5,appearance2,True
Canon 5DMarkII,D65,HM11,0.9791666667,0.8125,-0.5,appearance0,True
Canon 5DMarkII,A,HM11,0.9791666667,0.8125,-0.5,appearance0,True
Canon 5DMarkII,FL2,HM11,0.9791666667,0.8125,-0.5,appearance0,True
Canon 5DMarkII,FL11,HM11,0.9791666667,0.8125,-0.5,appearance0,True
Canon 5DMarkII,D65,HM11,0.9791666667,0.8125,0.0,appearance0,True
Canon 5DMarkII,A,HM11,0.9791666667,0.8125,0.0,appearance0,True
Canon 5DMarkII,FL2,HM11,0.9791666667,0.8125,0.0,appearance0,True
Canon 5DMarkII,FL11,HM11,0.9791666667,0.8125,0.0,appearance0,True
Canon 5DMarkII,D65,HM11,0.9791666667,0.8125,0.5,appearance0,True
Canon 5DMarkII,A,HM11,0.9791666667,0.8125,0.5,appearance0,True
Canon 5DMarkII,FL2,HM11,0.9791666667,0.8125,0.5,appearance0,True
Canon 5DMarkII,FL11,HM11,0.9791666667,0.8125,0.5,appearance0,True
Canon 5DMarkII,D65,HM11,0.9791666667,0.8125,-0.5,appearance2,True
Canon 5DMarkII,A,HM11,0.9791666667,0.8125,-0.5,appearance2,True
Canon 5DMarkII,FL2,HM11,0.9791666667,0.8125,-0.5,appearance2,True
Canon 5DMarkII,FL11,HM11,0.9791666667,0.8125,-0.5,appearance2,True
Canon 5DMarkII,D65,HM11,0.9791666667,0.8125,0.0,appearance2,True
Canon 5DMarkII,A,HM11,0.9791666667,0.8125,0.0,appearance2,True
Canon 5DMarkII,FL2,HM11,0.9791666667,0.8125,0.0,appearance2,True
Canon 5DMarkII,FL11,HM11,0.9791666667,0.8125,0.0,appearance2,True
Canon 5DMarkII,D65,HM11,0.9791666667,0.8125,0.5,appearance2,True
