case_id,source_mask_shape,source_mask_binary_0_255,source_mask_matches_x1_mask,x1_mask_valid_fraction,source_mask_valid_fraction,rgb_source_shape,b1_source_shape,b2_source_shape,output_rgb_shape,output_b1mh_shape,output_b2mh_shape
206082263,"[1220, 979]",True,False,0.6202783033875316,1.0,"(1220, 979, 3)","(2, 1220, 979)","(2, 1220, 979)","(3, 320, 256)","(5, 320, 256)","(5, 320, 256)"
206114670,"[1220, 979]",True,False,0.6611254374654633,1.0,"(1220, 979, 3)","(2, 1220, 979)","(2, 1220, 979)","(3, 320, 256)","(5, 320, 256)","(5, 320, 256)"
206133320,"[1220, 979]",True,False,0.6750933538739765,1.0,"(1220, 979, 3)","(2, 1220, 979)","(2, 1220, 979)","(3, 320, 256)","(5, 320, 256)","(5, 320, 256)"
206148129,"[1220, 979]",True,False,0.6080795056849578,1.0,"(1220, 979, 3)","(2, 1220, 979)","(2, 1220, 979)","(3, 320, 256)","(5, 320, 256)","(5, 320, 256)"
206151450,"[1220, 979]",True,False,0.6632972755739379,1.0,"(1220, 979, 3)","(2, 1220, 979)","(2, 1220, 979)","(3, 320, 256)","(5, 320, 256)","(5, 320, 256)"
206248971,"[1220, 979]",True,False,0.6454101709673639,1.0,"(1220, 979, 3)","(2, 1220, 979)","(2, 1220, 979)","(3, 320, 256)","(5, 320, 256)","(5, 320, 256)"
206281747,"[1220, 979]",True,False,0.6408848105293122,1.0,"(1220, 979, 3)","(2, 1220, 979)","(2, 1220, 979)","(3, 320, 256)","(5, 320, 256)","(5, 320, 256)"
206333335,"[1220, 979]",True,False,0.6730253353204173,1.0,"(1220, 979, 3)","(2, 1220, 979)","(2, 1220, 979)","(3, 320, 256)","(5, 320, 256)","(5, 320, 256)"
206342969,"[1220, 979]",True,False,0.6739756191496844,1.0,"(1220, 979, 3)","(2, 1220, 979)","(2, 1220, 979)","(3, 320, 256)","(5, 320, 256)","(5, 320, 256)"
206342969-1,"[1220, 979]",True,False,0.6955332473752073,1.0,"(1220, 979, 3)","(2, 1220, 979)","(2, 1220, 979)","(3, 320, 256)","(5, 320, 256)","(5, 320, 256)"
206409114,"[1220, 979]",True,False,0.6289480734774527,1.0,"(1220, 979, 3)","(2, 1220, 979)","(2, 1220, 979)","(3, 320, 256)","(5, 320, 256)","(5, 320, 256)"
206439717-1,"[1220, 979]",True,False,0.6416877375709573,1.0,"(1220, 979, 3)","(2, 1220, 979)","(2, 1220, 979)","(3, 320, 256)","(5, 320, 256)","(5, 320, 256)"
