candidate,subject_id,capture_id,outer_fold,solver_converged,selected_start_index,f_mel,f_blood,c_tHb_eq_g_l,logrmse,rmse,sam_deg,centered_logrmse,mean_log_residual,reference_logrmse,model_to_reference_error_ratio,model_better_than_reference,f_mel_at_lower,f_mel_at_upper,f_blood_at_lower,f_blood_at_upper,diameter_um,scattering_amplitude,delta_bs,g0,selected_nfev,selected_status,selected_optimality
V2R-0,p027,p027_neutral_front,4,True,6,0.070043734222585,0.0999999999999999,14.999999999999998,0.1089381562286119,0.0296033943396234,5.440616197917016,0.1089135281348923,0.0023163056144386,0.1048888958057871,1.0386052345361931,False,False,False,False,True,0.0,1.0,0.0,1.0,,,
V2R-0,p029,p029_neutral_front,4,True,8,0.0681375431410847,0.0999999999999999,14.999999999999998,0.127025274099402,0.0365904501252255,6.486359023615019,0.1269027975169694,0.00557675913011,0.0866531927313216,1.465904141504153,False,False,False,False,True,0.0,1.0,0.0,1.0,,,
V2R-0,p031,p031_neutral_front,4,True,23,0.0485145776166896,0.0928348031655074,13.92522047482611,0.0865181297349131,0.0249671486355302,3.956206513277436,0.0865150412163765,0.0007310377253826,0.1111794200646268,0.7781847547380765,True,False,False,False,False,0.0,1.0,0.0,1.0,,,
V2R-0,p034,p034_neutral_front,4,True,32,0.0403949849780109,0.0409509429846546,6.142641447698199,0.080966792152581,0.0255010673882037,3.590803679985661,0.080966577169096,-0.000186582421676,0.3058002406024518,0.2647702042126252,True,False,False,False,False,0.0,1.0,0.0,1.0,,,
V2R-0,p048,p048_neutral_front,4,True,18,0.0643716213214322,0.0999999999999999,14.999999999999998,0.1680939749480889,0.0532814237622047,9.005411034051876,0.1668740773776828,0.0202145173871612,0.0845282190446583,1.9886137061432785,False,False,False,False,True,0.0,1.0,0.0,1.0,,,
V2R-0,p007,p007_neutral_front,5,True,3,0.0853587141724096,0.0999999999999999,14.999999999999998,0.1441264280241579,0.0368779012607374,7.3780563729853075,0.1439999492732462,0.006036709725114,0.2231799342339794,0.6457857805131231,True,False,False,False,True,0.0,1.0,0.0,1.0,,,
V2R-0,p009,p009_neutral_front,5,True,24,0.0963799429347241,0.0999999999999999,14.999999999999998,0.1950412126652456,0.0484533483561181,10.38496095754467,0.1944379916330358,0.0153278194026764,0.3132877392838114,0.6225625462110895,True,False,False,False,True,0.0,1.0,0.0,1.0,,,
V2R-0,p017,p017_neutral_front,5,True,1,0.0496086779322127,0.0379333962429881,5.690009436448228,0.0943305645711802,0.0287943375203586,4.326081562775953,0.094169968429812,-0.0055020412799084,0.2346034856449402,0.4020850939697654,True,False,False,False,False,0.0,1.0,0.0,1.0,,,
V2R-0,p024,p024_neutral_front,5,True,25,0.0722251326026693,0.0999999999999999,14.999999999999998,0.0928250879094255,0.0241709720207255,4.495257922402142,0.0927344860728913,0.004100248552138,0.1301839330223582,0.7130302930199802,True,False,False,False,True,0.0,1.0,0.0,1.0,,,
V2R-0,p040,p040_neutral_front,5,True,12,0.0435060497830433,0.0732698193026352,10.990472895395284,0.0763670316438315,0.0218595466706287,3.384134664358024,0.0763538134591896,-0.0014208069289134,0.1841406946227375,0.4147211011682684,True,False,False,False,False,0.0,1.0,0.0,1.0,,,
V2R-0,p042,p042_neutral_front,5,True,21,0.0495245387681329,0.0417937324565737,6.269059868486063,0.0730522400532335,0.0250512893781889,3.695126604232188,0.0729819568615422,0.0032037087032456,0.2131414499690293,0.3427406544520009,True,False,False,False,False,0.0,1.0,0.0,1.0,,,
V2R-0,p045,p045_neutral_front,5,True,24,0.0641561601105991,0.0986651656103078,14.79977484154618,0.1053325307430882,0.0264470738531477,4.879711707003359,0.1053193062041551,-0.0016690636354079,0.078313582785636,1.3450097287900855,False,False,False,False,False,0.0,1.0,0.0,1.0,,,
V2R-0,p047,p047_neutral_front,5,True,5,0.0792107316949071,0.0999999999999999,14.999999999999998,0.1617582951419817,0.0456093748525639,8.512842848516776,0.1610340916610082,0.0152894529056627,0.1850256132003054,0.8742481235117707,True,False,False,False,True,0.0,1.0,0.0,1.0,,,
V2R-P,p004,p004_neutral_front,1,True,3,0.0651286097372844,0.0820557163507774,12.308357452616622,0.0920386281951048,0.0272953117084183,4.699813416516986,0.0919155301709289,0.0047586125534434,0.0569179411362432,1.6170407143644554,False,False,False,False,False,15.0,1.0,0.0,1.0,,,
V2R-P,p006,p006_neutral_front,1,True,19,0.0757822434084486,0.0999999999999999,14.999999999999998,0.1055389041372293,0.0299068766200242,5.492812940227201,0.105257555792746,0.0077011190760983,0.1394057748913485,0.7570626411960717,True,False,False,False,True,15.0,1.0,0.0,1.0,,,
V2R-P,p011,p011_neutral_front,1,True,26,0.0365954235567937,0.0368542270769371,5.528134061540574,0.0666694607686023,0.0284206135444048,3.642353478414828,0.0664406517202332,-0.0055187678123729,0.3732889911864766,0.178600125754305,True,False,False,False,False,15.0,1.0,0.0,1.0,,,
V2R-P,p019,p019_neutral_front,1,True,26,0.070431368458766,0.0999999999999999,14.999999999999998,0.1192824488894604,0.0317784099840203,5.737342646022456,0.1187795159116686,0.0109420844840637,0.1037332125002784,1.1498964122907145,False,False,False,False,True,15.0,1.0,0.0,1.0,,,
