candidate,subject_id,outer_fold,reference_logrmse,model_logrmse,error_ratio,model_better,reference_source
V2R-PS,p047,5,0.18502561320030544,0.07668061211131437,0.41443241713946544,True,outer_fold_train_subject_log_geometric_mean
V2R-PSG,p004,1,0.056917941136243246,0.0531977641200647,0.9346396418789352,True,outer_fold_train_subject_log_geometric_mean
V2R-PSG,p006,1,0.13940577489134853,0.05378307563521627,0.38580235056355633,True,outer_fold_train_subject_log_geometric_mean
V2R-PSG,p011,1,0.3732889911864766,0.06245018678372178,0.16729715651465535,True,outer_fold_train_subject_log_geometric_mean
V2R-PSG,p019,1,0.10373321250027841,0.07135234374361614,0.6878447319215593,True,outer_fold_train_subject_log_geometric_mean
V2R-PSG,p032,1,0.025708892340532755,0.046170010304854577,1.7958770721546307,False,outer_fold_train_subject_log_geometric_mean
V2R-PSG,p044,1,0.3098442047484866,0.0589553737501937,0.19027425024150513,True,outer_fold_train_subject_log_geometric_mean
V2R-PSG,p049,1,0.20472978773181452,0.064437139977631,0.31474237672751526,True,outer_fold_train_subject_log_geometric_mean
V2R-PSG,p050,1,0.0339307747016101,0.0537777839902196,1.5849265000031878,False,outer_fold_train_subject_log_geometric_mean
V2R-PSG,p051,1,0.055389047077739215,0.052797653991622104,0.9532147017716326,True,outer_fold_train_subject_log_geometric_mean
V2R-PSG,p003,2,0.12492241791591004,0.05495560247358998,0.4399178577425763,True,outer_fold_train_subject_log_geometric_mean
V2R-PSG,p010,2,0.0727337682326018,0.06627798121174945,0.9112408558263224,True,outer_fold_train_subject_log_geometric_mean
V2R-PSG,p013,2,0.07558012764415048,0.052973501209634524,0.7008919257062727,True,outer_fold_train_subject_log_geometric_mean
V2R-PSG,p018,2,0.2863075203985125,0.09389089842742801,0.3279372413855596,True,outer_fold_train_subject_log_geometric_mean
V2R-PSG,p020,2,0.27055280854864483,0.18904670070611368,0.6987423332259494,True,outer_fold_train_subject_log_geometric_mean
V2R-PSG,p023,2,0.08921678421914363,0.0525224969979635,0.5887064576207122,True,outer_fold_train_subject_log_geometric_mean
V2R-PSG,p037,2,0.13745873588358706,0.03928156429810965,0.2857698642840493,True,outer_fold_train_subject_log_geometric_mean
V2R-PSG,p038,2,0.15532450379589183,0.06149214156376698,0.39589465963832926,True,outer_fold_train_subject_log_geometric_mean
V2R-PSG,p041,2,0.07823874376413094,0.059996909684903024,0.7668439803401981,True,outer_fold_train_subject_log_geometric_mean
V2R-PSG,p008,3,0.24454802046892507,0.2489037438527724,1.0178113213735902,False,outer_fold_train_subject_log_geometric_mean
V2R-PSG,p014,3,0.3163864289197167,0.11189958142586505,0.3536800924361381,True,outer_fold_train_subject_log_geometric_mean
V2R-PSG,p015,3,0.13633621739213275,0.04956330061702103,0.36353730186356975,True,outer_fold_train_subject_log_geometric_mean
V2R-PSG,p021,3,0.3130906041516113,0.15666807308825367,0.5003921261475754,True,outer_fold_train_subject_log_geometric_mean
V2R-PSG,p022,3,0.3035463164089812,0.1925758221844429,0.6344198950020434,True,outer_fold_train_subject_log_geometric_mean
V2R-PSG,p028,3,0.07195083874371776,0.052393831486520194,0.7281893081627885,True,outer_fold_train_subject_log_geometric_mean
V2R-PSG,p033,3,0.17494066234247999,0.038729861557972006,0.22138856135202492,True,outer_fold_train_subject_log_geometric_mean
V2R-PSG,p043,3,0.20894111726852152,0.05371727668642059,0.25709289482445724,True,outer_fold_train_subject_log_geometric_mean
V2R-PSG,p046,3,0.3075360483278093,0.10809921415145966,0.3515009532678731,True,outer_fold_train_subject_log_geometric_mean
V2R-PSG,p005,4,0.1358455305140367,0.05868276588056682,0.43198157244123114,True,outer_fold_train_subject_log_geometric_mean
V2R-PSG,p012,4,0.13496989706723028,0.04783598091623515,0.3544196295297419,True,outer_fold_train_subject_log_geometric_mean
V2R-PSG,p025,4,0.09451058246231865,0.05938566193443991,0.6283493381084277,True,outer_fold_train_subject_log_geometric_mean
V2R-PSG,p026,4,0.13291356377868016,0.05765276975414145,0.4337613717900262,True,outer_fold_train_subject_log_geometric_mean
V2R-PSG,p027,4,0.10488889580578718,0.05310009469983484,0.5062508694738789,True,outer_fold_train_subject_log_geometric_mean
V2R-PSG,p029,4,0.08665319273132167,0.05502633218025872,0.6350179427418708,True,outer_fold_train_subject_log_geometric_mean
V2R-PSG,p031,4,0.1111794200646268,0.0460839236319306,0.4145004858376016,True,outer_fold_train_subject_log_geometric_mean
V2R-PSG,p034,4,0.3058002406024518,0.04804242158684051,0.1571039365181432,True,outer_fold_train_subject_log_geometric_mean
V2R-PSG,p048,4,0.08452821904465835,0.09192408775975863,1.08749585403181,False,outer_fold_train_subject_log_geometric_mean
V2R-PSG,p007,5,0.22317993423397947,0.06717394591396919,0.30098559776231826,True,outer_fold_train_subject_log_geometric_mean
