candidate,outer_fold,parameter,value,loss,loss_kind,solver_success,nfev,grid_kind,profile_source,profile_identifiable,acceptable_normalized_span
V2R-PS,2,delta_bs,-0.36,0.07782474941984392,centered_logrmse,True,26,uniform_or_exact_optimum,estimated_in_fold,False,0.4
V2R-PS,2,delta_bs,-0.33999999999999997,0.07735555449514588,centered_logrmse,True,27,uniform_or_exact_optimum,estimated_in_fold,False,0.4
V2R-PS,2,delta_bs,-0.32,0.07689015437092064,centered_logrmse,True,30,uniform_or_exact_optimum,estimated_in_fold,False,0.4
V2R-PS,2,delta_bs,-0.3,0.07642862806890038,centered_logrmse,True,31,uniform_or_exact_optimum,estimated_in_fold,False,0.4
V2R-PS,2,delta_bs,-0.28,0.07597106921888779,centered_logrmse,True,42,uniform_or_exact_optimum,estimated_in_fold,False,0.4
V2R-PS,2,delta_bs,-0.26,0.07551758901010487,centered_logrmse,True,34,uniform_or_exact_optimum,estimated_in_fold,False,0.4
V2R-PS,2,delta_bs,-0.24,0.07506832010283301,centered_logrmse,True,40,uniform_or_exact_optimum,estimated_in_fold,False,0.4
V2R-PS,2,delta_bs,-0.21999999999999997,0.0746234205806829,centered_logrmse,True,41,uniform_or_exact_optimum,estimated_in_fold,False,0.4
V2R-PS,2,delta_bs,-0.2,0.07418307826362114,centered_logrmse,True,38,uniform_or_exact_optimum,estimated_in_fold,False,0.4
V2R-PS,2,delta_bs,-0.18,0.07374751352693035,centered_logrmse,True,41,uniform_or_exact_optimum,estimated_in_fold,False,0.4
V2R-PS,2,delta_bs,-0.15999999999999998,0.07331696981682259,centered_logrmse,True,49,uniform_or_exact_optimum,estimated_in_fold,False,0.4
V2R-PS,2,delta_bs,-0.14,0.07289168849826531,centered_logrmse,True,64,uniform_or_exact_optimum,estimated_in_fold,False,0.4
V2R-PS,2,delta_bs,-0.12,0.07246556292841942,centered_logrmse,True,14,uniform_or_exact_optimum,estimated_in_fold,False,0.4
V2R-PS,2,delta_bs,-0.09999999999999998,0.07204308288905306,centered_logrmse,True,15,uniform_or_exact_optimum,estimated_in_fold,False,0.4
V2R-PS,2,delta_bs,-0.08000000000000002,0.0716273919181287,centered_logrmse,True,18,uniform_or_exact_optimum,estimated_in_fold,False,0.4
V2R-PS,2,delta_bs,-0.06,0.07118995806767163,centered_logrmse,True,12,uniform_or_exact_optimum,estimated_in_fold,False,0.4
V2R-PS,2,delta_bs,-0.03999999999999998,0.07078828112636773,centered_logrmse,True,13,uniform_or_exact_optimum,estimated_in_fold,False,0.4
V2R-PS,2,delta_bs,-0.020000000000000018,0.07039483006830656,centered_logrmse,True,13,uniform_or_exact_optimum,estimated_in_fold,False,0.4
