candidate,subject_id,capture_id,outer_fold,solver_converged,selected_start_index,selected_nfev,selected_status,selected_optimality,f_mel,f_blood,c_tHb_eq_g_l,logrmse,rmse,sam_deg,centered_logrmse,mean_log_residual,reference_logrmse,model_to_reference_error_ratio,model_better_than_reference,f_mel_at_lower,f_mel_at_upper,f_blood_at_lower,f_blood_at_upper,diameter_um,scattering_amplitude,delta_bs,g0
V2R-PS,p028,p028_neutral_front,3,True,10,10,1,5.557382200689167e-09,0.08624712129161835,0.074824326239942,11.2236489359913,0.051841279884560776,0.016707881418203386,3.0384997898033537,0.051834384324201864,-0.0008455186575715176,0.07195083874371776,0.7205097367831198,True,False,False,False,False,15.0,1.443266727231977,0.4999999999999999,1.0
V2R-PS,p033,p033_neutral_front,3,True,5,11,1,1.4873253970239781e-09,0.07522859845000415,0.05211796170283328,7.817694255424993,0.03704222447724487,0.011996099635149516,1.9754213691378695,0.03702520427547448,-0.0011227834083137817,0.17494066234247999,0.21174164988999292,True,False,False,False,False,15.0,1.443266727231977,0.4999999999999999,1.0
V2R-PS,p043,p043_neutral_front,3,True,3,11,2,6.402781488025328e-08,0.0795602544393549,0.02776538659341979,4.164807989012968,0.06512761345204524,0.0282929184227078,4.019754134182971,0.06480723035919975,-0.006452048289391634,0.20894111726852152,0.3117031932415017,True,False,False,False,False,15.0,1.443266727231977,0.4999999999999999,1.0
V2R-PS,p046,p046_neutral_front,3,True,24,8,2,6.893687972554541e-08,0.137650528590222,0.09999999999999999,14.999999999999998,0.11238811255401253,0.023813199877837702,6.0696882299612644,0.1123872241355516,-0.00044687197123431617,0.3075360483278093,0.3654469554548468,True,False,False,False,True,15.0,1.443266727231977,0.4999999999999999,1.0
V2R-PS,p005,p005_neutral_front,4,True,22,12,2,7.090018599749456e-08,0.11276690656585164,0.08503559614239758,12.755339421359638,0.06019415095307591,0.017074355942037805,3.523970988134205,0.060164552106824455,-0.0018874529787242759,0.1358455305140367,0.44310733467124375,True,False,False,False,False,15.0,1.4970349624431978,0.4999999999999999,1.0
V2R-PS,p012,p012_neutral_front,4,True,23,14,1,8.873230969415085e-10,0.07369153939464966,0.09062946462308602,13.594419693462903,0.04807383656314662,0.015292086603577271,2.6242289362150166,0.048071241369080774,-0.0004995149003885305,0.13496989706723028,0.3561819161735036,True,False,False,False,False,15.0,1.4970349624431978,0.4999999999999999,1.0
V2R-PS,p025,p025_neutral_front,4,True,3,8,1,6.806594504454622e-09,0.09386786185778911,0.043266336840982016,6.489950526147302,0.0627624321965348,0.02211219590498971,3.696093842503011,0.0626225911751174,-0.00418735832461673,0.09451058246231865,0.6640783556863398,True,False,False,False,False,15.0,1.4970349624431978,0.4999999999999999,1.0
V2R-PS,p026,p026_neutral_front,4,True,28,10,3,1.4147697359436977e-08,0.11045496269484226,0.09999999999999999,14.999999999999998,0.059106241399009586,0.016444170724504603,3.3671375070521727,0.05907907927645689,-0.0017916930998684649,0.13291356377868016,0.44469683694156165,True,False,False,False,True,15.0,1.4970349624431978,0.4999999999999999,1.0
V2R-PS,p027,p027_neutral_front,4,True,7,8,2,2.2098313025421753e-08,0.11084789124616685,0.06332228001746991,9.498342002620486,0.055025757275989066,0.0157522114369893,3.210993383392122,0.05498559573862887,-0.002101957436329493,0.10488889580578718,0.5246099394341518,True,False,False,False,False,15.0,1.4970349624431978,0.4999999999999999,1.0
V2R-PS,p029,p029_neutral_front,4,True,5,10,1,4.188766931443083e-09,0.10689505258010805,0.07456088479378169,11.184132719067254,0.05602507240400312,0.014468071304387174,3.0238526326145787,0.056014345095269605,-0.0010963035263272022,0.08665319273132167,0.6465436602863023,True,False,False,False,False,15.0,1.4970349624431978,0.4999999999999999,1.0
V2R-PS,p031,p031_neutral_front,4,True,14,10,2,1.468715054884083e-08,0.08064009760860459,0.07746398626764144,11.619597940146216,0.04927597815709358,0.017016764956452147,2.747666601183626,0.049171978141216634,-0.0031997795264793716,0.1111794200646268,0.4432113256972401,True,False,False,False,False,15.0,1.4970349624431978,0.4999999999999999,1.0
V2R-PS,p034,p034_neutral_front,4,True,17,11,2,1.089303951706676e-08,0.06155313192195491,0.04404726164252962,6.607089246379442,0.05370547700799424,0.024003791971964554,3.1422622223605607,0.05337041769138682,-0.005989722539742779,0.3058002406024518,0.17562274281468843,True,False,False,False,False,15.0,1.4970349624431978,0.4999999999999999,1.0
