candidate,subject_id,outer_fold,wavelength_nm,signed_residual,log_residual,band_role
V2R-PSG,p028,3,650,-0.005950260853300249,-0.013321066690972327,fit
V2R-PSG,p028,3,660,-0.0010720129973214032,-0.002328485358060406,fit
V2R-PSG,p028,3,670,-0.034998600988933926,-0.07106283461913288,fit
V2R-PSG,p028,3,680,0.046671071849819556,0.10002646651192537,fit
V2R-PSG,p028,3,690,-0.025639603975028402,-0.04952819947056253,edge_diagnostic
V2R-PSG,p028,3,700,0.03709930601350597,0.0743393978213499,edge_diagnostic
V2R-PSG,p033,3,400,-0.19413017201519125,-0.5801883879917213,edge_diagnostic
V2R-PSG,p033,3,410,-0.10243744025337792,-0.3490842384004762,edge_diagnostic
V2R-PSG,p033,3,420,-0.019630042602463343,-0.07740854969156796,fit
V2R-PSG,p033,3,430,0.002705640371542445,0.011195377326748357,fit
V2R-PSG,p033,3,440,0.005575092191777681,0.023204664616334414,fit
V2R-PSG,p033,3,450,0.018907891401386295,0.0797822880614123,fit
V2R-PSG,p033,3,460,-0.005310118303318845,-0.020834030709073303,fit
V2R-PSG,p033,3,470,-0.005390718965093078,-0.020722135025970312,fit
V2R-PSG,p033,3,480,0.001289709637664671,0.004913415116164055,fit
V2R-PSG,p033,3,490,0.0011759489645433718,0.004394576514429982,fit
V2R-PSG,p033,3,500,-0.005533707744798166,-0.020045946045496033,fit
V2R-PSG,p033,3,510,-0.010546072135509066,-0.03732142818330275,fit
V2R-PSG,p033,3,520,-0.008998034771852736,-0.0319061426372973,fit
V2R-PSG,p033,3,530,-0.0034935299514332607,-0.012817183582587877,fit
V2R-PSG,p033,3,540,-0.004488091205364364,-0.01672080408767851,fit
V2R-PSG,p033,3,550,-0.005955888049732405,-0.021737237548475896,fit
V2R-PSG,p033,3,560,-0.0074198177845289925,-0.026278972159694325,fit
V2R-PSG,p033,3,570,-0.01495257586572607,-0.05288747277094852,fit
V2R-PSG,p033,3,580,-0.007535679400493767,-0.027019147439597324,fit
V2R-PSG,p033,3,590,0.02419304979682879,0.07872862319800467,fit
V2R-PSG,p033,3,600,0.01946177069211802,0.053071511686161754,fit
V2R-PSG,p033,3,610,0.010439425959875348,0.025821443387571752,fit
V2R-PSG,p033,3,620,0.005324101619828325,0.012286295835417516,fit
V2R-PSG,p033,3,630,-0.004328288853771456,-0.009417633470767184,fit
V2R-PSG,p033,3,640,-0.00632155513850341,-0.013204693396869138,fit
V2R-PSG,p033,3,650,0.002850294233927131,0.00581233744150389,fit
V2R-PSG,p033,3,660,0.004759926731248365,0.009421219168592176,fit
V2R-PSG,p033,3,670,0.015209353538048864,0.029538990255084996,fit
V2R-PSG,p033,3,680,0.044651380132413765,0.08680214256343166,fit
V2R-PSG,p033,3,690,0.011374688714217984,0.02085931597784829,edge_diagnostic
V2R-PSG,p033,3,700,0.02806876766208155,0.05111609483384627,edge_diagnostic
V2R-PSG,p043,3,400,-0.1414989249254794,-0.46482751345962314,edge_diagnostic
V2R-PSG,p043,3,410,-0.07603143466219042,-0.27732687718786275,edge_diagnostic
V2R-PSG,p043,3,420,-0.00437119690155513,-0.018263067052454618,fit
V2R-PSG,p043,3,430,0.0197581450620245,0.0870414342034096,fit
V2R-PSG,p043,3,440,0.022306999010219264,0.0984608560698983,fit
V2R-PSG,p043,3,450,0.015580969566599212,0.06655938337579603,fit
V2R-PSG,p043,3,460,0.0014720019241057647,0.005955400820194301,fit
V2R-PSG,p043,3,470,0.0023664271347016985,0.009367174866655503,fit
V2R-PSG,p043,3,480,0.008273892973928054,0.03228543857439803,fit
V2R-PSG,p043,3,490,-0.0011744141910402517,-0.00438928731235011,fit
V2R-PSG,p043,3,500,-0.011441099778604302,-0.04091923929156338,fit
V2R-PSG,p043,3,510,-0.00707031897021454,-0.02490633886684468,fit
V2R-PSG,p043,3,520,-0.0056530312497775626,-0.019709718541775167,fit
V2R-PSG,p043,3,530,-0.0036521681573961073,-0.012877870582471251,fit
V2R-PSG,p043,3,540,0.00641135404840254,0.023092187122163876,fit
V2R-PSG,p043,3,550,-0.01726250033336496,-0.05810797931760181,fit
V2R-PSG,p043,3,560,0.000706692451331592,0.0023677244832542854,fit
V2R-PSG,p043,3,570,-0.0024075620834217437,-0.008016395582291613,fit
V2R-PSG,p043,3,580,0.00872834938145639,0.029300065221059768,fit
V2R-PSG,p043,3,590,0.035288634919423134,0.10775488321371784,fit
V2R-PSG,p043,3,600,0.01621196403908648,0.04200599266647065,fit
V2R-PSG,p043,3,610,-0.014348029851616928,-0.03340798716228255,fit
V2R-PSG,p043,3,620,-0.01468262004459242,-0.03243569058035067,fit
V2R-PSG,p043,3,630,-0.027927611478311853,-0.058355529700317765,fit
V2R-PSG,p043,3,640,-0.03176984153415363,-0.0638505557077359,fit
V2R-PSG,p043,3,650,-0.04408359824164515,-0.08488799473934117,fit
V2R-PSG,p043,3,660,-0.017565426618077695,-0.03367701729878547,fit
V2R-PSG,p043,3,670,-0.05988960950642164,-0.10756412375536928,fit
V2R-PSG,p043,3,680,0.033450973475886436,0.06377378663032507,fit
V2R-PSG,p043,3,690,-0.05108732071870681,-0.0880682013939128,edge_diagnostic
V2R-PSG,p043,3,700,0.011575784950590862,0.020619273658463055,edge_diagnostic
V2R-PSG,p046,3,400,-0.2517910062682376,-0.9283151734804195,edge_diagnostic
V2R-PSG,p046,3,410,-0.14844785311445496,-0.6476054720347537,edge_diagnostic
V2R-PSG,p046,3,420,-0.06895775027778692,-0.35548060797925873,fit
V2R-PSG,p046,3,430,-0.032551723732066606,-0.18485856787832255,fit
V2R-PSG,p046,3,440,-0.012795325998861157,-0.07723919129073864,fit
V2R-PSG,p046,3,450,-0.017508320146608247,-0.10441921684270339,fit
V2R-PSG,p046,3,460,-0.018808521392867705,-0.11146684049286004,fit
V2R-PSG,p046,3,470,-0.012870603212417314,-0.077248734501977,fit
V2R-PSG,p046,3,480,-0.0076864296299638535,-0.04649882847533471,fit
V2R-PSG,p046,3,490,-0.005828380766326108,-0.035146765132498814,fit
V2R-PSG,p046,3,500,-0.006520468853849076,-0.03882028566855111,fit
V2R-PSG,p046,3,510,-0.009095200287256272,-0.05318385111382562,fit
V2R-PSG,p046,3,520,-0.005531526983437757,-0.03253262618021835,fit
V2R-PSG,p046,3,530,-5.848850387746296e-05,-0.00035276604975398307,fit
V2R-PSG,p046,3,540,0.005966799328721378,0.03686351018958001,fit
V2R-PSG,p046,3,550,0.0019684033102359833,0.011829617571142759,fit
V2R-PSG,p046,3,560,0.0003753868177037434,0.002194514028896366,fit
V2R-PSG,p046,3,570,0.007454056354414623,0.044601466007490265,fit
V2R-PSG,p046,3,580,0.012644446094808665,0.07644761241260545,fit
V2R-PSG,p046,3,590,0.033860000543596,0.1924639968983879,fit
V2R-PSG,p046,3,600,0.013189351360700013,0.060475013102285535,fit
V2R-PSG,p046,3,610,0.02086076441137169,0.08856892851082843,fit
V2R-PSG,p046,3,620,0.01175844846256957,0.045357767219666334,fit
V2R-PSG,p046,3,630,-0.00017018962045906028,-0.0006030649082924278,fit
V2R-PSG,p046,3,640,0.02228858400190964,0.07782529895736712,fit
V2R-PSG,p046,3,650,0.0080376908760732,0.02605728056879064,fit
V2R-PSG,p046,3,660,0.022547506747187973,0.07133055010778411,fit
V2R-PSG,p046,3,670,0.028939755578842596,0.0883343945992836,fit
V2R-PSG,p046,3,680,0.057960296557552526,0.17705658640556088,fit
V2R-PSG,p046,3,690,0.04018875746281547,0.11432655016846494,edge_diagnostic
V2R-PSG,p046,3,700,0.071365246112498,0.2045866897981572,edge_diagnostic
V2R-PSG,p005,4,400,-0.18621117047839775,-0.678876992124576,edge_diagnostic
V2R-PSG,p005,4,410,-0.10395691190190709,-0.4362359084214549,edge_diagnostic
V2R-PSG,p005,4,420,-0.02785570554823999,-0.13763938246315122,fit
V2R-PSG,p005,4,430,0.0012734966253928892,0.006807329474093793,fit
V2R-PSG,p005,4,440,0.012221568280514211,0.0675399736918394,fit
V2R-PSG,p005,4,450,0.010968134746559471,0.06001944112697144,fit
