candidate,subject_id,outer_fold,start_index,selected,success,valid,logrmse,cost,nfev,status,optimality,initial_theta,final_theta
V2R-PS,p011,1,7,False,True,True,0.06952233906579293,0.06525030099391756,8,2,2.9895562888231753e-07,"[0.07390729882754385,0.08073253128677607]","[0.052888547127316055,0.03875958798829206]"
V2R-PS,p011,1,8,False,True,True,0.0695223390658145,0.06525030099395802,8,2,1.3585034253893237e-07,"[0.08203590892255307,0.04374245963990689]","[0.05288852299648119,0.03875968219082586]"
V2R-PS,p011,1,9,False,True,True,0.06952233906576985,0.06525030099387422,11,2,3.0286852540964286e-08,"[0.279534624684602,0.07262933347374201]","[0.05288853378774187,0.038759640123352986]"
V2R-PS,p011,1,10,False,True,True,0.06952233906577555,0.06525030099388493,12,2,5.7010602814129746e-08,"[0.35468085234984753,0.013984295539557934]","[0.052888531104918264,0.03875965050724466]"
V2R-PS,p011,1,11,False,True,True,0.06952233906580617,0.0652503009939424,9,2,3.4710339588003945e-07,"[0.11686984483152628,0.09603565707802773]","[0.05288854953478307,0.038759578620679476]"
V2R-PS,p011,1,12,False,True,True,0.06952233906579935,0.06525030099392962,11,2,1.0996203768154163e-07,"[0.2028926231712103,0.00260564424097538]","[0.052888525432135555,0.038759672596409514]"
V2R-PS,p011,1,13,False,True,True,0.06952233906577251,0.06525030099387924,11,2,4.3651133604896745e-08,"[0.40054060803726316,0.08154134918004274]","[0.05288853233654053,0.03875964581241682]"
V2R-PS,p011,1,14,False,True,True,0.06952233906580023,0.06525030099393123,11,2,1.1305413338916836e-07,"[0.2606999582611024,0.02914440091699362]","[0.052888525295760457,0.038759673289269055]"
V2R-PS,p011,1,15,False,True,True,0.06952233906577038,0.06525030099387522,8,2,8.127233510972441e-08,"[0.022739681638777254,0.06114693731069565]","[0.05288854046397828,0.03875961403260429]"
V2R-PS,p011,1,16,False,True,True,0.06952233906578119,0.0652503009938955,8,2,7.434048786106101e-08,"[0.012110762391239404,0.02730115978047252]","[0.052888529344317155,0.038759657413515294]"
V2R-PS,p011,1,17,False,True,True,0.06952233906580256,0.06525030099393563,10,2,3.240030334248786e-07,"[0.24445641487836836,0.05779001908376813]","[0.052888548938769,0.03875958099421412]"
V2R-PS,p011,1,18,False,True,True,0.06952233906579419,0.06525030099391993,12,2,1.0228083936189799e-07,"[0.38429685961455107,0.003838580939918757]","[0.05288852639634995,0.03875966887929658]"
V2R-PS,p011,1,19,False,True,True,0.06952233906578037,0.06525030099389399,10,2,6.983180124953185e-08,"[0.19226390896365045,0.08741296445950866]","[0.05288852958253202,0.038759656420717103]"
V2R-PS,p011,1,20,False,True,True,0.06952233906579924,0.0652503009939294,10,2,1.1157299610800824e-07,"[0.13296091536059976,0.017463272344321015]","[0.05288852546427648,0.038759672551948676]"
V2R-PS,p011,1,21,False,True,True,0.06952233906578423,0.06525030099390122,11,2,8.176751374829249e-08,"[0.3654689595103264,0.09790330054238439]","[0.052888528580856436,0.0387596603931882]"
V2R-PS,p011,1,22,False,True,True,0.06952233906579706,0.06525030099392529,11,2,1.087088951804608e-07,"[0.29032252680510284,0.03769995803013444]","[0.05288852587074088,0.038759670986628594]"
V2R-PS,p011,1,23,True,True,True,0.06952233906576887,0.0652503009938724,9,2,2.2757123165044435e-08,"[0.09812718449160457,0.07132316669449211]","[0.05288853440633315,0.03875963762582807]"
V2R-PS,p011,1,24,False,True,True,0.06952233906577096,0.06525030099387631,7,2,6.6668201806548e-08,"[0.06506408396176994,0.009279682580381633]","[0.05288854078090614,0.03875961289446628]"
V2R-PS,p011,1,25,False,True,True,0.06952233906577367,0.06525030099388139,11,2,4.705394257493876e-08,"[0.29563144234009087,0.07571541508659721]","[0.052888531849288954,0.0387596476202152]"
V2R-PS,p011,1,26,False,True,True,0.06952233906579508,0.06525030099392158,11,2,1.0156155694455428e-07,"[0.33134458647109566,0.03592258645221591]","[0.05288852621489033,0.03875966953722133]"
V2R-PS,p011,1,27,False,True,True,0.06952233906577036,0.06525030099387522,10,2,3.288560992586911e-08,"[0.1410895262565464,0.0554251384921372]","[0.052888533459913886,0.038759641357829416]"
V2R-PS,p011,1,28,False,True,True,0.06952233906577023,0.06525030099387494,10,2,3.189534136772845e-08,"[0.1858281201403588,0.049440217111259704]","[0.052888533420701725,0.03875964145176944]"
V2R-PS,p011,1,29,False,True,True,0.0695223390657786,0.06525030099389063,11,2,1.8218696745722624e-07,"[0.41675470856018365,0.06582712447270751]","[0.05288854369019117,0.038759601397818665]"
V2R-PS,p011,1,30,False,True,True,0.06952233906579398,0.06525030099391951,11,2,1.0020594580699794e-07,"[0.2374547301325947,0.019785437267273664]","[0.05288852645793833,0.03875966868258196]"
V2R-PS,p011,1,31,False,True,True,0.06952233906577188,0.065250300993878,8,2,4.1648428904648076e-08,"[0.0468404398765415,0.08933682041242719]","[0.05288853264485205,0.03875964449602919]"
