candidate,reference,metric,fold,delta_candidate_minus_reference
global_stage2a,global_raw,macro_auc,1,0.0028418795390944274
global_stage2a,global_raw,macro_auc,2,-0.007582191680249095
global_stage2a,global_raw,macro_auc,3,0.025804153626749704
global_stage2a,global_raw,macro_auc,4,-0.022124876231136903
global_stage2a,global_raw,accuracy,0,0.020000000000000018
global_stage2a,global_raw,accuracy,1,0.029999999999999916
global_stage2a,global_raw,accuracy,2,0.010000000000000009
global_stage2a,global_raw,accuracy,3,0.0
global_stage2a,global_raw,accuracy,4,-0.010000000000000009
global_stage2a,global_raw,balanced_accuracy,0,0.0455293186739964
global_stage2a,global_raw,balanced_accuracy,1,0.007183908045977017
global_stage2a,global_raw,balanced_accuracy,2,0.007092198581560238
global_stage2a,global_raw,balanced_accuracy,3,-0.024308767602014558
global_stage2a,global_raw,balanced_accuracy,4,0.09377119950662971
global_stage2a,global_raw,macro_f1,0,0.02227883222070992
global_stage2a,global_raw,macro_f1,1,0.004198427300777352
global_stage2a,global_raw,macro_f1,2,0.007353340719841561
global_stage2a,global_raw,macro_f1,3,-0.004416398489409168
global_stage2a,global_raw,macro_f1,4,0.04174753527960029
global_stage2a,global_raw,auc_normal,0,0.00903444381705254
global_stage2a,global_raw,auc_normal,1,-0.008469791078486666
global_stage2a,global_raw,auc_normal,2,-0.012422360248447228
global_stage2a,global_raw,auc_normal,3,0.008469791078486666
global_stage2a,global_raw,auc_normal,4,0.04912478825522304
global_stage2a,global_raw,auc_mild,0,0.033253205128205066
global_stage2a,global_raw,auc_mild,1,0.03205128205128205
global_stage2a,global_raw,auc_mild,2,-0.02127659574468077
global_stage2a,global_raw,auc_mild,3,0.018466479325572105
global_stage2a,global_raw,auc_mild,4,-0.07788036932958631
global_stage2a,global_raw,auc_severe,0,0.003399708596406037
global_stage2a,global_raw,auc_severe,1,-0.015055852355512434
global_stage2a,global_raw,auc_severe,2,0.010952380952380936
global_stage2a,global_raw,auc_severe,3,0.05047619047619056
global_stage2a,global_raw,auc_severe,4,-0.03761904761904755
global_stage2a,global_raw,recall_normal,0,0.26086956521739124
global_stage2a,global_raw,recall_normal,1,0.0
global_stage2a,global_raw,recall_normal,2,0.0
global_stage2a,global_raw,recall_normal,3,-0.26086956521739124
global_stage2a,global_raw,recall_normal,4,0.5217391304347826
global_stage2a,global_raw,recall_mild,0,-0.02083333333333326
global_stage2a,global_raw,recall_mild,1,0.125
global_stage2a,global_raw,recall_mild,2,0.021276595744680882
global_stage2a,global_raw,recall_mild,3,0.021276595744680882
global_stage2a,global_raw,recall_mild,4,-0.34042553191489355
global_stage2a,global_raw,recall_severe,0,-0.10344827586206895
global_stage2a,global_raw,recall_severe,1,-0.10344827586206895
global_stage2a,global_raw,recall_severe,2,0.0
global_stage2a,global_raw,recall_severe,3,0.16666666666666669
global_stage2a,global_raw,recall_severe,4,0.09999999999999998
global_stage2a,global_raw,severe_vs_rest_auc,0,0.003399708596406037
