candidate,reference,metric,oof_delta_candidate_minus_reference,fold_delta_mean,fold_delta_sample_std_ddof1,fold_delta_median,fold_delta_min,fold_delta_max,candidate_better_folds,reference_better_folds,equal_folds
global_stage2a,global_mask,macro_auc,0.027530308789554314,0.019091493233109567,0.024010388524303726,0.01861097290102598,-0.00958611834016998,0.04865786005855466,4,1,0
global_stage2a,global_mask,accuracy,0.038000000000000034,0.03800000000000001,0.047644516998286375,0.04999999999999993,-0.03999999999999998,0.08000000000000002,4,1,0
global_stage2a,global_mask,balanced_accuracy,0.005881638380262455,0.005442429494472645,0.05601267889658578,0.0015304847576211866,-0.06875321204645912,0.06350087367663693,3,2,0
global_stage2a,global_mask,macro_f1,0.026813736711656544,0.024914906895076895,0.05190348531449032,0.040855350670594204,-0.03636228030921229,0.07502873839507501,3,2,0
global_stage2a,global_mask,auc_normal,0.04544325239977409,0.021908526256352378,0.028371763357064872,0.03783173348390745,-0.02371541501976282,0.04517221908526259,4,1,0
global_stage2a,global_mask,auc_mild,0.043942821389035935,0.034335402320147444,0.035005947786396915,0.028445512820512775,0.005218787635487887,0.0903251706142113,5,0,0
global_stage2a,global_mask,auc_severe,-0.006795147420147307,0.001030551122828971,0.03347207892931784,0.010476190476190528,-0.04711024769305483,0.04273919378338997,3,2,0
global_stage2a,global_mask,recall_normal,-0.08695652173913049,-0.08695652173913046,0.15371886547533645,-0.08695652173913049,-0.26086956521739135,0.08695652173913046,2,3,0
global_stage2a,global_mask,recall_mild,0.15189873417721517,0.15132978723404258,0.08496289433222712,0.17021276595744683,0.021276595744680882,0.25000000000000006,5,0,0
global_stage2a,global_mask,recall_severe,-0.047297297297297314,-0.048045977011494254,0.11561412989471453,0.0,-0.24137931034482757,0.03448275862068964,2,2,1
global_stage2a,global_mask,severe_vs_rest_auc,-0.006795147420147307,0.001030551122828971,0.03347207892931784,0.010476190476190528,-0.04711024769305483,0.04273919378338997,3,2,0
global_stage2a,global_mask,normal_vs_abnormal_auc,0.04544325239977409,0.021908526256352378,0.028371763357064872,0.03783173348390745,-0.02371541501976282,0.04517221908526259,4,1,0
global_stage2b,global_mask,macro_auc,0.02284149260924051,0.01523284835442269,0.020598444469184577,0.017193328684369957,-0.014796054608674725,0.03520215154882578,4,1,0
global_stage2b,global_mask,accuracy,0.02200000000000002,0.02200000000000002,0.05167204273105526,0.030000000000000027,-0.06,0.07,4,1,0
global_stage2b,global_mask,balanced_accuracy,0.003582366075486565,0.003182433605892121,0.06319406495358235,-0.011015325670497955,-0.08293760920957965,0.07861034021996105,2,3,0
global_stage2b,global_mask,macro_f1,0.015863170009825178,0.01647987968132362,0.05857591897711876,0.00884705190464552,-0.056861484536363194,0.0903634438146701,3,2,0
global_stage2b,global_mask,auc_normal,0.04569169960474295,0.0266516092603049,0.022885508541640332,0.0383963862224731,-0.008469791078486777,0.04856013551665728,4,1,0
global_stage2b,global_mask,auc_mild,0.04557924628194643,0.03353894533139819,0.021304445856427132,0.02609393817743877,0.016459253311922994,0.07065435568044975,5,0,0
global_stage2b,global_mask,auc_severe,-0.022746468058968072,-0.01449200952843499,0.03425949989190448,-0.011656143759106397,-0.0655658086449733,0.030952380952380953,1,4,0
global_stage2b,global_mask,recall_normal,-0.034782608695652195,-0.03478260869565219,0.18801520269947525,0.0,-0.26086956521739135,0.21739130434782608,2,2,1
global_stage2b,global_mask,recall_mild,0.09282700421940931,0.09237588652482269,0.0816912300651906,0.08510638297872342,-0.021276595744680826,0.20833333333333331,4,1,0
global_stage2b,global_mask,recall_severe,-0.047297297297297314,-0.048045977011494254,0.11561412989471453,0.0,-0.24137931034482757,0.03448275862068964,2,2,1
global_stage2b,global_mask,severe_vs_rest_auc,-0.022746468058968072,-0.01449200952843499,0.03425949989190448,-0.011656143759106397,-0.0655658086449733,0.030952380952380953,1,4,0
global_stage2b,global_mask,normal_vs_abnormal_auc,0.04569169960474295,0.0266516092603049,0.022885508541640332,0.0383963862224731,-0.008469791078486777,0.04856013551665728,4,1,0
global_stage2a,global_raw,macro_auc,0.010921623466096153,0.0028336168870025436,0.01879301432933787,0.0028418795390944274,-0.022124876231136903,0.025804153626749704,3,2,0
global_stage2a,global_raw,accuracy,0.010000000000000009,0.009999999999999986,0.015811388300841875,0.010000000000000009,-0.010000000000000009,0.029999999999999916,3,1,1
global_stage2a,global_raw,balanced_accuracy,0.02662888535205543,0.02585357144122976,0.04532313132485084,0.007183908045977017,-0.024308767602014558,0.09377119950662971,4,1,0
global_stage2a,global_raw,macro_f1,0.015848795292642937,0.014232347406303992,0.018149431745447447,0.007353340719841561,-0.004416398489409168,0.04174753527960029,4,1,0
global_stage2a,global_raw,auc_normal,0.01824957651044612,0.00914737436476567,0.024363309829160858,0.008469791078486666,-0.012422360248447228,0.04912478825522304,3,2,0
