variant,fold,feature,train_valid_n,val_valid_n,train_availability_ratio,val_availability_ratio,train_mean,train_std,train_median,train_min,train_max,val_mean,val_std,val_median,val_min,val_max,standardized_mean_difference,train_unavailable_n,val_unavailable_n,forehead_feature
global_stage2b,0,calibrated_nn_forehead_minus_cheek_log2_rg,390.0,96.0,0.975,0.96,-0.0511175612815287,0.1100496397309694,-0.051931058797309,-0.3617848077655255,0.3781041785991048,-0.0595610440196564,0.1134645123040069,-0.0602734589686937,-0.4476105897517474,0.1946154341183071,-0.0767243105817417,10.0,4.0,True
global_stage2b,0,calibrated_nn_forehead_minus_cheek_log2_bg,390.0,96.0,0.975,0.96,-0.1372842959024654,0.1128802867906295,-0.1308538968030548,-0.4470250108246738,0.1581911017780729,-0.1501321527239192,0.0997247659283185,-0.1478156728912167,-0.5004335468779973,0.0862521698548539,-0.1138184282370226,10.0,4.0,True
global_stage2b,1,calibrated_nn_cheek_mean_log2_y,400.0,100.0,0.9725,0.97,-1.9647203209875392,0.3371890339951268,-1.9535440469838177,-4.001006960010759,-0.9622505557933194,-1.9863635646860396,0.3260549821165544,-1.996494743885607,-2.876150070295832,-1.3113127160950515,-0.0641872703927047,11.0,3.0,False
global_stage2b,1,calibrated_nn_cheek_mean_log2_rg,400.0,100.0,0.9725,0.97,0.967227085636416,0.1320391041976211,0.9763467723024196,0.497411657905087,1.4072527594985456,0.9780978311456738,0.1349556052800829,0.9855754332789528,0.5652095937612271,1.258135138162281,0.0823297429599933,11.0,3.0,False
global_stage2b,1,calibrated_nn_cheek_mean_log2_bg,400.0,100.0,0.9725,0.97,-0.5832321244277858,0.1314565395631939,-0.578627328422415,-1.0348078987188,-0.1830777335861558,-0.598023262839941,0.1225755595207771,-0.600695579819346,-1.0100748891810474,-0.3248068056267911,-0.1125173267248889,11.0,3.0,False
global_stage2b,1,calibrated_nn_forehead_minus_cheek_log2_y,389.0,97.0,0.9725,0.97,-0.0098110854050632,0.3171599785613084,-0.0151880773097283,-1.3894755496009492,1.2190381032856594,-0.0084440346254831,0.3547643294279254,0.0734223090765806,-1.669428705323051,0.6817183749682691,0.0043102877789978,11.0,3.0,True
global_stage2b,1,calibrated_nn_forehead_minus_cheek_log2_rg,389.0,97.0,0.9725,0.97,-0.0495974188094771,0.1104711356751853,-0.0484520622573745,-0.4598237304563678,0.2769117991475781,-0.0662209390734927,0.113652816234801,-0.0691802637032609,-0.3179372045849908,0.3917965980986329,-0.1504784047200634,11.0,3.0,True
global_stage2b,1,calibrated_nn_forehead_minus_cheek_log2_bg,389.0,97.0,0.9725,0.97,-0.1449280150997176,0.1097472222804476,-0.1447824114882098,-0.4825822159965738,0.178978834191923,-0.1317417559884845,0.1186667999316273,-0.1058781015208187,-0.4195941081317795,0.1030510069782176,0.1201511877679873,11.0,3.0,True
global_stage2b,2,calibrated_nn_cheek_mean_log2_y,400.0,100.0,0.9725,0.97,-1.997352644608984,0.3411895360357179,-1.986864869360644,-4.081230140588767,-1.0269475581337326,-1.914570214104663,0.2890381022753866,-1.9074459004039663,-2.8586269177615784,-1.026740791205587,0.2426288668350449,11.0,3.0,False
global_stage2b,2,calibrated_nn_cheek_mean_log2_rg,400.0,100.0,0.9725,0.97,0.9809850665588452,0.1313287713003381,0.9901294927870532,0.5618026698860265,1.4112074351321695,0.9302105274815752,0.1354641037801063,0.9360947349689548,0.4606456619394787,1.336769433215419,-0.3866215953635387,11.0,3.0,False
global_stage2b,2,calibrated_nn_cheek_mean_log2_bg,400.0,100.0,0.9725,0.97,-0.5832593547454564,0.1321512779062033,-0.5818826676191384,-1.063755017331539,-0.2158468133639454,-0.5898206493487301,0.1298551279622401,-0.5946158492343294,-0.9818090705208868,-0.2210381267302751,-0.0496498763177356,11.0,3.0,False
global_stage2b,2,calibrated_nn_forehead_minus_cheek_log2_y,389.0,97.0,0.9725,0.97,-0.0025363984151881,0.3363858895311776,0.0017635840826063,-1.6436978173916297,1.1780773063415593,0.0053766372422798,0.2766122693727825,0.0271280478398101,-0.7082249070878763,0.6494389374791775,0.023523684862336,11.0,3.0,True
global_stage2b,2,calibrated_nn_forehead_minus_cheek_log2_rg,389.0,97.0,0.9725,0.97,-0.0588778077673387,0.1134237338602761,-0.0603917686186944,-0.4631528328680781,0.3780707451246325,-0.0379107326927675,0.0980884380706395,-0.0359851640638978,-0.3498967416536937,0.2433861519922622,0.1848561527731044,11.0,3.0,True
global_stage2b,2,calibrated_nn_forehead_minus_cheek_log2_bg,389.0,97.0,0.9725,0.97,-0.1486636887768106,0.1091050271896789,-0.1481072226016707,-0.5076588348745069,0.1450935469398233,-0.1376011225577453,0.1176248887844676,-0.1264843511040833,-0.4347189119299833,0.1783015114790423,0.1013937350460768,11.0,3.0,True
global_stage2b,3,calibrated_nn_cheek_mean_log2_y,400.0,100.0,0.9675,0.99,-1.9782220928382437,0.3320900403037319,-1.9554217117940271,-3.963943451154418,-1.000128450953381,-1.970901919729556,0.3218919668857323,-2.019732836024056,-3.1604006704712138,-0.9859164971990996,0.0220427360663768,13.0,1.0,False
global_stage2b,3,calibrated_nn_cheek_mean_log2_rg,400.0,100.0,0.9675,0.99,0.9715170918775524,0.1299459937569402,0.9842758671973412,0.4998716785177718,1.3999809432121864,0.963186505947997,0.1315041811696348,0.961087997857512,0.5576440076245952,1.2807270580239836,-0.0641080628090579,13.0,1.0,False
global_stage2b,3,calibrated_nn_cheek_mean_log2_bg,400.0,100.0,0.9675,0.99,-0.5881509191258173,0.1275259404577663,-0.592087659799718,-1.0711043290268398,-0.1915220264565729,-0.569715266255163,0.1320958755392663,-0.5542617465606292,-0.943140939514328,-0.2744106162080842,0.144563943653172,13.0,1.0,False
global_stage2b,3,calibrated_nn_forehead_minus_cheek_log2_y,387.0,99.0,0.9675,0.99,-0.000473228212015,0.3048909620193492,0.0206190781712922,-1.5639501912183589,0.7977788516609261,-0.0422181165310304,0.3878426269875772,-0.045763256651674,-1.342961727670703,1.2019662576955634,-0.1369174344904526,13.0,1.0,True
global_stage2b,3,calibrated_nn_forehead_minus_cheek_log2_rg,387.0,99.0,0.9675,0.99,-0.0568352184644147,0.110585467863876,-0.0581560555205247,-0.4331043204802309,0.3688167165554407,-0.0497097496064932,0.1103027080430875,-0.0485320733743544,-0.2949342584922554,0.2014736587012769,0.0644340436004888,13.0,1.0,True
