cohort,level,variable,camera_id,total_n,n,missing_or_invalid_n,unique_n,min,p1,p5,p25,median,p75,p95,p99,max,mean,std,iqr,mad,mode,mode_proportion
all_exif_522,patient_group_median,log2_iso_gain,HONOR/BVL-AN00,267,267,0,24,-1.0,-1.0,-0.3219280948873623,1.0,1.6780719051126378,2.321928094887362,3.321928094887362,3.643856189774725,4.0,1.5844997681732311,1.0815957017783964,1.3219280948873622,0.6780719051126378,1.6780719051126378,0.12734082397003746
all_exif_522,patient_group_median,log2_fnumber,HONOR/BVL-AN00,267,267,0,3,0.925999418556223,0.925999418556223,0.925999418556223,0.925999418556223,0.925999418556223,0.925999418556223,0.925999418556223,1.0,1.0,0.9291867095172848,0.014879662937264681,0.0,0.0,0.925999418556223,0.9550561797752809
all_exif_522,patient_group_median,aperture_value_from_f,HONOR/BVL-AN00,267,267,0,3,1.851998837112446,1.851998837112446,1.851998837112446,1.851998837112446,1.851998837112446,1.851998837112446,1.851998837112446,2.0,2.0,1.8583734190345695,0.029759325874529362,0.0,0.0,1.851998837112446,0.9550561797752809
all_exif_522,patient_group_median,time_value_from_t,HONOR/BVL-AN00,267,267,0,35,4.643856189774724,4.643856189774724,5.044394119358453,5.643856189774724,6.066089190457772,6.643856189774724,7.409390936137702,8.129283016944967,8.813781191217037,6.13535655897326,0.7627375182566746,1.0,0.5777669993169523,6.643856189774724,0.36704119850187267
all_exif_522,patient_group_median,EV100,HONOR/BVL-AN00,267,267,0,37,6.643856189774724,6.643856189774724,6.8963929564708994,7.49585502688717,7.918088027570218,8.49585502688717,9.261389773250148,9.981281854057414,10.665780028329483,7.993729978007829,0.7533389825906479,1.0,0.5777669993169523,8.49585502688717,0.36704119850187267
all_exif_522,patient_group_median,relative_optical_exposure,HONOR/BVL-AN00,267,267,0,37,-10.665780028329483,-9.981281854057414,-9.261389773250148,-8.49585502688717,-7.918088027570218,-7.49585502688717,-6.8963929564708994,-6.643856189774724,-6.643856189774724,-7.993729978007829,0.7533389825906479,1.0,0.5777669993169523,-8.49585502688717,0.36704119850187267
all_exif_522,patient_group_median,combined_exposure_gain,HONOR/BVL-AN00,267,267,0,72,-10.261389773250148,-9.519787398370246,-9.122043109945825,-7.49585502688717,-6.49585502688717,-5.173926931999809,-4.218321051358261,-3.5744648615835373,-3.2525367666961746,-6.409230209834598,1.4970258269273446,2.3219280948873617,1.0,-6.49585502688717,0.08239700374531835
all_exif_522,patient_group_median,sensitivity_value,HONOR/BVL-AN00,267,267,0,23,4.0,4.0,4.678071905112637,6.0,6.678071905112637,7.321928094887363,8.321928094887362,8.643856189774725,9.0,6.584499768173232,1.0815957017783975,1.3219280948873626,0.6780719051126374,6.678071905112637,0.12734082397003746
all_exif_522,patient_group_median,brightness_apex_pred,HONOR/BVL-AN00,267,267,0,73,-1.7474632333038258,-1.4255351384164623,-0.7816789486417379,0.1739269319998078,1.4958550268871704,2.4958550268871704,4.122043109945824,4.519787398370244,5.261389773250148,1.4092302098345981,1.4970258269273442,2.3219280948873626,1.0,1.4958550268871704,0.08239700374531835
all_exif_522,patient_group_median,brightness_residual,HONOR/BVL-AN00,267,267,0,192,-1.527783121774533,-1.3069185891222093,-1.063926931999808,-0.9701599442353537,-0.8939269319998078,-0.7958550268871705,-0.7207214002245284,0.4702840051505154,2.9341449731128293,-0.8543051162016392,0.332453430209117,0.1743049173481832,0.0880719051126373,-0.9839269319998079,0.018726591760299626
