cohort,level,variable,label_3class,label_3class_name,total_n,n,missing_or_invalid_n,unique_n,min,p1,p5,p25,median,p75,p95,p99,max,mean,std,iqr,mad,mode,mode_proportion
all_exif_522,patient_group_median,device_centered_brightness,1.0,mild,244,244,0,185,-2.1176470588235285,-1.4864976958525347,-1.1735023041474648,-0.5721740309026836,-0.11412306858227164,0.4539170506912442,1.2209677419354836,1.7806207644348055,2.2442396313364052,-0.05951455145781217,0.7651545905625026,1.0260910815939277,0.4989156953103822,-0.47058823529411775,0.02459016393442623
all_exif_522,patient_group_median,ExposureTime,2.0,severe,136,136,0,21,0.0022222222222222222,0.002985365853658537,0.00874125874125874,0.01,0.02,0.020004,0.030303030303030304,0.040008,0.040008,0.01797639959790694,0.008324380998796734,0.010004,0.01,0.01,0.3014705882352941
all_exif_522,patient_group_median,FNumber,2.0,severe,136,136,0,3,1.89,1.89,1.89,1.89,1.9,1.9,1.9,1.9,2.0,1.8979411764705882,0.009897073795661814,0.010000000000000009,0.0,1.9,0.7132352941176471
all_exif_522,patient_group_median,ISOSpeedRatings,2.0,severe,136,136,0,53,50.0,50.0,72.25,169.25,250.0,400.0,800.0,1000.0,1600.0,337.2720588235294,253.9888147701044,230.75,120.0,200.0,0.11029411764705882
all_exif_522,patient_group_median,BrightnessValue,2.0,severe,136,136,0,115,-2.35,-1.9765,-1.4449999999999998,0.015,1.255,5.95,8.6,9.330000000000002,9.8,2.528970588235294,3.336108962029859,5.9350000000000005,2.065,7.2,0.04411764705882353
all_exif_522,patient_group_median,log2_exposure_time,2.0,severe,136,136,0,21,-8.813781191217037,-8.42968656431027,-6.8416117384006085,-6.643856189774724,-5.643856189774724,-5.643567679616601,-5.044394119358453,-4.643567679616601,-4.643567679616601,-5.976772384427931,0.7636214077063279,1.0002885101581231,0.5852510108792792,-6.643856189774724,0.3014705882352941
all_exif_522,patient_group_median,log2_iso_gain,2.0,severe,136,136,0,52,-1.0,-1.0,-0.47224217190281403,0.7591130854470647,1.3219280948873624,2.0,3.0,3.321928094887362,4.0,1.3794097513937598,1.065919065414256,1.2408869145529353,0.6438561897747247,1.0,0.11029411764705882
all_exif_522,patient_group_median,log2_fnumber,2.0,severe,136,136,0,3,0.9183862344463479,0.9183862344463479,0.9183862344463479,0.9183862344463479,0.925999418556223,0.925999418556223,0.925999418556223,0.925999418556223,1.0,0.9244163272714329,0.0073724952260745425,0.007613184109875104,0.0,0.925999418556223,0.7132352941176471
all_exif_522,patient_group_median,aperture_value_from_f,2.0,severe,136,136,0,3,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.851998837112446,1.851998837112446,1.851998837112446,1.851998837112446,2.0,1.8488326545428657,0.014744990452149085,0.015226368219750208,0.0,1.851998837112446,0.7132352941176471
all_exif_522,patient_group_median,time_value_from_t,2.0,severe,136,136,0,21,4.643567679616601,4.643567679616601,5.044394119358453,5.643567679616601,5.643856189774724,6.643856189774724,6.8416117384006085,8.429686564310273,8.813781191217037,5.976772384427931,0.7636214077063279,1.0002885101581231,0.5852510108792792,6.643856189774724,0.3014705882352941
all_exif_522,patient_group_median,EV100,2.0,severe,136,136,0,22,6.480340148509297,6.480340148509297,6.895377647788141,7.480340148509297,7.49585502688717,8.49585502688717,8.693610575513054,10.281685401422719,10.665780028329483,7.825605038970798,0.7666189260562732,1.0155148783778731,0.6004773790990292,8.49585502688717,0.3014705882352941
all_exif_522,patient_group_median,relative_optical_exposure,2.0,severe,136,136,0,22,-10.665780028329483,-10.281685401422715,-8.693610575513054,-8.49585502688717,-7.49585502688717,-7.480340148509297,-6.895377647788141,-6.480340148509297,-6.480340148509297,-7.825605038970798,0.7666189260562732,1.0155148783778731,0.6004773790990292,-8.49585502688717,0.3014705882352941
all_exif_522,patient_group_median,combined_exposure_gain,2.0,severe,136,136,0,71,-10.261389773250148,-9.96011461337015,-9.139711216661896,-7.49585502688717,-6.49585502688717,-5.468501468167855,-4.218321051358261,-3.751177931958414,-3.5744648615835373,-6.446195287577036,1.4493784099026514,2.027353558719315,1.0,-6.49585502688717,0.08823529411764706
all_exif_522,patient_group_median,sensitivity_value,2.0,severe,136,136,0,52,4.0,4.0,4.527757828097186,5.759113085447065,6.321928094887363,7.0,8.0,8.321928094887362,9.0,6.3794097513937595,1.065919065414256,1.2408869145529353,0.6438561897747253,6.0,0.11029411764705882
