cohort,level,variable,SEX,sex_name,total_n,n,missing_or_invalid_n,unique_n,min,p1,p5,p25,median,p75,p95,p99,max,mean,std,iqr,mad,mode,mode_proportion
all_exif_522,image,log2_exposure_time,1,male,293,293,0,28,-8.679480099505446,-7.978864183244718,-7.169097286365332,-6.643856189774724,-5.643856189774724,-5.643567679616601,-5.044394119358453,-4.643567679616601,-4.643567679616601,-5.931596098935698,0.7670739977296693,1.0002885101581231,0.5852510108792792,-6.643856189774724,0.24914675767918087
all_exif_522,image,log2_iso_gain,1,male,293,293,0,107,-1.0,-1.0,-0.6438561897747247,0.6780719051126377,1.1043366598147355,2.0,3.0,3.643856189774725,4.0,1.210203531419718,1.043126359889213,1.3219280948873622,0.635511442884592,1.0,0.08873720136518772
all_exif_522,image,log2_fnumber,1,male,293,293,0,3,0.9183862344463479,0.9183862344463479,0.9183862344463479,0.9183862344463479,0.925999418556223,0.925999418556223,0.925999418556223,1.0,1.0,0.9250058188797886,0.013117338390674018,0.007613184109875104,0.0,0.925999418556223,0.5767918088737202
all_exif_522,image,aperture_value_from_f,1,male,293,293,0,3,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.851998837112446,1.851998837112446,1.851998837112446,2.0,2.0,1.8500116377595772,0.026234676781348037,0.015226368219750208,0.0,1.851998837112446,0.5767918088737202
all_exif_522,image,time_value_from_t,1,male,293,293,0,28,4.643567679616601,4.643567679616601,5.044394119358453,5.643567679616601,5.643856189774724,6.643856189774724,7.1690972863653295,7.978864183244715,8.679480099505446,5.931596098935698,0.7670739977296693,1.0002885101581231,0.5852510108792792,6.643856189774724,0.24914675767918087
all_exif_522,image,EV100,1,male,293,293,0,30,6.480340148509297,6.480340148509297,6.895377647788141,7.480340148509297,7.49585502688717,8.49585502688717,9.021096123477776,9.83086302035716,10.53147893661789,7.781607736695275,0.7657647074261107,1.0155148783778731,0.6004773790990292,8.49585502688717,0.24914675767918087
all_exif_522,image,relative_optical_exposure,1,male,293,293,0,30,-10.53147893661789,-9.830863020357162,-9.021096123477777,-8.49585502688717,-7.49585502688717,-7.480340148509297,-6.895377647788141,-6.480340148509297,-6.480340148509297,-7.781607736695275,0.7657647074261107,1.0155148783778731,0.6004773790990292,-8.49585502688717,0.24914675767918087
all_exif_522,image,combined_exposure_gain,1,male,293,293,0,156,-10.261389773250148,-9.784643680311953,-9.139711216661896,-7.49585502688717,-6.49585502688717,-5.505810836025415,-4.218321051358261,-3.665103597262242,-3.2525367666961746,-6.571404205275556,1.426214913169633,1.990044190861755,1.0,-7.49585502688717,0.06143344709897611
all_exif_522,image,sensitivity_value,1,male,293,293,0,107,4.0,4.0,4.356143810225276,5.678071905112637,6.104336659814735,7.0,8.0,8.643856189774725,9.0,6.210203531419718,1.0431263598892133,1.3219280948873626,0.6355114428845923,6.0,0.08873720136518772
all_exif_522,image,brightness_apex_pred,1,male,293,293,0,156,-1.7474632333038258,-1.334896402737759,-0.7816789486417379,0.5058108360254154,1.4958550268871704,2.4958550268871704,4.139711216661895,4.784643680311949,5.261389773250148,1.5714042052755566,1.4262149131696336,1.990044190861755,1.0,2.4958550268871704,0.06143344709897611
all_exif_522,image,brightness_residual,1,male,293,293,0,247,-1.418889432720965,-1.3279929564708997,-1.047783121774533,-0.9244648615835378,-0.777783121774533,6.133355666334062,6.390015490939463,6.5340944292202074,6.908693675880719,1.897606033632293,3.445171069945665,7.057820527917599,0.24807190511263744,-0.8577831217745331,0.017064846416382253
all_exif_522,image,device_centered_brightness,1,male,293,293,0,196,-1.4884792626728112,-1.4117647058823524,-1.0211981566820276,-0.40552995391705077,0.05882352941176446,0.5294117647058822,1.394198969910544,1.885529953917049,2.2442396313364052,0.10520438495777029,0.7370719142552326,0.934941718622933,0.4705882352941178,0.11764705882352892,0.023890784982935155
all_exif_522,patient_group_median,ExposureTime,0,female,220,220,0,25,0.0022222222222222222,0.005952205882352941,0.01,0.02,0.020004,0.030006,0.040008,0.040008,0.050009,0.02221315191565071,0.009260364928422464,0.010006000000000001,0.010002,0.020004,0.22272727272727272
all_exif_522,patient_group_median,FNumber,0,female,220,220,0,5,1.89,1.89,1.89,1.89,1.89,1.9,1.9,1.9905000000000002,2.0,1.8960227272727272,0.013723440328351667,0.010000000000000009,0.0,1.89,0.5545454545454546
all_exif_522,patient_group_median,ISOSpeedRatings,0,female,220,220,0,124,50.0,64.0,80.0,166.75,257.0,400.0,800.0,1250.0,1250.0,332.37045454545455,245.85106173630828,233.25,119.0,400.0,0.06818181818181818
