cohort,level,variable,camera_id,label_3class,label_3class_name,total_n,n,missing_or_invalid_n,unique_n,min,p1,p5,p25,median,p75,p95,p99,max,mean,std,iqr,mad,mode,mode_proportion
all_exif_522,image,log2_fnumber,Xiaomi/M2006J10C,1.0,mild,84,84,0,1,0.9183862344463479,0.9183862344463479,0.9183862344463479,0.9183862344463479,0.9183862344463479,0.9183862344463479,0.9183862344463479,0.9183862344463479,0.9183862344463479,0.9183862344463478,1.6753366360985414e-15,0.0,0.0,0.9183862344463479,1.0
all_exif_522,image,aperture_value_from_f,Xiaomi/M2006J10C,1.0,mild,84,84,0,1,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.8367724688926956,3.350673272197083e-15,0.0,0.0,1.8367724688926959,1.0
all_exif_522,image,time_value_from_t,Xiaomi/M2006J10C,1.0,mild,84,84,0,7,4.321668433148858,4.588844807717085,4.643567679616601,5.058605178895445,5.058605178895445,5.643567679616601,6.6435460445997245,6.683591262230183,6.87900051852002,5.358143582802064,0.5603762079897954,0.5849625007211561,0.4150374992788439,5.058605178895445,0.40476190476190477
all_exif_522,image,EV100,Xiaomi/M2006J10C,1.0,mild,84,84,0,7,6.158440902041554,6.425617276609781,6.480340148509297,6.895377647788141,6.895377647788141,7.480340148509297,8.48031851349242,8.52036373112288,8.715772987412716,7.194916051694758,0.5603762079897951,0.5849625007211561,0.4150374992788439,6.895377647788141,0.40476190476190477
all_exif_522,image,relative_optical_exposure,Xiaomi/M2006J10C,1.0,mild,84,84,0,7,-8.715772987412716,-8.52036373112288,-8.48031851349242,-7.480340148509297,-6.895377647788141,-6.895377647788141,-6.480340148509297,-6.42561727660978,-6.158440902041554,-7.194916051694758,0.5603762079897951,0.5849625007211561,0.4150374992788439,-6.895377647788141,0.40476190476190477
all_exif_522,image,combined_exposure_gain,Xiaomi/M2006J10C,1.0,mild,84,84,0,82,-9.715772987412716,-9.28213266469865,-8.33510707966335,-6.8861781837608,-6.1340986513529225,-5.274842400827815,-3.9802409361698365,-3.249742058996888,-2.7228123079894635,-6.090568410609011,1.3844323615715852,1.6113357829329846,0.835559572235435,-6.409950820617899,0.023809523809523808
all_exif_522,image,sensitivity_value,Xiaomi/M2006J10C,1.0,mild,84,84,0,81,4.0,4.238111352664174,4.636545170508654,5.594161964748498,6.073816163411929,6.620535246960326,7.50009921233946,8.17587521761289,8.43562859405209,6.10434764108575,0.8876321893293945,1.0263732822118286,0.5387393763388584,5.4329594072761065,0.023809523809523808
all_exif_522,image,brightness_apex_pred,Xiaomi/M2006J10C,1.0,mild,84,84,0,82,-2.2771876920105365,-1.75025794100311,-1.0197590638301635,0.2748424008278152,1.1340986513529225,1.8861781837607996,3.33510707966335,4.2821326646986515,4.715772987412716,1.0905684106090097,1.3844323615715852,1.6113357829329844,0.835559572235435,1.1469164147841058,0.023809523809523808
all_exif_522,image,brightness_residual,Xiaomi/M2006J10C,1.0,mild,84,84,0,83,5.627088376682949,5.80574105739742,5.946156799434145,6.058526947078792,6.190085980949422,6.306977281911598,6.5295297246809705,6.682772587424655,6.908693675880719,6.192764922724323,0.19824277055152634,0.24845033483280599,0.12612146409421854,6.25261925876681,0.023809523809523808
all_exif_522,image,device_centered_brightness,Xiaomi/M2006J10C,1.0,mild,84,84,0,45,-2.1176470588235285,-1.9223529411764695,-1.4029411764705877,-0.5294117647058822,-0.05882352941176498,0.4264705882352934,1.476470588235291,1.8147058823529405,2.0588235294117636,-0.0686274509803923,0.8392661339436488,0.9558823529411756,0.47058823529411725,-0.47058823529411775,0.07142857142857142
all_exif_522,image,ExposureTime,Xiaomi/M2006J10C,2.0,severe,40,40,0,5,0.010002,0.01000239,0.010003,0.020004,0.030006,0.030006,0.040008,0.040008,0.040008,0.025255099999999996,0.007507804618853093,0.010002,0.010002,0.030006,0.45
all_exif_522,image,FNumber,Xiaomi/M2006J10C,2.0,severe,40,40,0,1,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,2.24873312656119e-16,0.0,0.0,1.89,1.0
all_exif_522,image,ISOSpeedRatings,Xiaomi/M2006J10C,2.0,severe,40,40,0,39,75.0,75.39,81.7,162.25,215.5,269.0,424.34999999999985,609.9099999999999,700.0,229.975,127.14326413689645,106.75,54.0,233.0,0.05
all_exif_522,image,BrightnessValue,Xiaomi/M2006J10C,2.0,severe,40,40,0,25,5.0,5.195,5.69,6.5,7.2,7.9,9.209999999999999,9.644,9.8,7.275,1.149749136517648,1.4000000000000004,0.7000000000000002,7.2,0.15
all_exif_522,image,log2_exposure_time,Xiaomi/M2006J10C,2.0,severe,40,40,0,5,-6.643567679616601,-6.643511428572721,-6.643423446170754,-5.643567679616601,-5.058605178895445,-5.058605178895445,-4.643567679616601,-4.643567679616601,-4.643567679616601,-5.380327342619789,0.4906004797219903,0.5849625007211561,0.4150374992788439,-5.058605178895445,0.45
all_exif_522,image,log2_iso_gain,Xiaomi/M2006J10C,2.0,severe,40,40,0,39,-0.4150374992788438,-0.407585058329239,-0.291785409715366,0.6981719496204241,1.1076839861017396,1.4268761796202858,2.0848602451228695,2.5820257923239924,2.807354922057604,1.0015910739455403,0.7791901458403636,0.7287042299998617,0.4005094826368022,1.2203299548795556,0.05
all_exif_522,image,log2_fnumber,Xiaomi/M2006J10C,2.0,severe,40,40,0,1,0.9183862344463479,0.9183862344463479,0.9183862344463479,0.9183862344463479,0.9183862344463479,0.9183862344463479,0.9183862344463479,0.9183862344463479,0.9183862344463479,0.9183862344463479,1.124366563280595e-16,0.0,0.0,0.9183862344463479,1.0
all_exif_522,image,aperture_value_from_f,Xiaomi/M2006J10C,2.0,severe,40,40,0,1,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.8367724688926959,2.24873312656119e-16,0.0,0.0,1.8367724688926959,1.0
all_exif_522,image,time_value_from_t,Xiaomi/M2006J10C,2.0,severe,40,40,0,5,4.643567679616601,4.643567679616601,4.643567679616601,5.058605178895445,5.058605178895445,5.643567679616601,6.643423446170754,6.643511428572721,6.643567679616601,5.380327342619789,0.4906004797219903,0.5849625007211561,0.4150374992788439,5.058605178895445,0.45
all_exif_522,image,EV100,Xiaomi/M2006J10C,2.0,severe,40,40,0,5,6.480340148509297,6.480340148509297,6.480340148509297,6.895377647788141,6.895377647788141,7.480340148509297,8.48019591506345,8.480283897465416,8.480340148509297,7.217099811512485,0.4906004797219905,0.5849625007211561,0.4150374992788439,6.895377647788141,0.45
all_exif_522,image,relative_optical_exposure,Xiaomi/M2006J10C,2.0,severe,40,40,0,5,-8.480340148509297,-8.480283897465416,-8.48019591506345,-7.480340148509297,-6.895377647788141,-6.895377647788141,-6.480340148509297,-6.480340148509297,-6.480340148509297,-7.217099811512485,0.4906004797219905,0.5849625007211561,0.4150374992788439,-6.895377647788141,0.45
all_exif_522,image,combined_exposure_gain,Xiaomi/M2006J10C,2.0,severe,40,40,0,40,-8.648318673871776,-8.629665549086436,-8.137345136156789,-6.782168198888874,-6.164220584202932,-5.468501468167855,-4.575940508296034,-3.9577288764704996,-3.672985226451693,-6.215508737566944,1.1786955741257081,1.3136667307210184,0.6537142625961239,-8.648318673871776,0.025
all_exif_522,image,sensitivity_value,Xiaomi/M2006J10C,2.0,severe,40,40,0,39,4.584962500721156,4.592414941670761,4.7082145902846335,5.6981719496204235,6.10768398610174,6.426876179620286,7.0848602451228695,7.582025792323992,7.807354922057604,6.001591073945541,0.7791901458403637,0.7287042299998623,0.4005094826368021,6.220329954879555,0.05
all_exif_522,image,brightness_apex_pred,Xiaomi/M2006J10C,2.0,severe,40,40,0,40,-1.3270147735483064,-1.0422711235295006,-0.424059491703967,0.4685014681678552,1.164220584202932,1.7821681988888733,3.137345136156786,3.629665549086436,3.648318673871776,1.2155087375669447,1.1786955741257081,1.3136667307210181,0.6537142625961239,-1.3270147735483064,0.025
all_exif_522,image,brightness_residual,Xiaomi/M2006J10C,2.0,severe,40,40,0,40,3.1995098512188385,4.150241421754323,5.73235130490254,6.044205144133134,6.13949858583974,6.223797509196032,6.4122298610515225,6.478992046184713,6.485194597853679,6.059491262433056,0.4954360068545463,0.17959236506289855,0.08497582335868614,3.1995098512188385,0.025
all_exif_522,image,device_centered_brightness,Xiaomi/M2006J10C,2.0,severe,40,40,0,25,-1.4117647058823524,-1.2970588235294112,-1.005882352941176,-0.5294117647058822,-0.11764705882352944,0.2941176470588234,1.0647058823529396,1.3199999999999992,1.4117647058823524,-0.07352941176470602,0.676323021480969,0.8235294117647056,0.4117647058823528,-0.11764705882352944,0.15
all_exif_522,patient_group_median,ExposureTime,HONOR/BVL-AN00,1.0,mild,161,161,0,25,0.0035714285714285713,0.004037267080745342,0.005555555555555556,0.01,0.02,0.02,0.030303030303030304,0.04,0.04,0.017083129034597622,0.008820226853243825,0.01,0.01,0.01,0.3416149068322981
all_exif_522,patient_group_median,FNumber,HONOR/BVL-AN00,1.0,mild,161,161,0,3,1.9,1.9,1.9,1.9,1.9,1.9,2.0,2.0,2.0,1.9065217391304348,0.02445048234609128,0.0,0.0,1.9,0.9316770186335404
