cohort,level,variable,scale,total_n,n,missing_or_invalid_n,unique_n,min,p1,p5,p25,median,p75,p95,p99,max,mean,std,iqr,mad,mode,mode_proportion,missing_n,invalid_n
all_exif_522,patient_group_median,time_value_from_t,raw_or_derived,505,505,0,45,4.321668433148858,4.643567679616601,4.643856189774724,5.058605178895445,5.643856189774724,6.643567679616601,6.8612204176022304,7.845490050944375,8.813781191217037,5.80238010503045,0.7498790050383473,1.584962500721156,0.5852510108792792,5.643567679616601,0.21188118811881188,0,0
all_exif_522,patient_group_median,EV100,raw_or_derived,505,505,0,47,6.158440902041554,6.480340148509297,6.643856189774724,6.8963929564708994,7.49585502688717,8.480340148509297,8.69929010005759,9.69748888805682,10.665780028329483,7.6506034255193835,0.7500110807023838,1.5839471920383978,0.6004773790990292,7.480340148509297,0.21188118811881188,0,0
all_exif_522,patient_group_median,relative_optical_exposure,raw_or_derived,505,505,0,47,-10.665780028329483,-9.69748888805682,-8.699290100057594,-8.480340148509297,-7.49585502688717,-6.8963929564708994,-6.643856189774724,-6.480340148509297,-6.158440902041554,-7.6506034255193835,0.7500110807023838,1.5839471920383978,0.6004773790990292,-7.480340148509297,0.21188118811881188,0,0
all_exif_522,patient_group_median,combined_exposure_gain,raw_or_derived,505,505,0,264,-10.261389773250148,-9.49585502688717,-8.910938661121431,-7.241553288922181,-6.382729351882875,-5.399682485164073,-4.218321051358261,-3.5744648615835373,-2.6794690970086115,-6.362567405794768,1.3995688272431355,1.8418708037581082,0.9624365870435163,-6.49585502688717,0.04356435643564356,0,0
all_exif_522,patient_group_median,sensitivity_value,raw_or_derived,505,505,0,186,4.0,4.0,4.604071323668861,5.678071905112637,6.275007047499869,7.0,8.0,8.643856189774725,9.0,6.288036019724614,1.018948233486395,1.3219280948873626,0.6614753945819425,6.678071905112637,0.06732673267326733,0,0
all_exif_522,patient_group_median,brightness_apex_pred,raw_or_derived,505,505,0,265,-2.320530902991389,-1.4255351384164623,-0.7816789486417379,0.3996824851640728,1.3827293518828752,2.241553288922181,3.9109386611214267,4.49585502688717,5.261389773250148,1.3625674057947683,1.3995688272431364,1.8418708037581082,0.9624365870435163,1.4958550268871704,0.04356435643564356,0,0
all_exif_522,patient_group_median,brightness_residual,raw_or_derived,505,505,0,409,-1.527783121774533,-1.2743321506826648,-1.0358550268871705,-0.8958550268871704,-0.726322214245816,6.150843093062903,6.385965860864529,6.609048747567853,6.908693675880719,2.415996950640875,3.495409231712455,7.046698119950074,0.49311226530104124,-0.9839269319998079,0.009900990099009901,0,0
all_exif_522,patient_group_median,device_centered_brightness,raw_or_derived,505,505,0,275,-2.1176470588235285,-1.4117647058823524,-1.1050691244239632,-0.47926267281105994,0.0,0.47058823529411675,1.289400921658986,1.7915098942802923,2.2442396313364052,0.005559208672290258,0.7396088926952471,0.9498509081051767,0.47058823529411775,-0.11764705882352944,0.02574257425742574,0,0
formal_global_meanbg_500,image,ExposureTime,raw_or_derived,500,500,0,36,0.0022222222222222222,0.004344347826086957,0.008487866666666666,0.01,0.02,0.030006,0.04,0.040008,0.050009,0.02004388230296283,0.009080853830846313,0.020006000000000003,0.01,0.020004,0.216,0,0
formal_global_meanbg_500,image,FNumber,raw_or_derived,500,500,0,3,1.89,1.89,1.89,1.89,1.9,1.9,1.9,2.0,2.0,1.89774,0.016794538190318155,0.010000000000000009,0.0,1.9,0.51,0,0
