camera_name,illuminant_name,camera_light_qualified,m,h,observation_space,sigma_max,sigma_min,sigma_ratio,condition_number,numerical_rank,finite,status
Canon 20D,D65,True,0.2,0.35,chromaticity,0.500905852078,0.0263175201965,0.0525398537216,19.0331706156,2,True,PASS
Canon 20D,D65,True,0.2,0.5,camera_rgb_wb,1.35958421902,0.0225964875682,0.0166201455211,60.1679449034,2,True,PASS
Canon 20D,D65,True,0.2,0.5,linear_srgb_unclipped,1.33913216129,0.0439209341358,0.0327980578807,30.489610197,2,True,PASS
Canon 20D,D65,True,0.2,0.5,chromaticity,0.501736771521,0.0234517990083,0.0467412403065,21.3943830639,2,True,PASS
Canon 20D,D65,True,0.2,0.65,camera_rgb_wb,1.30922903591,0.0198179825234,0.0151371394766,66.0626799101,2,True,PASS
Canon 20D,D65,True,0.2,0.65,linear_srgb_unclipped,1.29455917701,0.0382978744052,0.029583718601,33.8023766885,2,True,PASS
Canon 20D,D65,True,0.2,0.65,chromaticity,0.502504475454,0.0211954532368,0.0421796307739,23.7081259758,2,True,PASS
Canon 20D,D65,True,0.2,0.8,camera_rgb_wb,1.26457910136,0.0176117599333,0.0139269737372,71.8031080454,2,True,PASS
Canon 20D,D65,True,0.2,0.8,linear_srgb_unclipped,1.25507741704,0.0338518965748,0.0269719589527,37.0755421122,2,True,PASS
Canon 20D,D65,True,0.2,0.8,chromaticity,0.503203500727,0.0193619271845,0.0384773300594,25.989329261,2,True,PASS
Canon 20D,D65,True,0.35,0.2,camera_rgb_wb,0.952496160537,0.0205209879362,0.0215444311341,46.4157068607,2,True,PASS
Canon 20D,D65,True,0.35,0.2,linear_srgb_unclipped,0.960131412285,0.0427305523111,0.0445048998131,22.4694360441,2,True,PASS
Canon 20D,D65,True,0.35,0.2,chromaticity,0.453867714527,0.0308495838275,0.0679704302379,14.7122799797,2,True,PASS
Canon 20D,D65,True,0.35,0.35,camera_rgb_wb,0.911728409345,0.0171880196548,0.0188521268819,53.0444127746,2,True,PASS
Canon 20D,D65,True,0.35,0.35,linear_srgb_unclipped,0.925375906236,0.0355719541184,0.0384405449491,26.0141993649,2,True,PASS
Canon 20D,D65,True,0.35,0.35,chromaticity,0.454275735188,0.026814407505,0.0590267219401,16.9414795051,2,True,PASS
Canon 20D,D65,True,0.35,0.5,camera_rgb_wb,0.876859247306,0.0147479917788,0.0168191095938,59.4561795571,2,True,PASS
Canon 20D,D65,True,0.35,0.5,linear_srgb_unclipped,0.895650842728,0.0303517811242,0.0338879613307,29.5090043996,2,True,PASS
Canon 20D,D65,True,0.35,0.5,chromaticity,0.454641854127,0.0237848480476,0.0523155706668,19.1147680749,2,True,PASS
Canon 20D,D65,True,0.35,0.65,camera_rgb_wb,0.846380337563,0.0128798583441,0.015217577456,65.7134818531,2,True,PASS
Canon 20D,D65,True,0.35,0.65,linear_srgb_unclipped,0.86966099239,0.026370204889,0.0303223958759,32.9789243599,2,True,PASS
Canon 20D,D65,True,0.35,0.65,chromaticity,0.454946046485,0.0214093550333,0.047059107775,21.2498716461,2,True,PASS
Canon 20D,D65,True,0.35,0.8,camera_rgb_wb,0.819312792646,0.01140147553,0.0139159007797,71.8602421671,2,True,PASS
Canon 20D,D65,True,0.35,0.8,linear_srgb_unclipped,0.846566989361,0.0232307014679,0.0274410669915,36.4417316684,2,True,PASS
Canon 20D,D65,True,0.35,0.8,chromaticity,0.455184407557,0.0194861471248,0.0428093467203,23.3593847281,2,True,PASS
Canon 20D,D65,True,0.5,0.2,camera_rgb_wb,0.63907967777,0.0141516709824,0.022143828813,45.1593086473,2,True,PASS
Canon 20D,D65,True,0.5,0.2,linear_srgb_unclipped,0.680672578538,0.030321954972,0.0445470493862,22.4481758899,2,True,PASS
Canon 20D,D65,True,0.5,0.2,chromaticity,0.405970346781,0.0301167183882,0.074184527582,13.47989982,2,True,PASS
