m,h,shading,specular,illuminant_name,deltae00
0.0,0.6,1.0,0.03,D65,0.0797460630821
0.0,0.6,1.0,0.03,A,0.0380846184477
0.0,0.6,1.0,0.03,FL2,0.0450015574351
0.0,0.6,1.0,0.03,FL11,0.134227063432
0.0,0.6,1.0,0.1,D65,0.0740955309955
0.0,0.6,1.0,0.1,A,0.0355952858928
0.0,0.6,1.0,0.1,FL2,0.0419055923759
0.0,0.6,1.0,0.1,FL11,0.127022838725
0.0,0.6,1.5,0.0,D65,0.0914558563704
0.0,0.6,1.5,0.0,A,0.0434033590824
0.0,0.6,1.5,0.0,FL2,0.0509469046986
0.0,0.6,1.5,0.0,FL11,0.148166372178
0.0,0.6,1.5,0.03,D65,0.089484437354
0.0,0.6,1.5,0.03,A,0.0424429379158
0.0,0.6,1.5,0.03,FL2,0.0499822879733
0.0,0.6,1.5,0.03,FL11,0.145734043928
0.0,0.6,1.5,0.1,D65,0.0852695327673
0.0,0.6,1.5,0.1,A,0.04045530258
0.0,0.6,1.5,0.1,FL2,0.0478483770993
0.0,0.6,1.5,0.1,FL11,0.140588256654
0.0,0.7,0.5,0.0,D65,0.0687695449946
0.0,0.7,0.5,0.0,A,0.0330402054191
0.0,0.7,0.5,0.0,FL2,0.0389248807363
0.0,0.7,0.5,0.0,FL11,0.120197768987
0.0,0.7,0.5,0.03,D65,0.0639870195966
0.0,0.7,0.5,0.03,A,0.030990875495
0.0,0.7,0.5,0.03,FL2,0.0361906443913
0.0,0.7,0.5,0.03,FL11,0.113549373178
0.0,0.7,0.5,0.1,D65,0.0555814193321
0.0,0.7,0.5,0.1,A,0.0274424072862
0.0,0.7,0.5,0.1,FL2,0.0313282268828
0.0,0.7,0.5,0.1,FL11,0.101270574497
0.0,0.7,1.0,0.0,D65,0.082773181691
0.0,0.7,1.0,0.0,A,0.0389287417439
0.0,0.7,1.0,0.0,FL2,0.0464514319353
0.0,0.7,1.0,0.0,FL11,0.137217276959
0.0,0.7,1.0,0.03,D65,0.079938759236
0.0,0.7,1.0,0.03,A,0.0376488540393
0.0,0.7,1.0,0.03,FL2,0.0449506838772
0.0,0.7,1.0,0.03,FL11,0.133723100846
0.0,0.7,1.0,0.1,D65,0.0742062262917
0.0,0.7,1.0,0.1,A,0.035147251547
0.0,0.7,1.0,0.1,FL2,0.0418244722406
0.0,0.7,1.0,0.1,FL11,0.126502308773
0.0,0.7,1.5,0.0,D65,0.0915667390762
0.0,0.7,1.5,0.0,A,0.0429252568984
0.0,0.7,1.5,0.0,FL2,0.0508122664081
0.0,0.7,1.5,0.0,FL11,0.147694419205
0.0,0.7,1.5,0.03,D65,0.0895637352611
0.0,0.7,1.5,0.03,A,0.0419474214694
0.0,0.7,1.5,0.03,FL2,0.049843624322
0.0,0.7,1.5,0.03,FL11,0.145156742122
0.0,0.7,1.5,0.1,D65,0.0852921591877
0.0,0.7,1.5,0.1,A,0.0399333489924
0.0,0.7,1.5,0.1,FL2,0.0477007679188
0.0,0.7,1.5,0.1,FL11,0.139858212503
0.0,0.8,0.5,0.0,D65,0.0689571034511
0.0,0.8,0.5,0.0,A,0.0327250267496
0.0,0.8,0.5,0.0,FL2,0.0388812502416
0.0,0.8,0.5,0.0,FL11,0.120013165404
0.0,0.8,0.5,0.03,D65,0.0640927247969
0.0,0.8,0.5,0.03,A,0.0306673257255
0.0,0.8,0.5,0.03,FL2,0.0361107787603
0.0,0.8,0.5,0.03,FL11,0.113350290293
0.0,0.8,0.5,0.1,D65,0.0555940572456
0.0,0.8,0.5,0.1,A,0.0271418198423
0.0,0.8,0.5,0.1,FL2,0.0312061147713
0.0,0.8,0.5,0.1,FL11,0.101093703016
0.0,0.8,1.0,0.0,D65,0.0827873024265
0.0,0.8,1.0,0.0,A,0.0384890551714
0.0,0.8,1.0,0.0,FL2,0.0462849818344
0.0,0.8,1.0,0.0,FL11,0.136626489107
0.0,0.8,1.0,0.03,D65,0.0799113396231
0.0,0.8,1.0,0.03,A,0.0371925341092
0.0,0.8,1.0,0.03,FL2,0.0447746820736
0.0,0.8,1.0,0.03,FL11,0.13307343115
0.0,0.8,1.0,0.1,D65,0.0741157302538
0.0,0.8,1.0,0.1,A,0.0346787851367
0.0,0.8,1.0,0.1,FL2,0.0416310724193
0.0,0.8,1.0,0.1,FL11,0.12581984234
0.0,0.8,1.5,0.0,D65,0.0914382996879
0.0,0.8,1.5,0.0,A,0.0424258238928
0.0,0.8,1.5,0.0,FL2,0.0505405625732
0.0,0.8,1.5,0.0,FL11,0.14714883613
0.0,0.8,1.5,0.03,D65,0.089408237553
0.0,0.8,1.5,0.03,A,0.0414327671946
0.0,0.8,1.5,0.03,FL2,0.0495704535395
