case_id,patch_id,shape,dtype,finite,min,max,hwc_to_chw_shape,range_ok,full_slice_equal,pass
101588739,P04,"(256, 256, 3)",float32,True,0.0,0.3897884488105774,"(3, 256, 256)",True,True,True
101588739,P05,"(256, 256, 3)",float32,True,0.0,0.8372156620025635,"(3, 256, 256)",True,True,True
101588739,P06,"(256, 256, 3)",float32,True,0.0,1.0,"(3, 256, 256)",True,True,True
101588739,P07,"(256, 256, 3)",float32,True,0.0,0.9678418040275574,"(3, 256, 256)",True,True,True
101588739,P08,"(256, 256, 3)",float32,True,0.0,0.7460756301879883,"(3, 256, 256)",True,True,True
101588739,P09,"(256, 256, 3)",float32,True,0.0,0.9237362146377563,"(3, 256, 256)",True,True,True
101588739,P10,"(256, 256, 3)",float32,True,0.0,0.9694204330444336,"(3, 256, 256)",True,True,True
101588739,P11,"(256, 256, 3)",float32,True,0.0,0.9607673287391663,"(3, 256, 256)",True,True,True
101588739,P12,"(256, 256, 3)",float32,True,0.0,0.6777865886688232,"(3, 256, 256)",True,True,True
101588739,P13,"(256, 256, 3)",float32,True,0.0,0.6775535941123962,"(3, 256, 256)",True,True,True
101588739,P14,"(256, 256, 3)",float32,True,0.0,0.8478369116783142,"(3, 256, 256)",True,True,True
101588739,P15,"(256, 256, 3)",float32,True,0.0,0.5882108807563782,"(3, 256, 256)",True,True,True
101588739,P16,"(256, 256, 3)",float32,True,0.0,0.44044414162635803,"(3, 256, 256)",True,True,True
101588739,P17,"(256, 256, 3)",float32,True,0.0,0.4721900522708893,"(3, 256, 256)",True,True,True
101588739,P18,"(256, 256, 3)",float32,True,0.0,0.7851267457008362,"(3, 256, 256)",True,True,True
101588739,P19,"(256, 256, 3)",float32,True,0.0,0.7519969344139099,"(3, 256, 256)",True,True,True
101588739,P20,"(256, 256, 3)",float32,True,0.0,0.3779204785823822,"(3, 256, 256)",True,True,True
101737098,P01,"(256, 256, 3)",float32,True,0.0,0.7889807224273682,"(3, 256, 256)",True,True,True
