case_id,model,channel,orientation,position,seam_abs_first_difference,matched_local_reference_difference,seam_amplification_ratio,valid_pair_count
101044067,B2_proposed_lambda_0p50,M_sensitive,horizontal,241,0.009463697671890259,0.004353225231170654,2.1739508449856526,351
101044067,B2_proposed_lambda_0p50,M_sensitive,horizontal,482,0.01583113521337509,0.004681851714849472,3.3813833017782153,538
101044067,B2_proposed_lambda_0p50,M_sensitive,horizontal,723,0.012106865644454956,0.0032247453927993774,3.7543632646888483,823
101044067,B2_proposed_lambda_0p50,M_sensitive,horizontal,964,0.013683132827281952,0.005171008408069611,2.6461246520664385,428
101044067,B2_proposed_lambda_0p50,H_sensitive,vertical,241,0.02100907266139984,0.0017866045236587524,11.7592183224839,933
101044067,B2_proposed_lambda_0p50,H_sensitive,vertical,482,0.021883845329284668,0.0016283094882965088,13.439610512089637,1065
101044067,B2_proposed_lambda_0p50,H_sensitive,vertical,723,0.015570372343063354,0.0020311251282691956,7.66588533551629,915
101044067,B2_proposed_lambda_0p50,H_sensitive,horizontal,241,0.012857556343078613,0.0026356279850006104,4.878365388200744,351
101044067,B2_proposed_lambda_0p50,H_sensitive,horizontal,482,0.017421767115592957,0.0025179460644721985,6.919039035224846,538
101044067,B2_proposed_lambda_0p50,H_sensitive,horizontal,723,0.01267319917678833,0.0025501251220703125,4.969638180549348,823
101044067,B2_proposed_lambda_0p50,H_sensitive,horizontal,964,0.023884326219558716,0.0033022835850715637,7.232669635127187,428
101295911,B1_baseline,M_sensitive,vertical,241,0.0370793491601944,0.002696424722671509,13.751301430624169,938
101295911,B1_baseline,M_sensitive,vertical,482,0.021849319338798523,0.004252932965755463,5.137470895871476,1032
101295911,B1_baseline,M_sensitive,vertical,723,0.021933361887931824,0.003014087677001953,7.2769488585254125,935
101295911,B1_baseline,M_sensitive,horizontal,241,0.01058690994977951,0.002793624997138977,3.789667531194118,816
101295911,B1_baseline,M_sensitive,horizontal,482,0.01661515235900879,0.007319822907447815,2.2698844721821376,572
101295911,B1_baseline,M_sensitive,horizontal,723,0.011359266936779022,0.0042084455490112305,2.69915977331552,870
101295911,B1_baseline,M_sensitive,horizontal,964,0.0163097083568573,0.004325687885284424,3.770431151209715,405
101295911,B1_baseline,H_sensitive,vertical,241,0.02083996683359146,0.0025942325592041016,8.03319145449006,938
101295911,B1_baseline,H_sensitive,vertical,482,0.01828884333372116,0.0025185346603393555,7.261700072849171,1032
