ID,skin_pixel_n,valid_skin_pixel_ratio,skin_median_r,skin_median_g,skin_median_b,skin_linear_luminance_median,skin_lab_l_median,overexposed_pixel_ratio,underexposed_pixel_ratio,saturated_pixel_ratio,laplacian_variance,high_frequency_noise_mad
203467839,18486,0.3684231505102041,0.611764705882353,0.43529411764705883,0.34901960784313724,0.19225097288557236,50.949525701579745,0.0,0.0014064697609001407,0.0,0.007520919090216542,0.013908861010883494
203550372,20440,0.40736607142857145,0.6666666666666666,0.5098039215686274,0.40784313725490196,0.2552839758486467,57.58667394754355,0.0,0.00034246575342465754,0.0008806262230919766,0.014018880710815057,0.012175321112777757
203582980,14770,0.2943638392857143,0.6549019607843137,0.4627450980392157,0.36470588235294116,0.21785595701004365,53.79877529461109,0.0,0.0032498307379823965,0.0008801624915368992,0.0235074131378819,0.01912782270984307
203659997,19851,0.3956273915816326,0.6235294117647059,0.43137254901960786,0.34901960784313724,0.19199774258761618,50.92011779232149,0.0,0.0011586318069618658,5.0375295954863736e-05,0.02844597348562121,0.019628640746647094
203674403,20601,0.4105747767857143,0.7529411764705882,0.5450980392156862,0.45098039215686275,0.3108226880648949,62.577021002152705,0.0,0.0010193679918450561,0.00024270666472501334,0.019269038291139424,0.02218894083857659
203788587,19856,0.39572704081632654,0.6823529411764706,0.5372549019607843,0.4745098039215686,0.28390533519814176,60.23993321702949,0.0,0.00030217566478646255,5.036261079774375e-05,0.002303539240154975,0.007351741770208209
203807236,18719,0.37306680484693877,0.6274509803921569,0.4235294117647059,0.3215686274509804,0.18714504194543166,50.351502923956076,0.0,0.0005876382285378493,0.0003205299428388269,0.038689835606622036,0.02472753212856289
203874389,18230,0.36332110969387754,0.7254901960784313,0.5686274509803921,0.48627450980392156,0.32134418457627484,63.45382402553744,0.0,0.0004388370817334065,5.485463521667581e-05,0.018211866515543094,0.01966184531019649
203874889,11846,0.2360889668367347,0.7411764705882353,0.5490196078431373,0.47058823529411764,0.3098767095583052,62.49722447853533,0.0,0.0005065000844166807,0.0,0.00694837850364734,0.010131732326030757
203898750,19776,0.39413265306122447,0.6470588235294118,0.4745098039215686,0.37254901960784315,0.22463516821454768,54.515388926414815,0.0,0.001769822006472492,0.00015169902912621358,0.008847400269090729,0.01302613116443672
203959038,17743,0.35361527423469385,0.5294117647058824,0.3686274509803922,0.3137254901960784,0.1354411140391511,43.57190592378347,0.0,0.0027616524826692217,0.0,0.014528947501594426,0.011513240768509762
204035001,19699,0.39259805484693877,0.6509803921568628,0.47843137254901963,0.4,0.22911757198977434,54.98132826794341,0.0,0.0008629879689324332,5.076399817249606e-05,0.012212233041121595,0.013534918842520682
204228087,16067,0.32021285076530615,0.6588235294117647,0.45098039215686275,0.34901960784313724,0.21180379546847852,53.14634605081318,0.0,0.0035476442397460633,0.02209497728262899,0.011685336422654777,0.014496145997037437
204238693,18389,0.36648995535714285,0.6431372549019608,0.47843137254901963,0.41568627450980394,0.2291015507396682,54.979673751863885,0.0,0.0008157050410571538,0.0,0.019465825055228394,0.018658191461387096
204364833,18342,0.3655532525510204,0.6235294117647059,0.49019607843137253,0.39215686274509803,0.2295287485879205,55.02376415089226,0.0023988659906226148,0.005233889434085705,0.06978519245447606,0.0015362862267195667,0.0027957634408742192
204378187,14684,0.2926498724489796,0.6823529411764706,0.5019607843137255,0.3568627450980392,0.25043848392321644,57.11811913662561,0.0,0.0034050667393080904,0.00040860800871697086,0.014796549210726352,0.01913132179216865
204586681,17444,0.34765625,0.6901960784313725,0.49019607843137253,0.36470588235294116,0.24794213462204057,56.874362372861775,0.0,0.0006305893143774364,0.021440036688832837,0.010023763745596041,0.01638298226152175
204650307,17095,0.3407007334183674,0.6980392156862745,0.5490196078431373,0.4627450980392157,0.29660335309964403,61.36003805249898,0.0,0.0026323486399532025,0.00023398654577361802,0.009611243217089015,0.013270596134888166
204864836,18834,0.37535873724489793,0.7098039215686275,0.5215686274509804,0.42745098039215684,0.2761125742599295,59.535895831862426,0.0,0.002654773282361686,0.021716045449718595,0.011313697229360079,0.016222352022481918
204917772,16444,0.32772640306122447,0.7607843137254902,0.5882352941176471,0.47058823529411764,0.347161241038504,65.5270508796892,0.0,0.0015203113597664802,0.03186572610070543,0.007085413591278391,0.011341514272093607
205075256,20735,0.4132453762755102,0.7568627450980392,0.5725490196078431,0.4588235294117647,0.3305261044597402,64.20348585224272,0.0,0.0006751868820834338,0.0008680974198215578,0.007684869811495176,0.011502261747983642
205075256-1,19826,0.39512914540816324,0.7843137254901961,0.5725490196078431,0.40784313725490196,0.3384446098339694,64.8389237911216,0.0,0.0007061434479975789,0.0005043881771411278,0.009295464654771508,0.015397147131902775
205092932,19773,0.39407286352040816,0.6901960784313725,0.5137254901960784,0.43137254901960786,0.2665456507493788,58.65321620748176,0.0,0.0006068881808526779,0.0,0.00817657247108037,0.013254815777430524
