ID,Make,Model,camera_id,variable,value,iqr_lower,iqr_upper,iqr_outlier,robust_z,mad_outlier_abs_z_gt_3_5,historical_high_iso_outlier
A001657263,Xiaomi,M2006J10C,Xiaomi/M2006J10C,log2_exposure_time,-6.643567679616601,-6.521011430698335,-4.181161427813711,True,-1.153047843861024,False,False
A001660452,Xiaomi,M2006J10C,Xiaomi/M2006J10C,log2_exposure_time,-6.87900051852002,-6.521011430698335,-4.181161427813711,True,-1.424513171132691,False,False
A001677153,Xiaomi,M2006J10C,Xiaomi/M2006J10C,log2_exposure_time,-6.643567679616601,-6.521011430698335,-4.181161427813711,True,-1.153047843861024,False,False
A001692604,Xiaomi,M2006J10C,Xiaomi/M2006J10C,log2_exposure_time,-6.643567679616601,-6.521011430698335,-4.181161427813711,True,-1.153047843861024,False,False
A001028520,Xiaomi,M2006J10C,Xiaomi/M2006J10C,log2_iso_gain,3.12267271882414,-1.0613633111077805,2.9376935968485958,True,2.895706282686002,False,False
A001632964,Xiaomi,M2006J10C,Xiaomi/M2006J10C,log2_iso_gain,3.4356285940520905,-1.0613633111077805,2.9376935968485958,True,3.3111088534391326,False,False
A001636890,Xiaomi,M2006J10C,Xiaomi/M2006J10C,log2_iso_gain,3.4789718050329426,-1.0613633111077805,2.9376935968485958,True,3.3686405462153965,False,False
101737098,Xiaomi,M2006J10C,Xiaomi/M2006J10C,time_value_from_t,6.643423446170754,4.181161427813711,6.521011430698335,True,1.1528815357972773,False,False
201999677,Xiaomi,M2006J10C,Xiaomi/M2006J10C,time_value_from_t,6.643423446170754,4.181161427813711,6.521011430698335,True,1.1528815357972773,False,False
202045494,Xiaomi,M2006J10C,Xiaomi/M2006J10C,time_value_from_t,6.643423446170754,4.181161427813711,6.521011430698335,True,1.1528815357972773,False,False
203807236,Xiaomi,M2006J10C,Xiaomi/M2006J10C,time_value_from_t,6.643567679616601,4.181161427813711,6.521011430698335,True,1.153047843861024,False,False
205292128,Xiaomi,M2006J10C,Xiaomi/M2006J10C,time_value_from_t,6.643423446170754,4.181161427813711,6.521011430698335,True,1.1528815357972773,False,False
9300298484,Xiaomi,M2006J10C,Xiaomi/M2006J10C,time_value_from_t,6.643423446170754,4.181161427813711,6.521011430698335,True,1.1528815357972773,False,False
9300706043,Xiaomi,M2006J10C,Xiaomi/M2006J10C,time_value_from_t,6.643567679616601,4.181161427813711,6.521011430698335,True,1.153047843861024,False,False
9300858338,Xiaomi,M2006J10C,Xiaomi/M2006J10C,time_value_from_t,6.643567679616601,4.181161427813711,6.521011430698335,True,1.153047843861024,False,False
A000327597,Xiaomi,M2006J10C,Xiaomi/M2006J10C,time_value_from_t,6.643423446170754,4.181161427813711,6.521011430698335,True,1.1528815357972773,False,False
A001534217,Xiaomi,M2006J10C,Xiaomi/M2006J10C,time_value_from_t,6.643423446170754,4.181161427813711,6.521011430698335,True,1.1528815357972773,False,False
A001545475,Xiaomi,M2006J10C,Xiaomi/M2006J10C,time_value_from_t,6.643423446170754,4.181161427813711,6.521011430698335,True,1.1528815357972773,False,False
A001570399,Xiaomi,M2006J10C,Xiaomi/M2006J10C,time_value_from_t,6.643567679616601,4.181161427813711,6.521011430698335,True,1.153047843861024,False,False
A001601356,Xiaomi,M2006J10C,Xiaomi/M2006J10C,time_value_from_t,6.643567679616601,4.181161427813711,6.521011430698335,True,1.153047843861024,False,False
A001602118,Xiaomi,M2006J10C,Xiaomi/M2006J10C,time_value_from_t,6.643567679616601,4.181161427813711,6.521011430698335,True,1.153047843861024,False,False
A001604205,Xiaomi,M2006J10C,Xiaomi/M2006J10C,time_value_from_t,6.643567679616601,4.181161427813711,6.521011430698335,True,1.153047843861024,False,False
A001616193,Xiaomi,M2006J10C,Xiaomi/M2006J10C,time_value_from_t,6.643423446170754,4.181161427813711,6.521011430698335,True,1.1528815357972773,False,False
A001623880,Xiaomi,M2006J10C,Xiaomi/M2006J10C,time_value_from_t,6.79010001393109,4.181161427813711,6.521011430698335,True,1.3220066359982678,False,False
A001635014,Xiaomi,M2006J10C,Xiaomi/M2006J10C,time_value_from_t,6.643423446170754,4.181161427813711,6.521011430698335,True,1.1528815357972773,False,False
A001657263,Xiaomi,M2006J10C,Xiaomi/M2006J10C,time_value_from_t,6.643567679616601,4.181161427813711,6.521011430698335,True,1.153047843861024,False,False
A001660452,Xiaomi,M2006J10C,Xiaomi/M2006J10C,time_value_from_t,6.87900051852002,4.181161427813711,6.521011430698335,True,1.424513171132691,False,False
A001677153,Xiaomi,M2006J10C,Xiaomi/M2006J10C,time_value_from_t,6.643567679616601,4.181161427813711,6.521011430698335,True,1.153047843861024,False,False
A001692604,Xiaomi,M2006J10C,Xiaomi/M2006J10C,time_value_from_t,6.643567679616601,4.181161427813711,6.521011430698335,True,1.153047843861024,False,False
101737098,Xiaomi,M2006J10C,Xiaomi/M2006J10C,EV100,8.48019591506345,6.017933896706407,8.35778389959103,True,1.1528815357972761,False,False
201999677,Xiaomi,M2006J10C,Xiaomi/M2006J10C,EV100,8.48019591506345,6.017933896706407,8.35778389959103,True,1.1528815357972761,False,False
202045494,Xiaomi,M2006J10C,Xiaomi/M2006J10C,EV100,8.48019591506345,6.017933896706407,8.35778389959103,True,1.1528815357972761,False,False
203807236,Xiaomi,M2006J10C,Xiaomi/M2006J10C,EV100,8.480340148509297,6.017933896706407,8.35778389959103,True,1.153047843861024,False,False
205292128,Xiaomi,M2006J10C,Xiaomi/M2006J10C,EV100,8.48019591506345,6.017933896706407,8.35778389959103,True,1.1528815357972761,False,False
