subject_id,n_cheeks,logrmse,rmse,sam_deg,signed_residual_400nm,signed_residual_410nm,signed_residual_420nm,signed_residual_430nm,signed_residual_440nm,signed_residual_450nm,signed_residual_460nm,signed_residual_470nm,signed_residual_480nm,signed_residual_490nm,signed_residual_500nm,signed_residual_510nm,signed_residual_520nm,signed_residual_530nm,signed_residual_540nm,signed_residual_550nm,signed_residual_560nm,signed_residual_570nm,signed_residual_580nm,signed_residual_590nm,signed_residual_600nm,signed_residual_610nm,signed_residual_620nm,signed_residual_630nm,signed_residual_640nm,signed_residual_650nm,signed_residual_660nm,signed_residual_670nm,signed_residual_680nm,signed_residual_690nm,signed_residual_700nm,loo_reference_logrmse,model_to_loo_error_ratio,model_better_than_loo
p028,2,0.15238360622496028,0.0442407938325369,7.698600406113243,-0.16411090465778722,-0.0977572837385407,-0.022474687748158625,-0.0014207114135916105,0.009962775823823725,0.023188336741645194,0.019845664717203643,0.04511899708889203,0.06132571746227733,0.04804071938675877,0.026636758250802445,0.012391148509862837,0.0038051305214315406,-0.005794726789199484,-0.0010221752509292081,-0.015193733683456515,-0.023280324214888654,-0.02334990716003542,-0.00947946858383275,0.013555247972608292,0.019555272697029724,0.013824034918100303,0.02680505257915161,0.011289564796047341,0.005198040965025547,0.0027256966522340997,0.005715420919555125,-0.029381936465372266,0.047619929696229246,-0.02377362092262708,0.036188365422422764,0.11248279828794319,1.354728087710581,False
p029,2,0.19451563884471496,0.05170416249670899,10.132351723686092,-0.18604099939110635,-0.1178322520534375,-0.042481852812932375,-0.018924160525536846,-0.0037893429015085633,0.013693544867892135,0.010118337707301084,0.038148238273703394,0.05718306063562595,0.04695478561389291,0.03465237281256335,0.027648459481768375,0.019028296734517086,0.006845419931249666,0.0018659568317245523,-0.023930986628087125,-0.022431252060717888,-0.023392132919850886,-0.018212479025307343,0.003428094776101606,0.020264575244836547,0.019289333254210422,0.03142434119135257,0.025087927192297493,0.02511014453554075,0.020057871404108946,0.026984982236895105,-0.0012020903182695108,0.06335852565240205,0.0027299142514005115,0.05654137458050906,0.15649274045175385,1.2429690877877075,False
p031,2,0.1707628684363493,0.052349179901000714,8.727351207174992,-0.20133388712824224,-0.11599476829482634,-0.03454200188365984,-0.010243348147645201,-0.0018765699646510758,0.031181772376132635,0.035925660558988715,0.04630496068678089,0.057558504717928755,0.05482201664854425,0.04227626649151911,0.026509182122728514,0.012114884397639886,0.0050054466146102206,-0.0033798547413612656,-0.016046266281047772,-0.01578723753940249,-0.025744578566858675,-0.014953729869763316,0.014700552746959084,0.018530475186423145,0.012709398483385564,0.009353421807173412,0.0013967546893082772,-0.0014748350195781523,0.00488778223886685,0.004651248012381148,0.014617228058182719,0.03945713936985418,0.007147820061213839,0.019494295540813944,0.16234439010344334,1.0518556774739296,False
p032,2,0.18984764504522594,0.05507562164492384,10.089071635785412,-0.21650934903457345,-0.12164735363887888,-0.04481594548964227,-0.024297761652394764,-0.01662990519067442,0.01764551188090456,0.028314703544966777,0.04386429192270476,0.055143939754458984,0.05523651561495055,0.04246547315601912,0.02822415642969646,0.01575342423887799,0.011313575255783359,0.0016797875434547277,-0.008786076429944265,-0.017944562557350288,-0.022058528715398457,-0.01163998318464994,0.011419737766090843,0.017689997636640004,0.01722329381210247,0.022478133998873495,0.01708823081026664,0.01432247600258199,0.018579480722034497,0.018696089578104313,0.03137161345386785,0.05132321273155954,0.029193961075988206,0.04034323199170936,0.13636216509618193,1.3922310848564077,False
p033,2,0.1518260947961655,0.04800841852035809,7.56735019305032,-0.18302949017747472,-0.0985305346496993,-0.02121702005794167,-0.0028268508242807744,-8.64292050480886e-05,0.034414701296661784,0.04511542458534187,0.05620995544273846,0.06665479812597325,0.06066386937691154,0.043002874093164445,0.024703627698296177,0.010724217231617095,-0.0001602787099555525,-0.01435823093569974,-0.026263267870485107,-0.03425675278487629,-0.040643501286200756,-0.03201013594711136,-0.0018655592418066191,0.009122331004784268,0.010907887500223618,0.013537477646401758,0.005247951276952156,0.0012111238138048375,0.00656885282394884,0.0056743345319743566,0.015105644640181104,0.03952870879662018,0.0072928406810533475,0.020242873218856317,0.1532923288628275,0.9904350460486899,True
p034,2,0.1469619905361429,0.05294303748284384,7.292768448156009,-0.17250010579823977,-0.11089969195864449,-0.027831897372820602,-0.0021045879939842055,0.0017747892275637445,0.04097646151862905,0.048800225589659074,0.059278510618101826,0.07108745655374488,0.06823490402274535,0.053143405304613256,0.03236421457506766,0.012513834691291914,-0.00580196250879525,-0.01863925692592891,-0.025000884921140665,-0.03365341830692234,-0.04561758856734077,-0.029495885942334377,0.024262690812824228,0.026674851093090507,0.010075152403675958,0.008136136825621004,-0.007934430187287955,-0.015240825378088796,-0.012323493906717553,-0.010687505921172957,-0.006679382981975623,0.029929653559206015,-0.016130371563368273,0.0027942926609165752,0.28994632106284995,0.5068593041547398,True
p037,2,0.1670387449997478,0.05111980809092348,8.297197180107615,-0.19266911861768,-0.10584190919479818,-0.028762700472317118,-0.0073436983623285795,-0.0031694125665175793,0.0323480914297727,0.04571598497629592,0.05715607560559932,0.06824668133135947,0.06535895020108412,0.04984617773926775,0.029689721304628824,0.011833459272073937,-0.0002904849633855455,-0.014298180901898758,-0.02711985591898282,-0.035622592338254516,-0.04229498979929491,-0.03318517776240548,-0.0022576410889167953,0.008778661942892119,0.01180662279528974,0.017499776043348708,0.007350467741939204,0.0020476967980577465,0.008420742600613096,0.007429955934633581,0.014520543183157791,0.04020319567450842,0.0058617848284363006,0.017334364445530992,0.13389710366762522,1.247515744734782,False
p038,2,0.2200308793155642,0.05659183219767217,11.729121469210535,-0.23119509146368528,-0.12644068228104755,-0.05332720243604154,-0.03273058878275836,-0.019588315107618173,0.013950112500558942,0.022808258945121035,0.03505067796583741,0.047697881232210707,0.04910102334609692,0.0413439027945291,0.03254170375510029,0.02393143794328348,0.019455420845486487,0.0072534770082047645,-0.013700409367763206,-0.013218828266511662,-0.01635279560518138,-0.011849724388634408,0.004829414494871523,0.01695338303081416,0.022363126103206177,0.02721423001289397,0.024566085251242292,0.022633349122646085,0.023955912126500584,0.023013730958027584,0.02776395346271915,0.04880743456620021,0.019404460737135587,0.030651094547511415,0.17847453523784504,1.2328418674537456,False
p040,2,0.15472290452374554,0.05007679715234363,7.663554904959005,-0.183238658864717,-0.10780872950463886,-0.025338086534118523,-0.0011064870554292477,-0.0002410170685947094,0.03626894253332852,0.03886986777054702,0.04799248356109334,0.0600962008984966,0.05517767560733486,0.04338703932347321,0.028668829189432782,0.015789977287777313,0.0030713611874194358,-0.0070667721294127295,-0.02327049551571103,-0.01956107514534519,-0.031731389628539775,-0.019101687907616766,0.01797230319387927,0.023639284518551212,0.012512150331584398,0.006097896767814248,-0.006992630389814125,-0.01311206077620275,-0.005406679312444512,-0.006713485749560599,-0.004192430367227051,0.031717647391237974,-0.014509740902240331,0.0012131876690759102,0.18477607362527776,0.8373535679598894,True
p041,2,0.17595565711938843,0.048353395462103654,8.475325229797,-0.1679609357863596,-0.10541802887526294,-0.03611038944326994,-0.01097825262971637,0.007636649879635443,0.01888379106195129,0.031294641232524956,0.046963083403006256,0.06049766569243281,0.05789504921269334,0.04281014477977757,0.03303917914660061,0.01611887356887791,-0.00048539940860437003,-0.008362267901762421,-0.027049652033161925,-0.023912592370433555,-0.032225074870850134,-0.028421254554831382,0.008963565032669416,0.024664006015063078,0.01008941668608232,0.015718452124906857,0.005108611742076108,0.0013352574098491887,-0.013854489148095145,0.007576834867041332,-0.025305488434916312,0.04255649656490315,-0.025838716308634768,0.019422739098199415,0.16446905858432587,1.0698404832734736,False
