fold,split_role,target,valid_n,representation,scope,camera_id,condition,spearman_rho
0,val,forehead_minus_cheek_log2_y,50,calibrated_nn,camera_id,Xiaomi/M2006J10C,log2_iso_condition,-0.33138823319566357
0,val,forehead_minus_cheek_log2_rg,96,raw,overall,ALL,relative_optical_exposure,-0.19070493868317009
0,val,forehead_minus_cheek_log2_rg,96,raw,overall,ALL,log2_iso_condition,0.28529550373463641
0,val,forehead_minus_cheek_log2_rg,46,raw,camera_id,HONOR/BVL-AN00,relative_optical_exposure,-0.11000309748135099
0,val,forehead_minus_cheek_log2_rg,46,raw,camera_id,HONOR/BVL-AN00,log2_iso_condition,0.26750932752277318
0,val,forehead_minus_cheek_log2_rg,50,raw,camera_id,Xiaomi/M2006J10C,relative_optical_exposure,0.0226487614837136
0,val,forehead_minus_cheek_log2_rg,50,raw,camera_id,Xiaomi/M2006J10C,log2_iso_condition,0.18154311905501569
0,val,forehead_minus_cheek_log2_rg,96,residual_nn,overall,ALL,relative_optical_exposure,-0.042401065559449599
0,val,forehead_minus_cheek_log2_rg,96,residual_nn,overall,ALL,log2_iso_condition,0.1010210903035436
0,val,forehead_minus_cheek_log2_rg,46,residual_nn,camera_id,HONOR/BVL-AN00,relative_optical_exposure,-0.2395878981792777
0,val,forehead_minus_cheek_log2_rg,46,residual_nn,camera_id,HONOR/BVL-AN00,log2_iso_condition,0.099998272374098002
0,val,forehead_minus_cheek_log2_rg,50,residual_nn,camera_id,Xiaomi/M2006J10C,relative_optical_exposure,-0.015848902377748799
0,val,forehead_minus_cheek_log2_rg,50,residual_nn,camera_id,Xiaomi/M2006J10C,log2_iso_condition,0.14509041340349271
0,val,forehead_minus_cheek_log2_rg,96,calibrated_nn,overall,ALL,relative_optical_exposure,-0.042401065559449599
0,val,forehead_minus_cheek_log2_rg,96,calibrated_nn,overall,ALL,log2_iso_condition,0.1010210903035436
0,val,forehead_minus_cheek_log2_rg,46,calibrated_nn,camera_id,HONOR/BVL-AN00,relative_optical_exposure,-0.2395878981792777
0,val,forehead_minus_cheek_log2_rg,46,calibrated_nn,camera_id,HONOR/BVL-AN00,log2_iso_condition,0.099998272374098002
0,val,forehead_minus_cheek_log2_rg,50,calibrated_nn,camera_id,Xiaomi/M2006J10C,relative_optical_exposure,-0.015848902377748799
0,val,forehead_minus_cheek_log2_rg,50,calibrated_nn,camera_id,Xiaomi/M2006J10C,log2_iso_condition,0.14509041340349271
0,val,forehead_minus_cheek_log2_bg,96,raw,overall,ALL,relative_optical_exposure,-0.043847260746632297
0,val,forehead_minus_cheek_log2_bg,96,raw,overall,ALL,log2_iso_condition,0.078231112390255098
0,val,forehead_minus_cheek_log2_bg,46,raw,camera_id,HONOR/BVL-AN00,relative_optical_exposure,0.25884963892499419
0,val,forehead_minus_cheek_log2_bg,46,raw,camera_id,HONOR/BVL-AN00,log2_iso_condition,-0.234837852295774
0,val,forehead_minus_cheek_log2_bg,50,raw,camera_id,Xiaomi/M2006J10C,relative_optical_exposure,0.30097222535170548
0,val,forehead_minus_cheek_log2_bg,50,raw,camera_id,Xiaomi/M2006J10C,log2_iso_condition,0.23105924491367211
0,val,forehead_minus_cheek_log2_bg,96,residual_nn,overall,ALL,relative_optical_exposure,0.2060277210235591
0,val,forehead_minus_cheek_log2_bg,96,residual_nn,overall,ALL,log2_iso_condition,-0.022185955270559901
0,val,forehead_minus_cheek_log2_bg,46,residual_nn,camera_id,HONOR/BVL-AN00,relative_optical_exposure,0.39886521617292692
0,val,forehead_minus_cheek_log2_bg,46,residual_nn,camera_id,HONOR/BVL-AN00,log2_iso_condition,-0.13260775239193789
0,val,forehead_minus_cheek_log2_bg,50,residual_nn,camera_id,Xiaomi/M2006J10C,relative_optical_exposure,0.1703626239086731
0,val,forehead_minus_cheek_log2_bg,50,residual_nn,camera_id,Xiaomi/M2006J10C,log2_iso_condition,0.12074058235563739
0,val,forehead_minus_cheek_log2_bg,96,calibrated_nn,overall,ALL,relative_optical_exposure,0.2060277210235591
0,val,forehead_minus_cheek_log2_bg,96,calibrated_nn,overall,ALL,log2_iso_condition,-0.022185955270559901
0,val,forehead_minus_cheek_log2_bg,46,calibrated_nn,camera_id,HONOR/BVL-AN00,relative_optical_exposure,0.39886521617292692
0,val,forehead_minus_cheek_log2_bg,46,calibrated_nn,camera_id,HONOR/BVL-AN00,log2_iso_condition,-0.13260775239193789
0,val,forehead_minus_cheek_log2_bg,50,calibrated_nn,camera_id,Xiaomi/M2006J10C,relative_optical_exposure,0.1703626239086731
0,val,forehead_minus_cheek_log2_bg,50,calibrated_nn,camera_id,Xiaomi/M2006J10C,log2_iso_condition,0.12074058235563739
1,train,cheek_mean_log2_y,400,raw,overall,ALL,relative_optical_exposure,-0.47461822751318361
