fold,target,representation,HONOR/BVL-AN00_valid_n,HONOR/BVL-AN00_mean,HONOR/BVL-AN00_median,HONOR/BVL-AN00_std,Xiaomi/M2006J10C_valid_n,Xiaomi/M2006J10C_mean,Xiaomi/M2006J10C_median,Xiaomi/M2006J10C_std,mean_difference_honor_minus_xiaomi,median_difference_honor_minus_xiaomi,pooled_std,standardized_mean_difference
2,forehead_minus_cheek_log2_rg,raw,58,3.3968203569500636e-05,0.00458505165093315,0.077576678408781879,39,-0.080583074634445584,-0.058176221917863202,0.12330957885206192,0.080617042838015088,0.06276127356879635,0.098452960922629895,0.81883817492669098
2,forehead_minus_cheek_log2_rg,stage2a_ridge_calibrated,58,-0.031535082228104472,-0.0389105062147201,0.078204126193900006,39,-0.04889376806550131,-0.039164371871465202,0.12672599832274908,0.017358685837396838,0.0002538656567451017,0.10046552977320043,0.17278250437322965
2,forehead_minus_cheek_log2_rg,stage2b_mlp_calibrated,58,-0.031539011005795967,-0.036347205955999648,0.076938538123499017,39,-0.047386626483648407,-0.029324212582945298,0.12460461655848044,0.015847615477852441,-0.0070229933730543495,0.098804085827576188,0.16039433334273487
2,forehead_minus_cheek_log2_bg,raw,58,-0.1010524244157267,-0.086298491880689304,0.12462033612591368,39,-0.17162897131061439,-0.18151296468223951,0.10331799607749309,0.070576546894887682,0.09521447280155021,0.1165674921711408,0.6054565091892804
2,forehead_minus_cheek_log2_bg,stage2a_ridge_calibrated,58,-0.13259196031884857,-0.11951220904668425,0.12680985037816139,39,-0.13373129747399171,-0.14118962336841101,0.10688339561112153,0.0011393371551431386,0.021677414321726762,0.11923953620634564,0.0095550284024209908
2,forehead_minus_cheek_log2_bg,stage2b_mlp_calibrated,58,-0.12992372629315607,-0.11609325763007455,0.12674737492325241,39,-0.14901878879739089,-0.16894931194250801,0.10486239729878039,0.019095062504234817,0.052856054312433454,0.11847947998223242,0.16116767652169284
3,cheek_mean_log2_y,raw,58,-1.7303048919478081,-1.7445909048106123,0.24658065689088107,42,-2.2296156609097775,-2.1747500965798467,0.44619371187708978,0.49931076896196935,0.43015919176923445,0.34446582617401178,1.4495219293821486
3,cheek_mean_log2_y,stage2a_ridge_calibrated,58,-2.0076416653540421,-2.0321659485417078,0.21975198590366435,42,-1.9354741506286639,-1.9143281697595991,0.41867399662142996,-0.07216751472537819,-0.11783777878210877,0.31846871896361345,-0.22660785951044587
3,cheek_mean_log2_y,stage2b_mlp_calibrated,58,-2.0073922770743131,-2.0312226656391199,0.21530804023877392,42,-1.9205104738725098,-1.8770300547854937,0.42870147590018803,-0.086881803201803276,-0.15419261085362623,0.32226183498022104,-0.26960003876082839
3,cheek_mean_log2_rg,raw,58,0.90698100370086165,0.90202686462263704,0.12935523671001803,42,1.0239937452066006,1.0426084213811959,0.14425214388022808,-0.11701274150573893,-0.14058155675855888,0.13578660575498663,-0.8617399400709429
3,cheek_mean_log2_rg,stage2a_ridge_calibrated,58,0.96060682872124215,0.9572924701184764,0.12946635874116025,42,0.96509309314657055,0.99397380669039848,0.14686241363526553,-0.0044862644253284012,-0.036681336571922074,0.13701329366064777,-0.032743278447417708
3,cheek_mean_log2_rg,stage2b_mlp_calibrated,58,0.96577480868332466,0.95250742974853275,0.1196064582155327,42,0.95961218312302121,0.97813825994976122,0.14922438884591299,0.0061626255603034474,-0.025630830201228472,0.13280374593450309,0.04640400402066043
3,cheek_mean_log2_bg,raw,58,-0.59478889556393932,-0.58544122277938215,0.14168274285218344,42,-0.54518910988640223,-0.51988639693043015,0.12844987242738906,-0.049599785677537089,-0.065554825848952003,0.13630293906019528,-0.36389373567089706
3,cheek_mean_log2_bg,stage2a_ridge_calibrated,58,-0.57214806667450957,-0.56607281472354254,0.1387432628691751,42,-0.56588873231933778,-0.53766720194358442,0.13021026347410114,-0.0062593343551717862,-0.028405612779958123,0.13523885603469443,-0.046283549999609618
3,cheek_mean_log2_bg,stage2b_mlp_calibrated,58,-0.57384244168259668,-0.55833813680487054,0.13362531452629839,42,-0.56401583352204032,-0.5455767257338161,0.1329591419624945,-0.0098266081605563604,-0.01276141107105444,0.13334701459648346,-0.073691999706872333
3,forehead_minus_cheek_log2_y,raw,57,-0.076835482277695849,-0.069147253266118397,0.24639356620007352,42,-0.0034953850795907226,-0.0064617904662985504,0.51013986094516173,-0.073340097198105123,-0.062685462799819847,0.38085224557074876,-0.19256837277720909
3,forehead_minus_cheek_log2_y,stage2a_ridge_calibrated,57,-0.050824581006445817,-0.0566976988796353,0.24295330883543279,42,-0.032932650475989887,-0.052748014255086947,0.51925320658545071,-0.01789193053045593,-0.0039496846245483525,0.38476198252234495,-0.046501295198563074
3,forehead_minus_cheek_log2_y,stage2b_mlp_calibrated,57,-0.047700971834995415,-0.045763256651674002,0.24774159144660135,42,-0.034777098618506502,-0.060890993964619847,0.52847408593517664,-0.012923873216488913,0.015127737312945845,0.39176746499698045,-0.032988633235760206
3,forehead_minus_cheek_log2_rg,raw,57,-0.017305794511749094,-0.0185834017706842,0.095717226688467355,42,-0.081945904914284926,-0.075976409356706159,0.12338587724197471,0.064640110402535839,0.057393007586021963,0.10827833368721741,0.59698102290030719
3,forehead_minus_cheek_log2_rg,stage2a_ridge_calibrated,57,-0.049585992060176921,-0.052115922632844501,0.095641096337489198,42,-0.04617535686595569,-0.039197935452294601,0.12775402816494313,-0.0034106351942212315,-0.0129179871805499,0.11036065718608382,-0.030904448026894349
3,forehead_minus_cheek_log2_rg,stage2b_mlp_calibrated,57,-0.053081958510836871,-0.057533981475126401,0.096035161137962163,42,-0.045133180379169809,-0.046870338600385503,0.12939823663095876,-0.0079487781316670628,-0.010663642874740899,0.11136334935231827,-0.071376967179028111
3,forehead_minus_cheek_log2_bg,raw,57,-0.12749268937568459,-0.1233825848869546,0.11495226173735659,42,-0.17398149565325255,-0.17184001674501842,0.10496987926368333,0.046488806277567962,0.048457431858063824,0.11084264673218516,0.41941263266559203
3,forehead_minus_cheek_log2_bg,stage2a_ridge_calibrated,57,-0.16259784932174492,-0.1606149241270855,0.11573843758029453,42,-0.13327428720545859,-0.13553807403085144,0.10882674170385699,-0.029323562116286339,-0.02507685009623406,0.11286865189796243,-0.2598025370480721
