high_clip_element_fraction,low_clip_element_fraction,nonfinite_count,all_zero,all_one,R_zero_fraction,R_one_fraction,G_zero_fraction,G_one_fraction,B_zero_fraction,B_one_fraction,attempt,appearance_seed,exposure_ev,canonical_unclipped_hash
0.0,0.161996644295302,0,False,False,0.0,0.0,0.0,0.0,0.4856543624161074,0.0,75,7190731793767378834,0.2481574550224157,69a56badbb16fbae122e215baad1c32b3a2787ba8fc99b6d432cd2c662a3957f
0.0,0.11704418344519016,0,False,False,0.0,0.0,0.0,0.0,0.3508808724832215,0.0,76,7214181312970152197,-0.08705512024503681,8e7478bdb74b50c4900a7352690cc5838f8ed32c86b9520de0f3f81f4b49c3fc
0.0,0.14256152125279642,0,False,False,0.0,0.0,0.0,0.0,0.42726510067114093,0.0,77,11560875062502663893,-0.00723859633802193,649efb52a992a32f9c8888625226d6f34a2bbe905ca4707ae9b703f6663e4b9d
0.0,0.16747762863534676,0,False,False,0.0,0.0,0.0,0.0,0.5019714765100671,0.0,78,18057700257378722028,-0.15473065933665242,6c1ae6325bfbe4ba4e649db6ac4a1a2d16768f057c8bc6f9eb49898f72152901
0.0,0.16746364653243848,0,False,False,0.0,0.0,0.0,0.0,0.5019714765100671,0.0,79,967111476536965413,-0.2185739103115638,acc1c9d216264789688b9172b6b7d23e5ee0f59f73f71608633f0a29d497de8d
0.0,0.1373182326621924,0,False,False,0.0,0.0,0.0,0.0,0.4115771812080537,0.0,80,15883667230762833884,-0.22657403345626626,439f3eb73034e875219f8a92344bfeaccd5c1d68bff1009713e33ae9ad20d009
0.0,0.16751957494407158,0,False,False,0.0,0.0,0.0,0.0,0.5019714765100671,0.0,81,14459408569008271083,-0.3398017131394542,9b6a85e8eb8bd8aa71b99bc7446ff59e17899df49bd1008dff261b3c2b55486e
0.0,0.12904082774049216,0,False,False,0.0,0.0,0.0,0.0,0.38695469798657717,0.0,82,11595306695982870883,0.10215182901918352,468c799d280068660ef55564694dce1809c2f39c3b575ab51369dd4f04a8567a
0.0,0.16753355704697986,0,False,False,0.0,0.0,0.0,0.0,0.5019714765100671,0.0,83,6878339978022729339,-0.4895381824165116,387ad963d63fdd774a290017ba314e219114300f7e860b7e27feeb43cf18ca77
0.0,0.13129194630872484,0,False,False,0.0,0.0,0.0,0.0,0.3933724832214765,0.0,84,12955296336447148475,-0.4257689828377755,f1b2363e4e9c3cdc70a196b21197bc8778adaa712aad86170e18afdb95b8d8fb
0.0,0.1553831096196868,0,False,False,0.0,0.0,0.0,0.0,0.46560402684563756,0.0,85,11915510882102504573,-0.31294770303143504,6cf25a5f7432f141b4e27d6b4573ffa9d473ef1c4c0971ed00010cd3c158b750
0.0,0.16749161073825503,0,False,False,0.0,0.0,0.0,0.0,0.5019714765100671,0.0,86,9977126210351706666,-0.3340263825476461,ad3ac3144be463c2982091ec7e5702bdd65a71fde23c6bc72b96aad951b96e4c
0.0,0.12788031319910514,0,False,False,0.0,0.0,0.0,0.0,0.3832214765100671,0.0,87,4773260630895960208,-0.05455315251318249,e3efa4b993817a55946cd9f0c40327a8c5344b684a8f5dca557bb16446d33b8c
0.0,0.12439876957494407,0,False,False,0.0,0.0,0.0,0.0,0.3730285234899329,0.0,88,8709931422013958039,0.011193866674253261,73c1248fd3401baeae83a4d986399d7cd3f97cdf3c26ebb8a5abe77fceec29d1
0.0,0.1533417225950783,0,False,False,0.0,0.0,0.0,0.0,0.4596476510067114,0.0,89,1232295544872518704,-0.368711717015344,c4c510f39ef1a783364a1b2a2848bc5b10f17f1c2141ff63d008a39c2820a3ce
0.0,0.15549496644295302,0,False,False,0.0,0.0,0.0,0.0,0.4660234899328859,0.0,90,481840725357275189,-0.06829191981417293,b8779692bb3ec134f62cc0f6dc0a237b0c8bf68aaa47ac39d22fbe218a60646b
0.0,0.16743568232662193,0,False,False,0.0,0.0,0.0,0.0,0.5019714765100671,0.0,91,17013466993041166320,0.14686283960123248,162faabc3da4c0ecc29481455403a56929cd7080f15c0eca666e07dcafd02208
0.0,0.16743568232662193,0,False,False,0.0,0.0,0.0,0.0,0.5019714765100671,0.0,92,16089846474014071398,-0.00987641137023193,71138caa9048fd2af5cd1e1b39df4a655c305b6265a9309109c7b81d2d58aad7
0.0,0.1576062639821029,0,False,False,0.0,0.0,0.0,0.0,0.47248322147651006,0.0,93,2055304086542684710,0.27943911439602054,1048ada216b3846fa64e2dc6e1607eea801f55cf7ba60ca201cad64a3e84bc2f
0.0,0.1482662192393736,0,False,False,0.0,0.0,0.0,0.0,0.44442114093959734,0.0,94,4956409505170339978,0.223764096905393,e73533e09ed934e585d3969de7d0588f7d06e895ab0509fca82df35eedbf1a73
0.0,0.16743568232662193,0,False,False,0.0,0.0,0.0,0.0,0.5019714765100671,0.0,95,3958759041909473085,0.2955778445021662,ff75fbbb7acf4e02bf9470863e4aa6f2978f9b53d36f27e326e35c8f6644ceec
0.0,0.14250559284116332,0,False,False,0.0,0.0,0.0,0.0,0.42726510067114093,0.0,96,12405042960866931808,0.21019656057372627,3d8669025fec3db11ed0d2cec6ca4daea9ffbe8eabdf1d7b0c010a6970a60ac2
0.0,0.16744966442953022,0,False,False,0.0,0.0,0.0,0.0,0.5019714765100671,0.0,97,5529566338375187046,0.07421138320219822,1dbe0a328f9867bf9a9920c30e053ec3bcc456c06e06168e54ebfe9e822d2c40
0.0,0.16743568232662193,0,False,False,0.0,0.0,0.0,0.0,0.5019714765100671,0.0,98,16910933389831816929,0.14112859336012085,ef0d6581fa99725f98097a93be6118a2c392d47d7164397bf85d16dc06965495
0.0,0.13808724832214764,0,False,False,0.0,0.0,0.0,0.0,0.4139261744966443,0.0,99,15744341506967338346,0.09929761105677704,d87d4eea9a0d4cdbfb96aa392df5a60aee5c78fbf4d02bacd8e84d5b868c21f0
0.0,0.15015380313199106,0,False,False,0.0,0.0,0.0,0.0,0.4500838926174497,0.0,100,14701365102238474282,0.07446793435482313,8ecd57df2c5e863579a4e51da62dc058805889a84626457fea7135bc0675977f
0.0,0.16751957494407158,0,False,False,0.0,0.0,0.0,0.0,0.5019714765100671,0.0,101,17540102555284227944,-0.3656392091170232,520327c3232503f2112fabe20b2592100070fcb1fbc96821e80bc0bcba7b903b
