camera_name,illuminant_name,matrix_rank,condition_number,matrix_3x3,training_deltae00_median,training_deltae00_p95,loocv_deltae00_median,loocv_deltae00_p95,negative_linear_srgb_rate,out_of_gamut_rate,finite,qualification_status,failure_reasons
Nikon D90,A,3,9.31127747427,0.905676294691 0.375401128548 0.0261366216288 0.217899386661 0.743456337183 -0.132390761483 -0.031115320519 -0.123765666426 0.457000779992,0.755822509337,2.18124559939,0.845527815783,2.47448730186,0.0138888888889,0.0138888888889,True,PASS,
Nokia N900,A,3,14.3492660272,0.785725779955 0.20439477577 -0.105521127628 0.329755207329 0.932528488111 -0.38082210667 -0.0247614111713 -0.141697073596 0.842204746153,0.74856314909,1.98661466238,0.894485716981,2.23821731497,0.0138888888889,0.0138888888889,True,PASS,
Olympus E-PL2,A,3,10.153805759,0.758932515729 0.243707226083 -0.0106343964439 0.364024017089 0.873397954653 -0.15438171291 -0.0318087167617 -0.122334168041 0.516811853208,1.01693806847,2.66420267115,1.1771886874,3.0758494006,0.0277777777778,0.0277777777778,True,PASS,
Pentax K-5,A,3,10.1050019505,0.846080125524 0.309188692396 0.0229699877082 0.301842554778 0.854689271458 -0.136111882314 -0.0596343863061 -0.17102197107 0.464012484742,0.976879927971,1.9632495321,1.06318556607,2.24462164119,0.0138888888889,0.0138888888889,True,PASS,
Pentax Q,A,3,13.5868461468,0.714290652838 0.122774757083 -0.0549106256186 0.476823416266 1.09465004389 -0.270267396483 -0.103865698278 -0.224523642117 0.677524684373,0.930518619645,2.51373203984,1.09426836292,2.97137130751,0.0138888888889,0.0138888888889,True,PASS,
Point Grey Grasshopper 50S5C,A,3,10.8261596753,0.366255688524 -0.0235468985625 0.0698398457128 0.828448610235 1.06423813943 -0.285894824233 -0.117079094904 -0.0425518521427 0.558060530984,4.96778185001,10.9383594455,5.52898676533,13.3915585208,0.0694444444444,0.0694444444444,True,FAIL,loocv_median_gt_4;loocv_p95_gt_8
Point Grey Grasshopper2 14S5C,A,3,8.21815675365,0.671045266422 0.251899168436 0.0279240455068 0.490173452615 0.851209433204 -0.112120292286 -0.0796396641439 -0.11035124491 0.434932207464,2.29016429603,4.4192606058,2.58723851329,4.82244470349,0.0555555555556,0.0555555555556,True,PASS,
Phase One,A,3,12.7508793249,1.16353679556 0.522148748502 -0.00869599486434 -0.203915112771 0.569965503742 -0.290057027344 0.144428157856 -0.093750073359 0.650406891134,1.62340576349,3.44502226645,1.89114811122,3.89434090274,0.0277777777778,0.0277777777778,True,PASS,
SONY NEX-5N,A,3,10.2312454162,0.935439247752 0.370254596978 0.0242267280165 0.186848426444 0.788377452837 -0.134135487784 -0.0299357036321 -0.164830342169 0.462814224686,0.796321381922,1.54321255159,0.853164297077,1.68477459239,0.0138888888889,0.0138888888889,True,PASS,
Canon 1DMarkIII,FL2,3,10.6437963073,0.774407567403 0.349293322533 0.0637387193923 0.116437110111 0.734046747081 -0.169800617749 0.0957072291425 -0.0878146755905 0.77338814412,0.658705965521,1.69916633716,0.834286334568,1.90748360317,0.0138888888889,0.0138888888889,True,PASS,
